Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
3MINDIA,7,1708,2025-08-21 20:35:16,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://trendlyne.com/latest-news/only-news/10/3MINDIA/3m-india-ltd/#:~:text=28%20May%202025,NDTV%20Profit%20%7C%2028%20May%202025"
Link_2,"https://www.angelone.in/news/share-market/3m-india-dividend-date#:~:text=3M%20India%2C%20the%20Indian%20arm,Annual%20General%20Meeting%20(AGM)."
Link_3,"https://www.angelone.in/news/share-market/3m-india-final-special-dividend-rs-535-record-date-is-tomorrow-july-25-2025#:~:text=3M%20India%20FY%202025%20Financial,crore%20in%20the%20prior%20year."
Link_4,"https://www.icicidirect.com/research/equity/rapid-results/3m-india-ltd#:~:text=Commenting%20on%20the%20fourth%20quarter,on%20customers%20and%20supply%20partners."
Link_5,"https://www.marketsmojo.com/news/stocks-in-action/3m-indias-financial-trend-shifts-from-positive-to-negative-amid-declining-profitability-2632995#:~:text=However%2C%20profitability%20declined%20significantly%2C%20with,the%20current%20market%20landscape%20effectively."
Link_6,"https://boardstewardship.com/3m-india-announces-key-leadership-changes-across-board-management/#:~:text=By%20Ajay%20Katpara-,3M%20India%20Announces%20Key%20Leadership%20Changes%20Across%20Board%20&%20Management,%2C%20effective%20April%2001%2C%202025."
Link_7,"https://www.stockinsights.ai/in/3MINDIA/announcement/other-situations-20250711-15f#:~:text=NSE,quarter%20ending%20June%2030%2C%202025."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Financial Performance and Dividend Announcement

While specific financial results for the quarter ending May 1, 2025, are not available, it's important to note that the company announced its Q4 and full-year results for FY25 on May 28, 2025.

The company declared a final dividend of ₹160 per share and a special dividend of ₹375 per share, totaling ₹535 per share. The record date for this dividend was fixed as July 25, 2025.

Key Financial Highlights for FY25 (as announced on May 28, 2025)

Sales and Other Operating Income grew by 6% to ₹4,446 crore.

Profit After Tax (PAT) declined by 18% to ₹476 crore.

The Healthcare business segment led the company's growth, followed by the Consumer business.

Other Updates (from various dates, but relevant to the period)

The company's stock has underperformed compared to the Sensex over the past year.

There were key leadership changes announced on March 15, 2025, including resignations and appointments of directors.

The company issued a compliance certificate under Regulation 74(5) of SEBI (DP) Regulations, 2018 for the quarter ending June 30, 2025, on July 11, 2025.

News and Updates for 3M India as on May 1, 2025

Based on the available search results, here's a summary of the latest news and updates specifically for 3M India as of May 1, 2025:

Note: Some search results refer to events or news from dates outside of the requested May 1, 2025 timeframe. However, they have been included where they provide context or are directly related to the company's performance and announcements around that period. For instance, the FY25 results announced on May 28, 2025, are crucial for understanding the company's financial standing around May 1, 2025."
