Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
ABB,17,1541,2025-08-21 20:35:57,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.collaborateandcommercialize.com/abb-startup-challenge-india-2025#:~:text=An%20AI%2Ddriven%20solution%20will,empower%20a%20low%2Dcarbon%20future."
Link_2,"https://www.collaborateandcommercialize.com/abb-startup-challenge-india-2025#:~:text=Now%2C%20imagine%20a%20smarter%20approach,and%20AI%2Dpowered%20drive%20selection.&text=We%20seek%20an%20AI%2Dpowered,optimal%20motor%20and%20drive%20combination.&text=For%20example:,predictive%20analytics%20for%20performance%20optimization"
Link_3,"https://new.abb.com/news/detail/125276/q1-2025-results#:~:text=Orders%20$9%2C213%20million%2C%20+3%25;,activities%20$684%20million;%20%2D6%25"
Link_4,"https://www.instagram.com/p/DMwjH2Bznnt/#:~:text=Exciting%20news!,abb.india"
Link_5,"https://new.abb.com/news/detail/123665/abb-india-launches-new-modular-liora-switch-range-at-elecrama-2025#:~:text=Where%20to%20buy-,ABB%20India%20launches%20new%20modular%20'LIORA'%20switch%20range%20at%20ELECRAMA,ideal%20choice%20for%20urban%20interiors."
Link_6,"https://new.abb.com/news/detail/124528/abb-shareholders-approve-all-proposals-at-annual-general-meeting-2025#:~:text=ABB%20shareholders%20have%20approved%20all,for%20the%20financial%20year%202024."
Link_7,https://www.youtube.com/watch?v=3aFB6EfygGA&t=13
Link_8,"https://www.zeebiz.com/markets/stocks/photo-gallery-stocks-to-watch-out-for-upcoming-dividend-in-may-abb-india-infosys-crisil-bajaj-finance-ex-date-358241#:~:text=in%20May%202025-,Stocks%20to%20track:%20ABB%20India%2C%20Infosys%20and%20others%20will%20trade,and%20surplus%20of%20the%20company.&text=Dividend%20is%20the%20profit%20that,a%20buffer%20during%20market%20downturns."
Link_9,https://new.abb.com/docs/librariesprovider19/default-document-library/press-release_feb-22-2025.pdf
Link_10,"https://www.stockinsights.ai/in/ABB/announcement/product-launches-20250222-282#:~:text=3%20May%20'23-,NSE,Close"
Link_11,"https://new.abb.com/bd/archive-news#:~:text=Press%20release%202025%2D05%2D09,largest%20pipeline%20network%20of%20IndianOil"
Link_12,"https://www.mojo4industry.com/abb-india-launches-liora-switch-range-at-elecrama-2025/#:~:text=ABB%20India%20Launches%20'LIORA'%20switch,best%20industrial%20news%20video%20channel"
Link_13,"https://www.motorindiaonline.in/abb-india-and-think-gas-announce-strategic-partnership/#:~:text=We%20are%20proud%20to%20partner,parameters%20across%20the%20CGD%20network."
Link_14,https://hdfcsky.com/news/abb-india-posts-3-percent-rise-in-net-profit-in-q1-cy-2025
Link_15,"https://www.moneyworks4me.com/company/news/index/id/728382#:~:text=Pursuant%20to%20Regulation%2030%20read,Electrical%20Products%20%2D%20Modular%20Wiring%20Accessories."
Link_16,"https://www.ndtvprofit.com/business/abb-india-targets-12-15-profit-margin-in-2025-led-by-strong-order-pipeline#:~:text=ABB%20India%20Targets%2012%2D15,Led%20By%20Strong%20Order%20Pipeline"
Link_17,https://www.youtube.com/watch?v=3aFB6EfygGA

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"ABB Global reported strong Q1 CY25 results:Orders were up 3% to $9,213 million, revenues increased 1% to $7,935 million, and income from operations exceeded $1,500 million. The operational EBITA margin was nearly 20%,according to YouTubeand ABB.

ABB India reported a solid Q1 CY25 performance:Net profit increased 3.3% to ₹474.6 crore, and revenue rose 2.6% to ₹3,159.6 crore.

The company is targeting a 12-15% profit margin in 2025, supported by a strong order pipeline.

ABB shareholders approved all Board proposals at the Annual General Meeting, including an increased dividend of CHF 0.90 per share.

ABB India announced a final dividend of ₹33.5 per share (1,675%) for FY 2024-25, with the stock trading ex-date on May 2nd.

ABB India and THINK Gas announced a strategic partnershipto digitally transform natural gas distribution in India, aiming for improved efficiency and reduced operational costs.

The ABB Startup Challenge India 2025 was announced, seeking AI-powered solutions to improve the interaction between machines and variable speed drives.

ABB India launched the new modular ""LIORA"" switch range at ELECRAMA 2025in February, designed for residential, commercial, and hospitality spaces.

ABB India delivered integrated automation and digital technology for India's largest pipeline network of IndianOilin April.

Operational highlights:

Product Launches and Initiatives:

Note: Some of the search results contain information from after May 1, 2025. This summary focuses only on information available as of that date."
