Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
ALKEM,6,4382,2025-08-21 20:47:46,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://hdfcsky.com/news/alkem-laboratories-net-profit-up-by-22-3-percent-in-fy25#:~:text=Alkem%20Laboratories%20Reports%2022.3%25%20Profit,Segment%20Performance%20&%20Strategic%20Initiatives"
Link_2,https://admin.alkemlabs.com/uploads/Q4_FY_25_Results_Press_Release_and_PPT_62ded68619.pdf
Link_3,"https://www.samco.in/knowledge-center/articles/alkem-labs-share-price-falls-4-after-q4-ebitda-margin-decline/#:~:text=Main%20News,from%2013.7%25%20in%20Q4%20FY24."
Link_4,"https://finance.yahoo.com/news/alkem-laboratories-ltd-bom-539523-070324272.html#:~:text=Total%20Revenue%20from%20Operations%20(FY25,in%20FY25%2C%20indicating%20improved%20profitability."
Link_5,"https://scanx.trade/stock-market-news/earnings/alkem-labs-q4-results-miss-estimates-jefferies-lowers-price-target/10120435#:~:text=Alkem%20Laboratories'%20Q4%20results%20show,of%20%E2%82%B98.00%20per%20share."
Link_6,https://www.drugpatentwatch.com/p/applicant/Alkem+Labs+Ltd

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Financial Results (Q4 FY25 and FY25):Alkem announced its financial results for the fourth quarter (Q4) and full fiscal year (FY) ended March 31, 2025, on May 29, 2025.

Revenue from Operations: ₹31,438 million, an increase of 7.1% year-on-year (YoY).

India sales contributed ₹21,355 million (8.1% YoY growth), and international sales contributed ₹9,747 million (7.2% YoY growth).

Net Profit (after Minority Interest): ₹3,059 million, a 4.2% YoY increase.

However, EBITDA (Earnings before Interest, Tax, Depreciation, and Amortisation) declined by 2.7% YoY, and the EBITDA margin contracted to 12.4% from 13.7% in Q4 FY24.

Revenue from Operations: ₹129,645 million, a 2.3% YoY growth.

Net Profit (after Minority Interest): ₹21,655 million, a 20.6% YoY increase.

EBITDA increased by 11.9% YoY to ₹25,122 million, and the EBITDA margin expanded to 19.4% from 17.7% in FY24.

The company declared a final dividend of ₹8 per equity share, taking the total FY25 payout to ₹45 per share.

Strategic Direction:Alkem highlighted its focus on strategic growth opportunities and operational excellence for sustainable returns.

The India business demonstrated healthy growth and is expected to continue its upward trajectory.

International businesses (excluding the Americas) showed good traction,according to Alkem.

The company is also making strategic investments in R&D and expanding its biosimilar plant, expected to be operational by Q2 FY26.

The information above is based on news and updates reported around May 1, 2025, and specifically as of that date. There may be other developments since then.

While Alkem's overall performance in FY25 showed strong growth, some analysts raised concerns about the decline in EBITDA margin in Q4 FY25 and potential execution risks related to new growth initiatives.

Financial Results (Q4 FY25 and FY25):Alkem announced its financial results for the fourth quarter (Q4) and full fiscal year (FY) ended March 31, 2025, on May 29, 2025.Q4 FY25:Revenue from Operations: ₹31,438 million, an increase of 7.1% year-on-year (YoY).India sales contributed ₹21,355 million (8.1% YoY growth), and international sales contributed ₹9,747 million (7.2% YoY growth).Net Profit (after Minority Interest): ₹3,059 million, a 4.2% YoY increase.However, EBITDA (Earnings before Interest, Tax, Depreciation, and Amortisation) declined by 2.7% YoY, and the EBITDA margin contracted to 12.4% from 13.7% in Q4 FY24.FY25:Revenue from Operations: ₹129,645 million, a 2.3% YoY growth.Net Profit (after Minority Interest): ₹21,655 million, a 20.6% YoY increase.EBITDA increased by 11.9% YoY to ₹25,122 million, and the EBITDA margin expanded to 19.4% from 17.7% in FY24.The company declared a final dividend of ₹8 per equity share, taking the total FY25 payout to ₹45 per share.

Q4 FY25:Revenue from Operations: ₹31,438 million, an increase of 7.1% year-on-year (YoY).India sales contributed ₹21,355 million (8.1% YoY growth), and international sales contributed ₹9,747 million (7.2% YoY growth).Net Profit (after Minority Interest): ₹3,059 million, a 4.2% YoY increase.However, EBITDA (Earnings before Interest, Tax, Depreciation, and Amortisation) declined by 2.7% YoY, and the EBITDA margin contracted to 12.4% from 13.7% in Q4 FY24.

FY25:Revenue from Operations: ₹129,645 million, a 2.3% YoY growth.Net Profit (after Minority Interest): ₹21,655 million, a 20.6% YoY increase.EBITDA increased by 11.9% YoY to ₹25,122 million, and the EBITDA margin expanded to 19.4% from 17.7% in FY24.The company declared a final dividend of ₹8 per equity share, taking the total FY25 payout to ₹45 per share.

Strategic Direction:Alkem highlighted its focus on strategic growth opportunities and operational excellence for sustainable returns.The India business demonstrated healthy growth and is expected to continue its upward trajectory.International businesses (excluding the Americas) showed good traction,according to Alkem.The company is also making strategic investments in R&D and expanding its biosimilar plant, expected to be operational by Q2 FY26.

As on May 1, 2025, there was limited specific news or updates publicly released about Alkem Laboratories on that exact date. However, several announcements were made around that time, mainly concerning the company's financial performance and future strategy.

Key highlights include:

It is important to note that:"
