Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
APOLLOTYRE,9,2865,2025-08-21 20:50:40,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://corporate.apollotyres.com/investors/announcements/#:~:text=Annual%20Disclosure%20made%20by%20an,Download"
Link_2,"https://corporate.apollotyres.com/investors/announcements/#:~:text=Intimation%20of%20Payment%20of%20Interest%20and%20Redemption%20%2D%20April%2030%2C%202025,Download"
Link_3,"https://corporate.apollotyres.com/investors/announcements/#:~:text=Reminder%20Letter%20to%20Shareholders%2D%20May,Download"
Link_4,"https://corporate.apollotyres.com/investors/announcements/#:~:text=Results%20of%20Postal%20Ballot%2D%20April,Download"
Link_5,"https://economictimes.indiatimes.com/apollo-tyres-ltd/stocksupdate/companyid-63.cms#:~:text=05:55PM%20IST-,Announcement%20under%20Regulation%2030%20(LODR)%2DAnalyst%20/%20Investor%20Meet%20%2D,rating%20and%2024%25%20downside%20target."
Link_6,"https://corporate.apollotyres.com/press-and-media/news/financial/q4-fy25-results/#:~:text=Apollo%20Tyres%20FY25%20revenue%20closed,in%20the%204th%20quarter."
Link_7,"https://economictimes.indiatimes.com/apollo-tyres-ltd/stocksupdate/companyid-63.cms#:~:text=USD/INR87.070.11,:00%20PM%20(IST)."
Link_8,https://corporate.apollotyres.com/press-and-media/news/financial/Q1FY25-results/
Link_9,"https://corporate.apollotyres.com/press-and-media/news/financial/q4-fy25-results/#:~:text=Apollo%20Tyres%20FY25%20revenue%20closed,6%2C258%20crores%20in%20Q4%20FY24"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 & FY25 Results:Apollo Tyres announced its audited financial results for Q4 FY25 (January-March) and the entire fiscal year 2024-25. Consolidated revenue from operations for FY25 grew by 3%, reaching ₹26,123 crores. The Board recommended a dividend of ₹5.00 per equity share (500%) for FY25, subject to shareholder approval.

Challenges in FY25:The company acknowledged that its recent performance had fallen short of industry benchmarks and internal expectations, citing key challenges that led to underperformance. Targeted strategies were put in place to address these issues.

Investor Call:An investor conference call for Q4 FY25 was held, with a recording made available on May 15, 2025. An intimation for the schedule of an analyst/investor conference call was also released on May 9, 2025.

Q1 FY26 Restructuring Costs:Apollo Tyres reported a consolidated net profit of ₹12.8 crore for the June quarter, which included a one-time expense of ₹368.5 crore related to a restructuring process.

Senior Management Changes:An intimation regarding changes in senior management was released on May 1, 2025. Further information may be available in theApril 2025 Investor Announcementson the company's website.

Debt & Interest Payments:Announcements related to debt included an intimation of interest payment on April 9, 2025 and an intimation of payment of interest and redemption on April 30, 2025. A half-year report on debt was released on April 14, 2025.

Shareholder Communications:A reminder letter to shareholders was issued on May 29, 2025.

Acquisition of Shares:A disclosure under Regulation 30 regarding the acquisition of shares was made on April 28, 2025.

Apollo Tyres Welfare Trust:The restated trust deed of the Apollo Tyres Welfare Trust was announced on April 28, 2025.

World of Subsidiaries (WOS):Information related to WOS under Regulation 30 was disclosed on April 25, 2025.

Record Dates for NCDs:Intimations for record dates related to Non-Convertible Debentures (NCDs) were released on April 8, 2025 and April 25, 2025.

Postal Ballot Results:The results of a postal ballot were announced on April 17, 2025.

Share Capital Audit:A reconciliation of share capital audit report was released on April 18, 2025.

Utilisation of Proceeds of CPs:Details on the utilisation of proceeds from Commercial Papers (CPs) were disclosed on April 14, 2025.

Regulatory Compliance:An intimation under Reg 74(5) SEBI (D&P) Regulations was released on April 9, 2025.

Senior Management Changes:Intimations regarding changes in senior management were released on April 2, 2025 and April 4, 2025.

News and Updates for Apollo Tyres Ltd. (as of May 1, 2025)

Financial Performance & Dividend

Operational & Strategic Developments

Other Key Announcements (April 2025)

Note: Some announcements may have been released after market hours on the specified dates."
