Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
ASHOKLEY,13,1096,2025-08-21 20:51:46,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://hdfcsky.com/news/ashok-leylands-may-sales-up-by-5-percent#:~:text=By%20Ankur%20Chandra%20%7C%20Published%20at,28%2C953"
Link_2,"https://hdfcsky.com/news/ashok-leylands-may-sales-up-by-5-percent#:~:text=Ashok%20Leyland's%20May%20Sales%20Rise,4%2C834"
Link_3,"https://www.linkedin.com/pulse/india-commercial-vehicle-market-outlook-may-2025-dhaval-sachula-yrvof#:~:text=%F0%9F%9A%9B%20April%202025:%20Performance%20Snapshot,demand%20in%20intra%2Dcity%20logistics."
Link_4,"https://www.icra.in/Rating/DownloadResearchSummaryReport/6336#:~:text=The%20Indian%20commercial%20vehicle%20(CV,While%20pick%20up%20in%20construction"
Link_5,"https://www.equityright.com/ashok-leyland-achieves-5-sales-growth-in-may-2025-led-by-strong-mhcv-performance/#:~:text=Strong%20M&HCV%20Performance-,Ashok%20Leyland%20Achieves%205%25%20Sales%20Growth%20in%20May%202025,Led%20by%20Strong%20M&HCV%20Performance&text=Ashok%20Leyland's%20total%20sales%20(domestic,momentum%20in%20a%20competitive%20landscape.&text=Medium%20&%20Heavy%20Commercial%20Vehicles%20(M&HCV):&text=Trucks:%20The%20standout%20performer%2C%20M&HCV,the%20same%20month%20last%20year.&text=Buses:%20Sales%20in%20this%20sub,1%25%20increase%20to%201%2C920%20units.&text=Overall%20M&HCV:%20Combined%20sales%20of,Light%20Commercial%20Vehicles%20(LCV):&text=Sales%20of%20light%20commercial%20vehicles,5%2C301%20units%20in%20May%202024.&text=Including%20exports%2C%20LCV%20sales%20totaled,decline%20year%2Don%2Dyear."
Link_6,https://www.angelone.in/news/share-market/ashok-leyland-interim-dividend-record-date-tomorrow-may-22-2025
Link_7,"https://www.business-standard.com/markets/capital-market-news/ashok-leyland-total-sales-fall-6-yoy-in-april-25-125050200304_1.html#:~:text=Ashok%20Leyland%20reported%20a%206,Rs%20224.95%20on%20the%20BSE."
Link_8,"https://auto.economictimes.indiatimes.com/news/commercial-vehicle/ashok-leyland-clocks-6-decline-in-april-sales/120818425#:~:text=These%20sales%20totaled%207%2C406%20units,ago%20period%2C%20the%20company%20said."
Link_9,"https://www.capitalmarket.com/markets/news/corporate-news/Ashok-Leyland-sells-13-421-units-in-April-2025/1595666#:~:text=Ashok%20Leyland%20achieved%20total%20sales,12%2C509%20units%2C%20down%207%25."
Link_10,"https://www.autocarpro.in/news/ashok-leyland-rebounds-with-15484-unit-sales-in-may-2025-126747#:~:text=Ashok%20Leyland%20recorded%20total%20sales%20of%2015%2C484,Commercial%20Vehicle%20(M&HCV)%20segment%20driving%20the%20recovery."
Link_11,"https://www.angelone.in/news/market-updates/ashok-leyland-announces-6-25-per-share-total-dividend-for-fy25#:~:text=Ashok%20Leyland%20Announces%20%E2%82%B96.25%20Per%20Share%20Total,a%20625%25%20return%20on%20%E2%82%B91%20face%20value."
Link_12,"https://auto.economictimes.indiatimes.com/news/commercial-vehicle/ashok-leyland-reports-5-increase-in-may-vehicle-sales-to-15484-units/121563393#:~:text=Ashok%20Leyland's%20total%20vehicle%20sales%20in%20May,slight%20decline%20in%20light%20commercial%20vehicle%20sales."
Link_13,"https://www.capitalmarket.com/markets/news/hot-pursuit/Ashok-Leylands-total-sales-rises-5percent-YoY-in-May%E2%80%9925/1610024#:~:text=The%20company's%20total%20domestic%20sales%20advanced%205%25,in%20May%202025%20compared%20to%20May%202024."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Based on information available up to May 1, 2025, Ashok Leyland experienced a mixed performance in April 2025, followed by a rebound in May 2025:

Ashok Leyland's total sales in April 2025 declined by 6% year-on-year to 13,421 units. Domestic sales fell 7% to 12,509 units. The M&HCV segment's domestic sales dropped 14% to 7,406 units, while LCV domestic sales increased 6% to 5,103 units. The company also announced a second interim dividend for FY25, payable in June 2025.

May 2025 (Partial Rebound):

In May 2025, total vehicle sales rose 5% year-on-year to 15,484 units. This was driven by a 10% increase in domestic M&HCV sales to 9,386 units, while domestic LCV sales saw a 3% decline to 5,148 units.

Industry Context (April 2025):

The Indian commercial vehicle industry experienced a slight overall decline in April 2025. Despite a sales drop, Ashok Leyland maintained a 17% market share in the CV segment that month.

Note: The information above represents a snapshot of Ashok Leyland's performance and relevant industry context up to May 1, 2025, based on available news and reports."
