Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
ASTRAL,14,2671,2025-08-21 20:53:15,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.plindia.com/ResReport/ASTRA-22-5-25-PL.pdf
Link_2,https://www.astralltd.com/wp-content/uploads/2025/05/Analyst-Meet-2025-Transcript.pdf
Link_3,https://www.astralltd.com/wp-content/uploads/2025/02/Transcript-of-Earning-Call-held-on-30th-January-2025.pdf
Link_4,"https://www.moneycontrol.com/news/business/stocks/astral-limited-shares-rise-2-02-in-today-s-trading-session-alpha-article-13474984.html#:~:text=Corporate%20Actions,W%20X%20Y%20Z%20Others"
Link_5,"https://www.moneycontrol.com/news/business/stocks/astral-limited-shares-rise-2-02-in-today-s-trading-session-alpha-article-13474984.html#:~:text=Dividends:,W%20X%20Y%20Z%20Others"
Link_6,https://www.youtube.com/watch?v=Ywxw9asDTYc&t=248
Link_7,"https://www.indmoney.com/stocks/astral-ltd-share-price#:~:text=Astral%20Earnings%20and%20Dividends,a%20dividend%20yield%20of%200.27%25."
Link_8,"https://www.astralpipes.com/press-releases/#:~:text=Latest%20Press%20Releases%20&%20Updates%20%2D%20Astral,Business%20Line07%2D06%2D2023"
Link_9,https://www.moneycontrol.com/financials/astralltd/results/quarterly-results/APT02
Link_10,"https://www.sharekhan.com/MediaGalary/StockIdea/Astral-Jul02_2025.pdf#:~:text=Astral%20continues%20to%20strengthen%20its%20presence%20in,EPS%2C%20offering%20a%20compelling%20long%2Dterm%20investment%20opportunity."
Link_11,"https://tubepipeindia.com/astral-limited-to-acquire/#:~:text=Apr%2017%2C%202025,conditions%20outlined%20in%20the%20agreement."
Link_12,https://www.icicidirect.com/research/equity/trending-news/astral-forays-into-paint-business-through-acquisition-of-gem-paints
Link_13,"https://groww.in/stocks/astral-poly-technik-ltd#:~:text=Financials,Odisha%2C%20and%20Sitarganj%2C%20Uttarakhand."
Link_14,"https://www.angelone.in/news/market-updates/astral-share-price-dropped-7-percent-posted-revenue-dip-yoy-in-q1-fy26-results#:~:text=Conclusion%20Astral%20(%20Astral%20Limited%20)%20navigated,mentioned%20are%20only%20examples%20and%20not%20recommendations."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Astral announced the acquisition ofAl-Aziz Plastics Private Limited for INR 33 crorein April 2025. This acquisition aimed to strengthen Astral's position in infrastructure and utility solutions by enhancing its plastic pipes and components manufacturing capabilities.

The company was finalizing trials forOPVC productsand awaiting BIS and ISI approvals, expecting a significant sales boost from this new line.

Astral planned to introduce100 colors of different cartridges colored silicone, a first for the Indian market.

The company was expanding its manufacturing facilities, with construction underway at theKanpur plantfor water tanks and PVC pipes, and pipe production already started at its Andhra Pradesh/Telangana plant.

Astral had increased its pipe and fittings capacity to381,957 MT, a 14.3% YoY increase.

The company had also started commercial production ofSWR fittingsat its Ghiloth plant and was producing various pipes and water tanks from its Hyderabad plant.

Astral had expanded itsball valve rangeand was developing other industrial and plumbing valves.

They were also adding machines forsilent pipesand had more than doubled the capacity of their drain probes.

The company announced that it was the first in India to receive complete approval forHPVC pipes and fittings for fire applications.

Astral was preparing to launch an advanced range ofPEX aluminum pipesfrom India, utilizing a high-tech, fast machine, likely around the time of Diwali.

Astral's consolidated Q4FY25 net sales stood atINR 1,681.40 crore, up 3.46% Y-o-Y.

The plumbing business witnessed soft volume growth of1.3%due to weak demand and delays in anti-dumping duties on PVC resin prices.

However, plumbing EBITDA margin remained flat YoY at20.4%, with EBITDA per kg at INR 37, which was considered healthy given the challenging demand environment.

The paints and adhesives segment reported a13.7% YoY revenue growth.

Astral announced a final dividend ofINR 2.25 per shareon May 21, 2025.

The company's analyst meet in May 2025 highlighted expected continued growth in the P&F business and paints & adhesives segment in FY26.

Astral was also focused onmaintaining EBITDA margin above 16%in the coming years.

The company was actively targeting theexport market in UAE, Gulf, and Africa.

Astral planned to enter thepaint businessthrough the acquisition of Gem Paints.

The company emphasized its focus onvalue-added productsand expanding new businesses like plastic tanks, paints, faucets, and sanitaryware.

Astral Limited announced several developments around May 1, 2025, primarily focusing on strategic expansion, product development, and financial performance ."
