Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
AWL,7,1531,2025-08-21 20:39:24,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.livemint.com/awl-agri-business/news/companyid-s0005229#:~:text=Q1%20brings%20signs%20of%20FMCG,Awl%20Agri%20Business%20Quick%20Links"
Link_2,"https://www.awl.in/news/#:~:text=AWL%20Agri%20Standalone%20June%202025,Technology%20Infrastructure%20Upgrade"
Link_3,"https://www.nseindia.com/get-quotes/equity?symbol=AWL#:~:text=AWL%20Agri%20Business%20Limited%20Share%20Price%20Today%2C,historical%20charts%2C%20market%20performance%2C%20capitalisation%2C%20dividends%2C%20volume%2C"
Link_4,"https://m.economictimes.com/awl-agri-business-ltd/stocksupdate/companyid-16234.cms#:~:text=This%20sale%20aligns%20with%20Adani's,now%20become%20the%20majority%20shareholder.&text=AWL%20Agri%20Business%20reported%20its,investor%20sentiment%20in%20Thursday's%20trade.&text=Investor%20Presentation%20on%20Unaudited%20Financial,quarter%20ended%2030th%20June%202025.&text=Adani%20Wilmar%20(AWL%20Agri%20Business,segments%20offset%20edible%20oil%20gains.&text=AWL%20Agri%20Business%20Ltdhas%20informed,ended%20on%20June%2030%2C%202025.&text=Intimation%20for%20closure%20of%20Trading%20Window.&text=06:06PM%20IST-,Corrigendum%20to%20Notice%20of%2027th,Meeting%20dated%2028th%20April%2C%202025.&text=Disclosure%20on%20imposition%20of%20penalty."
Link_5,"https://www.business-standard.com/topic/adani-wilmar#:~:text=Adani%20Enterprises%20Q4%20results:%20Net,2025%20%7C%205:16%20PM%20IST"
Link_6,"https://m.economictimes.com/adani-wilmar-ltd/stocksupdate/companyid-16234.cms#:~:text=Adani%20Wilmar%20share%20price:%20The,focus%20on%20main%20infrastructure%20business."
Link_7,https://www.nirmalbang.com/share-price/awl-agri-business/207673

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Adani Group exits the joint venture with Wilmar InternationalAdani Group has fully divested from AWL Agri Business by selling its remaining 10.42% stake to investors from the US, UK, Middle East, and India. The deal occurred at ₹275.5 per share,according to The Economic Times. This follows Adani Enterprises' prior sale of a 20% stake to Wilmar International for ₹7,150 crore. Wilmar International is now the majority shareholder. This move aligns with Adani's strategy to exit the FMCG sector and focus on its main infrastructure business.

Q4 FY25 Financial Results:AWL Agri Business Limited's Board meeting on April 28, 2025 considered and approved the financial results for the quarter ended March 31, 2025. Net profit for Q4 increased by 22% to ₹191 crore. Revenue rose 36% compared to the previous year. Volume growth for the quarter was 7%.

Strategic Initiatives:AWL is focusing on expanding its food and FMCG businesses. The company plans to improve its edible oil business, which is facing challenges due to cooling edible oil prices and increased competition.

Stock Performance:The stock price is experiencing fluctuations. On May 1, 2025, the open price was ₹265.55, the high price was ₹280.60, the low price was ₹248.10, and the close price was ₹274.50.

Latest news and updates for AWL Agri Business Ltd (formerly Adani Wilmar Limited) as on May 1, 2025:

Note: The information provided is based on news and updates available as of May 1, 2025. Market conditions and company performance may have changed since then."
