Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
BAJFINANCE,6,2661,2025-08-21 20:58:00,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.bajajfinserv.in/finance-digital-annual-report-fy25/chairman-letter.html#:~:text=BFL%20achieved%20a%20growth%20of,from%20multiple%20banks%20in%20FY2025."
Link_2,"https://www.businessworld.in/article/airtel-bajaj-finance-collaborate-to-expand-digital-financial-services-545356#:~:text=Under%20the%20agreement%2C%20Airtel%20will,%2C%20targeting%20first%2Dtime%20borrowers."
Link_3,"https://www.angelone.in/news/market-updates/rbi-slaps-bajaj-finance-with-notice-no-branded-credit-cards#:~:text=Bajaj%20Finance%20had%20previously%20announced,We're%20Live%20on%20WhatsApp!"
Link_4,"https://www.goodreturns.in/personal-finance/4-1-bonus-1-2-split-before-june-27-nbfc-buy-bajaj-finance-stock-2800-dividend-record-date-may-2025-1426191.html#:~:text=By%20Pooja%20Jaiswar,moderate%20outlook%20and%20healthy%20valuation."
Link_5,"https://www.bajajfinserv.in/bajaj-finance-q4-results-dividend-stock-split-2025#:~:text=Bajaj%20Finance%20has%20announced%20a,completed%20by%20June%2027%2C%202025."
Link_6,"https://cms-assets.bajajfinserv.in/is/content/bajajfinance/press-release-2025pdf?scl=1&fmt=pdf#:~:text=Airtel%20will%20initially%20offer%20Bajaj,credit%20underwriting%20and%20financial%20inclusion."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Bonus Issue, Stock Split & Dividend:

Bajaj Finance announced a4:1 bonus issueand a1:2 stock split.

Record date for both corporate actions wasJune 16, 2025.

The company declared a total dividend ofRs. 56 per sharefor FY25.

This includes a special interim dividend of Rs. 12 (paid around May 26, 2025) and a final dividend of Rs. 44 (scheduled for disbursal around July 28, 2025).

RBI Notice on Co-branded Cards:

RBI issued a notice to Bajaj Finance regarding its co-branded credit cards.

Following this, Bajaj Finance ceased sourcing new co-branded cards with RBL Bank and DBS Bank.

Partnership with Airtel:

Bajaj Finance partnered with Bharti Airtel to offer financial products through the Airtel Thanks App.

This aimed to expand the reach of financial services to a broader customer base.

Financial Performance (FY25):

Assets Under Management (AUM) grew by26%to Rs 4,16,661 crore.

Customer base expanded by22%, reaching over 101.82 million.

Net Total Income (NTI) increased by24%to Rs 44,954 crore.

Profit After Tax (PAT) grew by over16%to Rs 16,779 crore.

The company delivered a Return on Average Assets (RoA) of4.57%and a Return on Average Equity (ROE) of19.19%.

Bonus Issue, Stock Split & Dividend:Bajaj Finance announced a4:1 bonus issueand a1:2 stock split.Record date for both corporate actions wasJune 16, 2025.The company declared a total dividend ofRs. 56 per sharefor FY25.This includes a special interim dividend of Rs. 12 (paid around May 26, 2025) and a final dividend of Rs. 44 (scheduled for disbursal around July 28, 2025).

The company declared a total dividend ofRs. 56 per sharefor FY25.This includes a special interim dividend of Rs. 12 (paid around May 26, 2025) and a final dividend of Rs. 44 (scheduled for disbursal around July 28, 2025).

RBI Notice on Co-branded Cards:RBI issued a notice to Bajaj Finance regarding its co-branded credit cards.Following this, Bajaj Finance ceased sourcing new co-branded cards with RBL Bank and DBS Bank.

Partnership with Airtel:Bajaj Finance partnered with Bharti Airtel to offer financial products through the Airtel Thanks App.This aimed to expand the reach of financial services to a broader customer base.

Financial Performance (FY25):Assets Under Management (AUM) grew by26%to Rs 4,16,661 crore.Customer base expanded by22%, reaching over 101.82 million.Net Total Income (NTI) increased by24%to Rs 44,954 crore.Profit After Tax (PAT) grew by over16%to Rs 16,779 crore.The company delivered a Return on Average Assets (RoA) of4.57%and a Return on Average Equity (ROE) of19.19%.

Note: The information above is based on reports and announcements made on or before May 1, 2025."
