Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
BEL,14,4274,2025-08-21 21:07:11,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://economictimes.indiatimes.com/bharat-electronics-ltd/stocks/companyid-11945.cms#:~:text=Zero%20Debt%20Burden,last%20traded%20price%20is%20374.20"
Link_2,"https://economictimes.indiatimes.com/bharat-electronics-ltd/stocks/companyid-11945.cms#:~:text=Intraday%20fact%20check,last%20traded%20price%20is%20374.20"
Link_3,"https://www.businesstoday.in/markets/stocks/story/paras-defence-wins-order-from-bel-check-stock-reaction-490502-2025-08-21#:~:text=The%20order%20is%20to%20be,before%20making%20any%20investment%20decisions."
Link_4,"https://www.businesstoday.in/markets/stocks/story/paras-defence-wins-order-from-bel-check-stock-reaction-490502-2025-08-21#:~:text=The%20stock%20fell%20to%20a,organisations%20involved%20in%20space%20research."
Link_5,"https://www.businesstoday.in/markets/stocks/story/paras-defence-wins-order-from-bel-check-stock-reaction-490502-2025-08-21#:~:text=Paras%20Defence%20shares%20ended%200.04,Applications%2C%22%20said%20Paras%20Defence."
Link_6,"https://bel-india.in/news-bel/#:~:text=In%20the%20fiscal%20year%202024,in%20the%20Strategic%20Electronics%20sector.%E2%80%9D"
Link_7,"https://bel-india.in/news-bel/#:~:text=Bengaluru%2C%20April%201%2C%202025:,including%20MSMEs%20&%20Start%2Dups."
Link_8,"https://www.etnownews.com/markets/bel-share-price-target-2025-can-defence-stock-cross-rs-400-mark-in-current-rally-article-151686992#:~:text=earlier%20Rs%20350).-,BEL%20Dividend%202025,announced%20in%20the%20due%20course."
Link_9,"https://www.etnownews.com/markets/bel-share-price-target-2025-time-to-buy-bharat-electronics-stock-after-q4-results-dividend-announced-article-151678898#:~:text=BEL%20Dividend%202025%20Announcement,announced%20in%20the%20due%20course."
Link_10,"https://scanx.trade/stock-market-news/orders-deals/paras-defence-and-space-secures-45-32-crore-contract-from-bharat-electronics-limited/17313053#:~:text=Paras%20Defence%20&%20Space%20Technologies%20Limited,at%2029%20months%20or%20earlier."
Link_11,"https://www.screener.in/company/BEL/consolidated/#:~:text=Market%20Cap%20%E2%82%B9%202%2C73%2C569,43.8%20days%20to%2085.4%20days"
Link_12,"https://bel-india.in/news-bel/bel-receives-orders-worth-rs-593-22-crores/#:~:text=Bengaluru%2C%20April%202%2C%202025:,(Rupees%20five%20thousand%20crores)."
Link_13,"https://www.equitypandit.com/apollo-micro-systems-shares-rise-on-winning-rs-25-1-crore-orders/#:~:text=public%20sector%20undertakings.-,The%20company%20did%20not%20disclose%20details%20about%20the%20contract's%20scope,Signals%20and%20start%20winning%20now!"
Link_14,"https://www.angelone.in/ipo/classic-electrodes-ipo#:~:text=About%20Classic%20Electrodes%20IPO,IPO%20RHP%20for%20complete%20details."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Order Book and Financial Performance:

As of April 1, 2025, BEL's total order book stood at around ₹71,650 crore, including an export order book of USD 359 million.

BEL secured orders worth Rs. 18,715 Cr in the fiscal year 2024-25.

BEL received orders worth ₹593.22 Crores on April 2, 2025, for providing maintenance services for the Akash Missile System to the Indian Air Force.

The company concluded negotiations for the acquisition of orders worth ₹5,000 Crores around the same time.

BEL achieved a turnover of around Rs. 23,000 Cr (Provisional & Unaudited) during FY 2024-25, a 16% growth over the previous year.

The company's export sales were around US$ 106 Million during FY 2024-25, a 14% growth.

BEL has delivered good profit growth of 23.8% CAGR over the last 5 years.

BEL's Q4 FY 2025 net profit increased 18% YoY to ₹2,127 crore, while revenue rose 7% to ₹9,150 crore.

For the full financial year 2024-25, BEL's PAT was ₹5,323 crore, and revenue was ₹23,769 crore.

BEL's Q1 FY26 (June 2025 quarter) revenue increased by 46% to ₹133.5 crore YoY, and profit after tax more than doubled to ₹17.6 crore from ₹8.4 crore in Q1 FY25.

Management & Stock Related:

On May 19, 2025, the Board of Directors of BEL recommended a final dividend of Re 0.90 per equity share (90%) of Re 1 each for the financial year 2024-25,according to ET Now.

Brokerages like Nuvama, JM Financial, and ICICI Securities have maintained a ""Buy"" rating on BEL shares after the Q4 results and raised the target price.

According to The Economic Times, BEL is almost debt-free.

The stock's 52-week low was Rs 401 on April 7, 2025.

Paras Defence and Space Technologies Limited won a contract worth approximately ₹45.32 crore (including taxes) from BEL to supply Signal and Data Processing Systems and Multi-Sensor Fusion Systems for Air Defence Applications.

Order Book and Financial Performance:As of April 1, 2025, BEL's total order book stood at around ₹71,650 crore, including an export order book of USD 359 million.BEL secured orders worth Rs. 18,715 Cr in the fiscal year 2024-25.BEL received orders worth ₹593.22 Crores on April 2, 2025, for providing maintenance services for the Akash Missile System to the Indian Air Force.The company concluded negotiations for the acquisition of orders worth ₹5,000 Crores around the same time.BEL achieved a turnover of around Rs. 23,000 Cr (Provisional & Unaudited) during FY 2024-25, a 16% growth over the previous year.The company's export sales were around US$ 106 Million during FY 2024-25, a 14% growth.BEL has delivered good profit growth of 23.8% CAGR over the last 5 years.BEL's Q4 FY 2025 net profit increased 18% YoY to ₹2,127 crore, while revenue rose 7% to ₹9,150 crore.For the full financial year 2024-25, BEL's PAT was ₹5,323 crore, and revenue was ₹23,769 crore.BEL's Q1 FY26 (June 2025 quarter) revenue increased by 46% to ₹133.5 crore YoY, and profit after tax more than doubled to ₹17.6 crore from ₹8.4 crore in Q1 FY25.

Management & Stock Related:On May 19, 2025, the Board of Directors of BEL recommended a final dividend of Re 0.90 per equity share (90%) of Re 1 each for the financial year 2024-25,according to ET Now.Brokerages like Nuvama, JM Financial, and ICICI Securities have maintained a ""Buy"" rating on BEL shares after the Q4 results and raised the target price.According to The Economic Times, BEL is almost debt-free.The stock's 52-week low was Rs 401 on April 7, 2025.

Other news:Paras Defence and Space Technologies Limited won a contract worth approximately ₹45.32 crore (including taxes) from BEL to supply Signal and Data Processing Systems and Multi-Sensor Fusion Systems for Air Defence Applications.

As of May 1, 2025, there is no specific news or update available regarding Bharat Electronics Limited (BEL). The provided search results detail various BEL news and updates from March to August 2025, but none are specifically dated May 1, 2025.

However, based on the information gathered, here are some relevant updates surrounding that period:

It's important to note that while these updates are close to the requested date, they are not specific to May 1, 2025. It's recommended to consult the official BEL website or stock exchange filings for the most accurate and precise information."
