Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
BHARTIHEXA,37,1713,2025-08-21 21:10:27,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.business-standard.com/markets/bharti-hexacom-ltd-share-price-15330.html#:~:text=Bharti%20Hexacom%20Ltd's%20top%205,cent%20as%20of%20Sep%202024."
Link_2,https://www.business-standard.com/markets/bharti-hexacom-ltd-share-price-15330.html
Link_3,"https://www.screener.in/company/BHARTIHEXA/#:~:text=%E2%82%B9%201%2C801%201.61%25,15.2%20times%20its%20book%20value"
Link_4,"https://ijrpr.com/uploads/V6ISSUE6/IJRPR48462.pdf#:~:text=d)%20Growing%20Focus%20on%20Strategic%20Sustainability%20Companies,footprints%2C%20and%20appeal%20to%20environmentally%20conscious%20consumers."
Link_5,https://ijrpr.com/uploads/V6ISSUE6/IJRPR48462.pdf
Link_6,"https://ijrpr.com/uploads/V6ISSUE6/IJRPR48462.pdf#:~:text=b)%20Vertical%20Mergers%20Vertical%20mergers%20occur%20between,better%20quality%20management%20throughout%20the%20production%20cycle."
Link_7,"https://www.nseindia.com/get-quotes/equity?symbol=BHARTIHEXA#:~:text=Bharti%20Hexacom%20Limited%20(INE343G01021),20%2DAug%2D2025"
Link_8,"https://www.tickertape.in/stocks/bharti-hexacom-BHARI#:~:text=BHARTIHEXA%20Stock%20Summary%20%C2%B7%20May%202025,success%20in%20a%20dynamic%20market."
Link_9,"https://economictimes.indiatimes.com/bharti-hexacom-ltd/stocks/companyid-18654.cms#:~:text=Bharti%20Hexacom%20share%20price%20insights,last%20traded%20price%20is%201%2C772.90"
Link_10,"https://www.angelone.in/news/market-updates/bharti-hexacom-share-price-dips-3-percent-revenue-rises-yoy-in-q1fy26-results#:~:text=in%20Q1FY26%20Results-,Bharti%20Hexacom%20Share%20Price%20Dips%203%25;%20Revenue%20Rises%2018.4,Income%20Doubles%2C%20Capital%20Efficiency%20Improves"
Link_11,https://thelawreporters.com/upcoming-mergers-and-acquisitions-in-2025-major-deals-on-the-horizon#:~:text=Upcoming%20Mergers%20and%20Acquisitions%20in%202025:%20Major%20Deals%20on%20the%20Horizon
Link_12,"https://thelawreporters.com/upcoming-mergers-and-acquisitions-in-2025-major-deals-on-the-horizon#:~:text=Final%20Thoughts%20*%20UAEUAE%20to%20Clear%204,Revokes%2050%2C000%20Nationalities%20in%20Clampdown%20on%20Fraud."
