Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
BPCL,9,1171,2025-08-21 21:09:04,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://bharatpetroleum.in/Bharat-Petroleum-For/Refineries/Mumbai-Refinery(MR)/Future-Plans-and-Projects.aspx#:~:text=13%2C000%20Crores%20in%20the%20following%20projects.%20*,at%20Rasayani%20along%20with%20the%20connecting%20pipelines."
Link_2,"https://www.bharatpetroleum.in/our-businesses/refineries/mumbai-refinery(mr)/future-plans-and-projects.aspx#:~:text=Petrochemical%20Diversification,Learn%20more"
Link_3,"https://trendlyne.com/latest-news/only-news/215/BPCL/bharat-petroleum-corporation-ltd/?page=2#:~:text=Listen%20to%20the%20full%20earnings,Q4%20FY25%20on%20margin%20squeeze"
Link_4,"https://www.stockinsights.ai/in/BPCL/announcement/expansion-plans-20250530-2de#:~:text=Bharat%20Petroleum's%20Board%20has%20approved,other%20regulatory%20approvals%20and%20on"
Link_5,https://www.bharatpetroleum.in/?src=seo-plant-maintenance
Link_6,https://www.investing.com/news/transcripts/earnings-call-transcript-bharat-petroleum-q1-2025-sees-revenue-beat-eps-miss-93CH-4191363
Link_7,"https://in.investing.com/news/transcripts/earnings-call-transcript-bharat-petroleum-q1-2025-sees-revenue-beat-eps-miss-93CH-4963985#:~:text=Key%20Takeaways,0.12%20standalone%2C%200.44%20group%20level."
Link_8,"https://www.consciouscarma.com/bpcl-plans-to-invest-rs-1-5-lakh-crore-in-the-next-5-yrs-towards-project-aspire-draws-net-zero-roadmap-with-additional-capital-outlay-of-rs-1-lakh-cr-27/#:~:text=In%20E%2DMobility%2C%20BPCL%20plans,refineries%20in%20Mumbai%20and%20Bina."
Link_9,"https://www.stockinsights.ai/in/BPCL/announcement/expansion-plans-20250530-2de#:~:text=BPCL%20Bharat%20Petroleum%20Corporation%20Ltd%20Expansion%20Plans,India%20for%20manufacturing%20value%2Dadded%20bitumen%2C%20pending%20regulatory"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Shri Sanjay Khannahas taken over the additional charge of Chairman & Managing Director of BPCL.

Shri Raj Kumar Dubey has taken over the additional charge of Director (Marketing) of BPCL.

Saudi Aramcois reportedly interested in acquiring a 20% stake each in new BPCL and ONGC refineries, as India aims to become a global refining hub.

BPCL's Board approved a Rs. 14,200 crore investment for replacing old refining units and forming a joint venture with Tikitar and Shell India to produce value-added bitumen, pending approvals.

BPCL shares experienced a slight dip of 1.27% after reporting mixed Q1 2025 results, with revenue exceeding expectations but EPS falling short.

BPCL continues its expansion in the e-mobility and biofuel sectors, aiming for 7,000 EV charging stations and 20% ethanol blending by 2025.

BPCL plans to invest significantly in petrochemical diversification at its Mumbai Refinery, including a Kerosene Hydro Treater (KHT) and a Polypropylene Unit (PP).

The company is also developing an integrated 2G + 1G Ethanol Bio-refinery at Bargarh, Odisha.

Here are some key updates regarding Bharat Petroleum Corporation Ltd (BPCL) as of May 1, 2025:"
