Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
CGPOWER,6,1486,2025-08-21 21:14:31,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.cgglobal.com/stock_exchange_disclosure#:~:text=12%20May%2025-,VIEW%20DOWNLOAD,CALL%20US"
Link_2,https://www.nseindia.com/get-quotes/equity?symbol=CGPOWER
Link_3,"https://trendlyne.com/latest-news/293/CGPOWER/cg-power-and-industrial-solutions-ltd/?page=5&qstime=1753355547#:~:text=CG%20Power%20And%20Industrial%20Solutions%20Ltdhas%20informed%20BSE%20that%20the,quarter%20ending%2031st%20March%2C%202025."
Link_4,"https://www.goodreturns.in/news/cg-power-dividend-2025-multibagger-stock-announces-65-payout-record-date-set-should-you-buy-1412477.html#:~:text=CG%20power%20divided%20details,of%20the%20Companies%20Act%2C%202013."
Link_5,"https://www.goodreturns.in.en2hi.search.translate.goog/news/cg-power-dividend-2025-multibagger-stock-announces-65-payout-record-date-set-should-you-buy-1412477.html#:~:text=%E0%A4%B8%E0%A5%80%E0%A4%9C%E0%A5%80%20%E0%A4%AA%E0%A4%BE%E0%A4%B5%E0%A4%B0%20%E0%A4%B5%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%BF%E0%A4%A4%20%E0%A4%B5%E0%A4%BF%E0%A4%B5%E0%A4%B0%E0%A4%A3,%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B5%E0%A4%A7%E0%A4%BE%E0%A4%A8%E0%A5%8B%E0%A4%82%20%E0%A4%95%E0%A5%87%20%E0%A4%85%E0%A4%A8%E0%A5%81%E0%A4%B8%E0%A4%BE%E0%A4%B0%20%E0%A4%95%E0%A4%BF%E0%A4%AF%E0%A4%BE%20%E0%A4%9C%E0%A4%BE%E0%A4%8F%E0%A4%97%E0%A4%BE%E0%A5%A4"
Link_6,"https://www.moneycontrol.com/news/business/stocks/hindustan-unilever-shares-gain-1-04-in-early-trade-alpha-article-13246593.html#:~:text=The%20company%20has%20announced%20several%20corporate%20actions%2C,final%20and%20interim%20dividends%20in%20previous%20years."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Board meeting for financial results:A board meeting was scheduled forMay 6, 2025,to consider and approve the audited financial results for the quarter and financial year ended March 31, 2025.

Trading window closure:The trading window for dealing in CG Power securities by designated persons remained closed from March 31, 2025, until May 8, 2025, due to the impending release of the audited financial results.

Recent Announcements:The company made several announcements in late April 2025, including an earnings call intimation onApril 30, 2025, a press release onApril 28, 2025, and the allotment of shares under its ESOP Plan onApril 18, 2025. Earlier in April, they disclosed a stay order from the Income Tax Department onApril 9, 2025, and provided an update on their RF Component Business onApril 3, 2025.

Interim Dividend Payment:The interim dividend of ₹1.30 per share for the financial year 2024-25, approved on March 18, 2025, was scheduled to be paid on or afterApril 16, 2025. The record date for this payout was March 22, 2025.

Based on the provided information, here are the latest updates related to CG Power and Industrial Solutions Ltd. as of May 1, 2025:

In summary, around May 1, 2025, CG Power was primarily focused on the upcoming release of its financial results, with the trading window for insider trading remaining closed. The company had also recently completed the payment of its interim dividend and made various corporate announcements throughout April."
