Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
CHOLAFIN,7,1451,2025-08-21 21:16:44,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.cholamandalam.com/news/press-release#:~:text=2025,Quarter%20Ended%2030th%20June%202023"
Link_2,"https://economictimes.indiatimes.com/cholamandalam-investment-finance-company-ltd/stocksupdate/companyid-12159.cms#:~:text=08:29PM%20IST-,Cholamandalam%20Investment%20And%20Finance%20Company%20Ltdhas%20informed%20BSE%20that%20the,quarter%20ended%2030%20June%2C%202025."
Link_3,"https://timesofindia.indiatimes.com/business/india-business/cholamandalam-investment-and-finance-delivers-strong-q4-pat-up-25-recommends-final-dividend/articleshow/120642478.cms#:~:text=For%20the%20full%20year%2C%20income,33%25%20off%20%E2%80%93%20Enroll%20now!"
Link_4,https://www.cholasecurities.com/admin/researchpdf/morning-insights-26-may-2025.pdf
Link_5,https://www.cholasecurities.com/admin/researchpdf/morning-insights-05-may-2025.pdf
Link_6,"https://economictimes.indiatimes.com/cholamandalam-investment-finance-company-ltd/stocks/companyid-12159.cms#:~:text=Intraday%20fact%20check,last%20traded%20price%20is%201%2C519.00"
Link_7,https://kslindia.com/wp-content/uploads/2025/08/KSL-Firstcall-Daily-Report-21-Aug-2025.pdf

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Strong Q4 FY25 Performance (as of March 31, 2025):

Cholamandalam Investment and Finance Company Ltd announced strong Q4 and full-year results.

Total disbursements for FY25 crossed ₹1 lakh crore, a 14% year-on-year growth.

Assets Under Management (AUM) grew by 30% to reach ₹1,99,876 crore.

The company maintained a healthy Capital Adequacy Ratio (CAR) of 19.75%.

A final dividend of ₹0.70 per share was recommended by the board.

RBI's Dividend Boost to Government Finances (May 2025):

Around this period, the Reserve Bank of India (RBI) announced a significant dividend of ₹2.69 lakh crore to the government.

This was expected to help the government meet its fiscal deficit target.

Broader Market Context (May 1, 2025):

OnMay 1, 2025, the Nifty 50 index showed a positive trend, closing above the 25,000 mark and its 100-day moving average (DMA).

However, the Bank Nifty underperformed the Nifty 50 on the same day.

As of May 1, 2025 , there's no specific major news or announcements available for Cholamandalam Investment and Finance Company Ltd (CHOLAFIN).

However, we can look at the broader context of the company's performance and recent developments around that time:

While there's no specific news for CHOLAFIN on May 1, 2025 , the company had recently announced strong financial performance for Q4 FY25, and the broader market context, including the RBI dividend announcement, could have indirectly influenced investor sentiment."
