Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
CONCOR,13,1406,2025-08-21 21:21:06,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.goodreturns.in/personal-finance/concor-bonus-issue-2025-1-free-share-for-every-4-held-record-date-last-chance-to-buy-railway-psu-1439967.html#:~:text=CONCOR%20Bonus%20Issue%202025%20Details,least%20one%20day%20in%20advance."
Link_2,"https://www.angelone.in/news/concor-bonus-share-history-board-to-consider-new-issue-on-may-22#:~:text=Container%20Corporation%20of%20India%20Ltd,of%20its%20past%20bonus%20issues:"
Link_3,"https://www.angelone.in/news/share-market/container-corporation-of-india-shares-gain-for-the-1st-time-in-4-days-bonus-share-record-date-announced#:~:text=Container%20Corporation%20Bonus%20Share%20Details,held%2C%20subject%20to%20shareholder%20approval."
Link_4,"https://www.livemint.com/market/stock-market-news/container-corporation-of-india-declares-record-date-for-1-4-bonus-shares-details-here-11750392432370.html#:~:text=The%20brokerage%20further%20highlighted%20that,to%20unlock%20more%20freight%20corridors."
Link_5,"https://www.venturasecurities.com/news/stocks/concor-likely-to-announce-bonus-soon-check-board-meeting-date-and-bonus-history/#:~:text=Share,17%2DApr%2D2008"
Link_6,"https://www.news18.com/business/markets/concor-announces-14-bonus-issue-sets-record-date-for-next-week-ws-kl-9410835.html#:~:text=In%20continuation%20to%20our%20letter,is%20part%20of%20BSE%20200."
Link_7,"https://www.livemint.com/market/stock-market-news/dividend-bonus-share-announcement-fail-to-lift-concor-share-price-is-it-a-stock-to-buy-post-q4-results-2025-11747978683010.html#:~:text=Dividend%20&%20bonus%20issue,weak%20foundation%2C%E2%80%9D%20Jain%20added."
Link_8,"https://www.angelone.in/news/share-market/container-corp-bonus-issue-today-july-4-is-the-record-date-to-qualify#:~:text=Concor%20Bonus%20Issue%20Ratio%20and%20Dates%20Concor,February%202019%2C%20also%20in%20a%201:4%20ratio."
Link_9,"https://www.kotaksecurities.com/financial-results/concord-biotech-ltd-q4fy25-results/#:~:text=Concord%20Biotech%20Ltd's%20Q4FY25%20Quarter%20Results:%20Get,loss%20statements%2C%20quick%20analysis%2C%20and%20quarterly%20insights."
Link_10,"https://www.facebook.com/OfficialCONCOR/photos/creating-value-for-stakeholders-promoting-ease-of-doing-business-for-customersco/1073679971617508/#:~:text=10h%F3%B0%9E%8B%F3%B1%9F%A0-,Creating%20Value%20for%20Stakeholders...,of%20India%20BSEIndia%20moneycontrol.com"
Link_11,"https://hdfcsky.com/news/mold-tek-packaging-shares-surge-8-percent-to-hit-52-week-high#:~:text=The%20company%20also%20declared%20a%20final%20dividend,including%20an%20earlier%20interim%20dividend%20of%20%E2%82%B92.00."
Link_12,"https://hdfcsky.com/news/mold-tek-packaging-surges-more-than-8-percent-outshines-in-bear-market#:~:text=The%20board%20recommended%20a%20final%20dividend%20of,share%20on%20a%20face%20value%20of%20%E2%82%B95."
Link_13,"https://www.moneycontrol.com/news/business/stocks/torrent-pharmaceuticals-shares-jump-2-5-to-hit-all-time-high-in-early-trade-alpha-article-13341613.html#:~:text=Final%20Dividend:%20Rs.6.0000%20per%20share%20(120%25)%20announced,May%2C%202022%20(Ex%2DBonus%20Date:%2008%20Jul%2C%202022)"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"CONCOR announced a bonus share issue in the ratio of 1:4 (one new share for every four shares held), subject to shareholder approval.

The board of directors considered this proposal in a meeting scheduled for May 22, 2025.

The postal ballot for seeking shareholder approval was dispatched on May 28, 2025.

CONCOR announced its Q4 FY25 results, with consolidated net profit down 4.5% year-on-year to ₹287.69 crore and revenue from operations down 1.6% to ₹2,288 crore.

Despite the dip in Q4 profit, the company recorded its highest-ever throughput in container handling for the full financial year, crossing the 5 million TEUs mark.

Full financial year PAT and revenue reached record highs of ₹1292 crore and ₹8887 crore respectively.

The company declared a final dividend of ₹2 per share for FY25.

CONCOR is actively pursuing expansion plans, with a capex of ₹8.1 billion in FY25 and a target of ₹8.6 billion for FY26 to expand its fleet and terminal network.

The company is also focusing on leveraging the dedicated freight corridors (DFCs) to enhance efficiency and redirect volumes.

Latest news and updates for CONCOR (Container Corporation of India Ltd.) as of May 1, 2025:

In summary, as of May 1, 2025, CONCOR was focused on its bonus share issue, while navigating a slight dip in quarterly profit despite achieving record-breaking annual performance and pursuing ambitious expansion plans."
