Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
COROMANDEL,8,1593,2025-08-21 21:21:51,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.moneycontrol.com/news/business/stocks/coromandel-international-shares-rise-2-37-on-nifty-midcap-150-alpha-article-13471088.html#:~:text=The%20consolidated%20revenue%20for%20the%20year%2Dending%20March%202025%20was,date%20of%20February%205%2C%202025."
Link_2,"https://economictimes.indiatimes.com/coromandel-international-ltd/stocksupdate/companyid-13851.cms#:~:text=Fertilizer%20and%20agrochemical%20stocks%20surged,%2C%202025%2C%2004:43PM%20IST"
Link_3,"https://economictimes.indiatimes.com/coromandel-international-ltd/stocksupdate/companyid-13851.cms#:~:text=Because%20of%20a%20stray%20bit%20of%20news%20emerging%20out%20of%20China.&text=02:44PM%20IST-,Newspaper%20advertisement%20regarding%20Notice%20of%20Special%20Window%20for%20re%2Dlodgement,transfer%20requests%20of%20physical%20shares.&text=Fertilizer%20and%20agrochemical%20stocks%20surged,driven%20by%20import%20replacement%20opportunities.&text=Outcome%20of%20the%20Board%20Meeting.&text=Coromandel%20International%20Ltdhas%20informed%20BSE,Quarter%20Ended%20June%2030%2C%202025.&text=Several%20companies%2C%20including%20Coromandel%20International,share%2C%20plus%20a%20special%20dividend."
Link_4,"https://newsmantra.in/coromandel-international-limited-posts-q4-and-full-year-with-solid-gains/#:~:text=The%20Retail%20business%20expanded%20its,and%20the%20Aatmanirbhar%20Bharat%20vision."
Link_5,"https://www.indianchemicalnews.com/general/coromandel-international-posts-fy24-25-consolidated-pat-at-rs-2055-cr-26017#:~:text=PAT%20at%20Rs.-,2%2C055%20Cr,disciplined%20execution%20of%20strategic%20initiatives."
Link_6,"https://economictimes.indiatimes.com/coromandel-engineering-company-ltd/stocksupdate/companyid-11814.cms#:~:text=Coromandel%20Engineering%20Company%20Ltd.&text=Intimation%20of%20listing%20approval%20dated%2016th%20July%202025%20received%20from%20BSE%20Limited.&text=06:13PM%20IST-,To%20make%20investment%20and%20become%20a%20partner%20in%20M/s,MPT%20Constructions%20a%20Partnership%20firm.&text=Appointment%20of%20Internal%20Auditor%20for%20the%20Financial%20year%202025%2D26.&text=04:13PM%20IST-,Coromandel%20Engineering%20Company%20Ltdhas%20informed%20BSE%20that%20the%20meeting%20of,share%20capital%20of%20the%20Company.&text=02:40PM%20IST-,Receipt%20of%20In%2DPrinciple%20approval%20for%20the%20issue%20of%2066,promoters%20on%20a%20preferential%20basis.&text=Closure%20of%20Trading%20Window%20from,Year%20ended%2031st%20march%202025.&text=Appointment%20of%20Mr.,ventures%20as%20senior%20managerial%20personnel."
Link_7,"https://www.moneycontrol.com/news/business/stocks/coromandel-international-shares-rise-2-34-on-nifty-midcap-150-alpha-article-13455212.html#:~:text=Coromandel%20International%20has%20announced%20several%20corporate%20actions%2C,an%20effective%20date%20of%20July%2017%2C%202025."
Link_8,"https://www.icicidirect.com/research/equity/rapid-results/coromandel-international-ltd#:~:text=Commenting%20on%20the%20financial%20results%2C%20Mr.%20Sameer,Nutrients%20business%20and%20volume%2Dled%20growth%20in%20others."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Strong Financial Performance:On May 1, 2025, Coromandel International Limited reported its consolidated financial results for the quarter and full year ending March 31, 2025. The company saw an increase in total income for the quarter and full year compared to the previous year. Profit after tax (PAT) also showed a significant rise for both the quarter and the full year.

Dividend Announcements:The company announced a final dividend of Rs. 6 per share on April 30, 2025, and a special dividend of Rs. 3 per share on May 1, 2025, both effective from July 17, 2025.

Expansion Initiatives:Coromandel International expanded its retail presence, increased its stake in a mining site in Senegal, and announced progress on upcoming projects, including a Phosphoric Acid and Sulphuric Acid plant and a new Granulation Train at Kakinada. Capacity enhancements in the Crop Protection segment were also underway, and the acquisition of NACL Industries Limited was noted as a move to expand the product portfolio and international market presence.

Positive Market Sentiment:Fertilizer and agrochemical stocks, including Coromandel International, experienced a surge, driven by strong quarterly results from other companies and a resurgence in demand. This positive trend was also supported by promising monsoon forecasts.

News and updates for Coromandel International Limited specifically for May 1, 2025, include:

Note: While some news sources mentioned Coromandel Engineering Company Ltd on this date, this response focuses specifically on Coromandel International Ltd as requested in the query."
