Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
CRISIL,6,2336,2025-08-21 21:15:12,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.crisil.com/content/crisilcom/en/home/investors/corporate-announcements.html#:~:text=of%20Company%20petition-,Notice%20published%20in%20the%20newspaper%20in%20respect%20of%20transfer%20of,Change%20in%20Senior%20Management"
Link_2,https://www.crisil.com/content/crisilcom/en/home/newsroom/press-releases/2025/04/crisil-limited-unaudited-financial-results-for-the-first-quarter-ended-march-31-2025.html
Link_3,"https://www.crisil.com/content/crisilcom/en/home/newsroom/press-releases/2025/04/crisil-limited-unaudited-financial-results-for-the-first-quarter-ended-march-31-2025.html#:~:text=Highlights%20for%20quarter%20ended%20March,approach%20and%20domain%2Dled%20solutions."
Link_4,"https://www.angelone.in/news/share-market/crisil-interim-dividend-ex-date-is-today-may-7-2025#:~:text=Crisil%20reported%20its%20financial%20performance,entity%20to%20make%20investment%20decisions."
Link_5,"https://www.angelone.in/news/crisil-interim-dividend-ex-date-is-today-may-7-2025#:~:text=Investors%20holding%20Crisil%20shares%20as,related%20documents%20carefully%20before%20investing."
Link_6,"https://www.jmfinancialservices.in/market-news-and-insights/1592631#:~:text=Unsolicited%20Commercial%20Communication%20(%E2%80%9CUCC%E2%80%9D,)%20Address%20c)%20PAN%20No."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Financial Results:CRISIL announced its unaudited financial results for the quarter ended March 31, 2025, on April 30, 2025. These results were subsequently published in the Financial Express and Sakal on May 1, 2025. The company reported a 10.2% increase in income from operations and a 16.1% rise in profit after tax for the first quarter of fiscal 2025.

Dividend:CRISIL's board approved an interim dividend of ₹8 per share for the financial year ending December 31, 2025. The record date for this dividend was set as May 7, 2025, and the payment is scheduled for May 19, 2025.

AGM and Board Meeting:The 38th Annual General Meeting (AGM) of CRISIL was held on April 30, 2025. The outcome of the AGM, including the voting results and scrutinizer's report, was announced. Additionally, a board meeting was held on April 30, 2025, where the Q1 FY25 results were approved.

Analyst Call:A transcript and recording of an analyst call held in April 2025 are available, along with a presentation used during the call.

Other Announcements:Other announcements around this time included:

Publication of a newspaper notice regarding the transfer of shares to the Investor Education and Protection Fund.

An update on the incorporation of SEBI registered ESG ratings service providers.

Advertisement before the dispatch of the Notice of the 38th AGM.

Closure of the trading window.

Intimation of the board meeting scheduled for April 30, 2025.

Intimation of a change in the registered office address.

Various intimations regarding analyst meetings.

Disclosure under Regulation 30 of SEBI (LODR) Regulations regarding a change in senior management.

Other Announcements:Other announcements around this time included:Publication of a newspaper notice regarding the transfer of shares to the Investor Education and Protection Fund.An update on the incorporation of SEBI registered ESG ratings service providers.Advertisement before the dispatch of the Notice of the 38th AGM.Closure of the trading window.Intimation of the board meeting scheduled for April 30, 2025.Intimation of a change in the registered office address.Various intimations regarding analyst meetings.Disclosure under Regulation 30 of SEBI (LODR) Regulations regarding a change in senior management.

As of May 1, 2025, here are the key news and updates related to CRISIL:"
