Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
DIXON,6,1203,2025-08-21 21:27:36,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://groww.in/blog/stocks-to-watch-today-21th-may-2025#:~:text=As%20trading%20begins%20on%2021,crore%20from%20%E2%82%B92%2C783%20crore."
Link_2,https://groww.in/blog/stocks-to-watch-today-21th-may-2025
Link_3,"https://www.marketsmojo.com/news/stocks-in-action/dixon-technologies-sees-55951-contracts-in-rs-16000-strike-call-options-2525564#:~:text=Dixon%20Technologies%20Sees%20Surge%20in,Contracts%20at%20Rs%2016%2C000%20Strike"
Link_4,"https://bsmedia.business-standard.com/_media/bs/data/announcements/bse/13052025/16aa7bc9-b96a-4dc6-8829-bfd0717aed7c.pdf#:~:text=Pursuant%20to%20Regulation%2029%20of%20the%20SEBI,year%20ended%20as%20on%2031st%20March%2C%202025."
Link_5,"https://trendlyne.com/latest-news/only-news/60393/DIXON/dixon-technologies-india-ltd/?page=2&qstime=1749796614#:~:text=19%20Feb%202025%2C%2007:00AM,in%20the%20last%201%20Year"
Link_6,"https://www.business-standard.com/markets/dixon-technologies-india-ltd-share-price-35727/announcements/bse-exchange-46700385#:~:text=Board%20Meeting%20Intimation%20for%20Inter,FY%20Ended%2031St%20March%202025&text=Dixon%20Technologies%20(India)%20Ltdhas%20informed,year%20ended%2031st%20March%202025."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"May 13, 2025:Dixon Technologies announced a Board Meeting for May 20, 2025, to approve audited financial results for the quarter and financial year ending March 31, 2025, and consider a dividend recommendation for the same period. The trading window was closed from April 1, 2025, and would reopen 48 hours after the results were declared.

May 21, 2025:Dixon Technologies was highlighted as a stock to watch after reporting a substantial increase in consolidated profit (378% year-over-year) and revenue (121%). The company also reported an exceptional gain and declared a final dividend of ₹8 per share for FY25. There was notable activity in call options, particularly at the ₹16,000 strike price.

February 19, 2025:It was reported that Dixon Technologies planned to inaugurate its Sriperumbudur plant, for manufacturing laptops, servers, and SSDs, by May 2025. The planned investment for this facility is ₹1,000 crore.

Information available for May 1, 2025, regarding Dixon Technologies is limited. However, here's a summary of relevant news and announcements around that time:

These updates indicate Dixon Technologies' strong financial performance and strategic expansion plans around May 2025."
