Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
EMAMILTD,11,1562,2025-08-21 21:30:16,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.marketsmojo.com/news/stocks-in-action/emami-ltd-stock-rises-3-22-outperforming-sensex-on-april-22-2025-2135787#:~:text=Stocks%20in%20Action-,Emami%20Ltd.,a%20mixed%20long%2Dterm%20trend."
Link_2,"https://www.emamiltd.in/media/press-releases/#:~:text=July%2031%2C%202025,May%2029%2C%202024"
Link_3,"https://www.emamiltd.in/media/emami-in-the-news/#:~:text='Creating%20our%20own%20tailwinds':,go%20up%20after%20inflation%20eases"
Link_4,"https://www.marketsmojo.com/news/stocks-in-action/emami-ltd-gains-30-amid-broader-market-decline-on-july-31-2025-3327038#:~:text=Emami%20Ltd.%2C%20a%20key%20player,resilience%20within%20the%20FMCG%20industry."
Link_5,"https://www.fortuneindia.com/business-news/fy25-a-redemption-year-for-emami-where-it-decisively-disproved-notion-of-core-categories-plateauing-harsha-agarwal/125482#:~:text=The%20fiscal%20year%202025%20was,an%20opportunity%2C%E2%80%9D%20he%20added."
Link_6,"https://www.emamiltd.in/investors/quarterly-financials/#:~:text=Emami%20Ltd.,Know%20more"
Link_7,"https://www.fortuneindia.com/business-news/fy25-a-redemption-year-for-emami-where-it-decisively-disproved-notion-of-core-categories-plateauing-harsha-agarwal/125482#:~:text=FY25%20was%20a%20year%20of%20redemption%20for,and%20tapped%20rural%20and%20premium%20demand%20trends."
Link_8,"https://www.tickertape.in/stocks/emami-EMAM#:~:text=EMAMILTD%20Stock%20Growth%20Drivers%20Robust%20Domestic%20Business,FY%20'25%2C%20including%20the%20Emami%20Pure%20Glow"
Link_9,https://www.fortuneindia.com/business-news/fy25-a-redemption-year-for-emami-where-it-decisively-disproved-notion-of-core-categories-plateauing-harsha-agarwal/125482
Link_10,https://www.google.com/intl/en_us/googlefinance/disclaimer
Link_11,https://www.stockinsights.ai/in/EMAMILTD/announcement/other-situations-20250407-43e

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Mumbai,India: Emami launched 'Pure Glow', a new skincare solution, on April 22, 2025.

Emami's Dermicool brand launched an innovative campaign on April 19, 2025, providing overhead traffic shades to commuters.

India: On April 9, 2025, Emami Ltd.'s stock gained 4.03%, outperforming the FMCG sector despite a declining broader market (Sensex).

The company's positive short-term performance was highlighted on April 22, 2025, with the stock up 3.22% and outperforming its sector by 2.37%.

Emami Ltd. achieved a 7.73% stock gain on April 30, 2025.

A compliance certificate confirming adherence to dematerialization regulations for the quarter ending March 31, 2025, was received by Emami Ltd. on April 7, 2025.

On April 22, 2025, Emami Ltd. showed strong short-term performance, with the stock outperforming the Sensex and mid-cap stocks leading the broader market.

Emami's stock price was above its 5-day, 20-day, 50-day, and 100-day moving averages but remained below the 200-day moving average as of April 22, 2025, indicating mixed long-term trends.

Emami Ltd.'s FY25 performance was described as a year of redemption, with strong core portfolio growth despite challenges like a slowdown in urban discretionary demand and a delayed winter.

The company's focus on niche segments with low household penetration was identified as a key factor in its resilience and growth potential.

Emami Ltd. witnessed a positive growth trend in its stock price throughout April 2025.

Key Events and Announcements (April 2025)

Stock Performance Highlights (April 2025)"
