Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
ETERNAL,7,1629,2025-08-21 21:32:29,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://yourstory.com/2025/04/eternal-zomato-profit-shrink-march-quarter-revenues-blinkit-hyperpure#:~:text=Eternal%2C%20formerly%20Zomato%2C%20saw%20its,and%20B2B%20distribution%20(Hyperpure)."
Link_2,"https://www.nseindia.com/companies-listing/corporate-filings-announcements?symbol=ETERNAL&tabIndex=equity#:~:text=Eternal%20Limited%20has%20filed%20with%20the%20Exchange,May%201%2C%202025.%20ETERNAL%20ATTACHMENT%20pdf%20ATTACHMENT."
Link_3,"https://trendlyne.com/latest-news/589490/ETERNAL/eternal-ltd/?page=2&qstime=1751896391#:~:text=Zomato%20and%20Swiggy%20shares%20increased,All%20reports%20of%20ETERNAL"
Link_4,"https://www.thehindubusinessline.com/markets/stock-markets/adani-enterprises-adani-ports-eternal-zomato-adani-power-ioc-vedanta-bajaj-finance-bajaj-finserv-crisil-q4-results-2025-live-updates-1-may-2025/article69512812.ece#:~:text=Q4%20results%20live%20today%201st,Maharashtra%20Day%20%2D%20The%20Hindu%20BusinessLine"
Link_5,"https://www.instagram.com/p/DHdG5mvq8Ve/#:~:text=now%20officially%20Eternal.-,The%20foodtech%20major%20said%20that%20the%20corporate%20affairs%20ministry%20has,startupnews%20%23startup%20%23India%20%23businessnews&text=Now%2C%20that%20seems%20okay!"
Link_6,"https://www.jmfinancialservices.in/company-information/eternal-ltd#:~:text=ETERNAL%20LIMITED%20%2D%20Board%20Meeting%20Intimation,year%20ended%20March%2031%2C%202025"
Link_7,https://trendlyne.com/latest-news/589490/ETERNAL/eternal-ltd/?page=2&qstime=1751619875

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 FY25 Results:

Consolidated net profit experienced a significant decline of 77% year-on-year to ₹39 crore.

Consolidated operating revenue, however, grew by over 63% year-on-year to ₹5,833 crore.

This discrepancy is attributed to increased spending in the competitive quick commerce sector (Blinkit).

FY25 Full-Year Results:

Consolidated net profit soared to ₹527 crore for the year, a substantial increase from ₹351 crore in the previous fiscal year.

The company registered 67% year-on-year growth in its topline for the full year.

Board Meeting:A board meeting was scheduled for May 1, 2025, to consider and approve the company's audited financial results for the year ended March 2025.

Earnings Call:A transcript of the earnings conference call held on May 1, 2025, was filed with the Exchange on May 8, 2025.

Q4 FY25 Results:Consolidated net profit experienced a significant decline of 77% year-on-year to ₹39 crore.Consolidated operating revenue, however, grew by over 63% year-on-year to ₹5,833 crore.This discrepancy is attributed to increased spending in the competitive quick commerce sector (Blinkit).

FY25 Full-Year Results:Consolidated net profit soared to ₹527 crore for the year, a substantial increase from ₹351 crore in the previous fiscal year.The company registered 67% year-on-year growth in its topline for the full year.

On May 1, 2025, Eternal Limited (formerly Zomato Ltd.) announced its financial results for the fourth quarter and full fiscal year ending March 31, 2025. Key highlights include:

Note: The name change from Zomato Limited to Eternal Limited became effective on March 20, 2025."
