Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
GICRE,19,1979,2025-08-21 21:38:25,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.gicre.in/en/#:~:text=by%20AM%20Best.-,Recruitment%20of%20Assistant%20Managers%20%7C%20Marks%20of%20candidates%20who%20appeared%20for,for%20Pre%2DEmployment%20Medical%20Examination"
Link_2,"https://www.gicre.in/en/#:~:text=Addendum%20to%20%E2%80%9CInvitation%20for%20expression,.2024%20to%2031.5.2025)"
Link_3,https://www.gicre.in/images/2025/BM_Outcome_Final_26052025.pdf
Link_4,https://www.gicre.in/images/2025/Intimation_to_SE_Press_Release_Q4_2025.pdf
Link_5,https://www.gicre.in/images/2025/SEintimationtranscriptconcallQ42025.pdf
Link_6,"https://www.gicre.in/images/2025/BM_Outcome_Final_26052025.pdf#:~:text=We%20have%20audited%20the%20accompanying%20Standalone%20Financial,LFTD/027/01/2017%20dated%2030th%20January%202017%20(the%20Circular)."
Link_7,"https://www.gicre.in/en/investors-public-disclosures/investors-en/financial-performance/financial-results#:~:text=Unaudited%20Financial%20results%20for%20the,(File%20Size:2.7%20MB)"
Link_8,"https://www.gicre.in/en/people-resources/career-en#:~:text=Appointment%20of%20Company%20Secretary%20(CS,(File%20Size%20%2D%20747%20KB)"
Link_9,https://www.gicre.in/images/Declaration_of_Result_of_GD_and_Interview.pdf
Link_10,"https://economictimes.indiatimes.com/general-insurance-corporation-of-india/stocks/companyid-12266.cms#:~:text=Dividend%20Announcement,last%20traded%20price%20is%20382.90"
Link_11,"https://www.gicre.in/en/investors-public-disclosures/investors-en/press-release#:~:text=Press%20Release%20*%20Press%20Release%20for%20financial,ended%20March%2031%2C%202022%20(File%20Size:964%20KB)"
Link_12,https://www.gicre.in/images/2025/career/Detailed_Advertisement_-_Appointment_of__CISO_-English_-_FINAL.pdf
Link_13,"https://scanx.trade/stock-market-news/earnings/gic-re-reports-70-surge-in-q1-profit-eyes-9-10-growth-for-fy2026/16527534#:~:text=Profit%20before%20tax%20(PBT)%20rose,profit%20on%20sale%20of%20investments."
Link_14,"https://dhan.co/stocks/general-insurance-corporation-of-india-ltd-news/#:~:text=General%20Insurance%20Corporation%20of%20India's,declarations%20before%20September%205%2C%202025."
Link_15,https://www.business-standard.com/markets/general-insurance-corporation-of-india-share-price-5483.html
Link_16,"https://scanx.trade/stock-market-news/corporate-actions/general-insurance-corporation-of-india-declares-rs-10-per-share-dividend-for-fy-2025/16731621#:~:text=GIC%20of%20India's%20Board%20of,year%20ending%20March%2031%2C%202025."
Link_17,"https://www.gicre.in/images/2025/SEintimationtranscriptconcallQ42025.pdf#:~:text=pleased%20to%20present%20to%20you%20GIC%20Re's,foresight%20and%20commitment%20to%20core%20reinsurance%20principles."
Link_18,"https://www.business-standard.com/topic/gic-re#:~:text=The%20state%2Downed%20re%2Dinsurer,to%2012%25%20on%20heavy%20volumes"
Link_19,"https://www.capitalmarket.com/markets/news/Corporate-News/gic-re-jumps-as-q1-pat-soars-81-yoy/1626038#:~:text=General%20Insurance%20Corporation%20of%20India,quarter%2C%20reflecting%20better%20claims%20management."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"April 26, 2025:Declaration of Result of GD & Interview for recruitment of Assistant Managers.

May 14, 2025:Detailed advertisement for the appointment of Chief Information Security Officer (CISO).

Board meeting outcome, including the audited financial results for the year ended March 31, 2025.

Recommendation of a dividend of Rs. 10.00 per equity share for the financial year ending March 31, 2025, subject to approval at the upcoming Annual General Meeting.

Press release regarding the financial performance for the year ended March 31, 2025.

June 3, 2025:GIC Re held an earnings call where they discussed the Q4 FY2025 results. The company reported a decline in net profit of 17.4% to ₹2,182.89 crore. The solvency ratio improved to 3.70, and the net worth excluding fair value change was ₹43,106.52 crores. The company also provided an update on the tail risks related to cancelled contracts.

August 13, 2025:GIC Re reported a significant increase in its Q1 FY2026 profit after tax, rising by 70% year-on-year to ₹1,752.22 crore, despite facing two significant losses during the quarter.

May 26, 2025:Board meeting outcome, including the audited financial results for the year ended March 31, 2025.Recommendation of a dividend of Rs. 10.00 per equity share for the financial year ending March 31, 2025, subject to approval at the upcoming Annual General Meeting.Press release regarding the financial performance for the year ended March 31, 2025.

On May 1, 2025 , GIC Re issued an ""Expression of Interest"" (EOI) from interested reinsurers for participating as a Quoting / Follow Market in GIC Re's Combined Marine & Energy Retrocession Program for 2024-25 (June 1, 2024 to May 31, 2025).

In the period surrounding May 1, 2025, General Insurance Corporation of India (GIC Re) was also involved in other activities:

These announcements cover various aspects of GIC Re's business, including recruitment, financial performance, regulatory filings, and corporate actions."
