Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
GLAND,12,1886,2025-08-21 21:39:33,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://glandpharma.com/images/Press_Release_Q4FY25.pdf
Link_2,"https://www.goodreturns.in/news/gland-pharma-q4-results-profit-dips-3-yoy-to-rs-187-crore-ebitda-down-3-1800-dividend-announce-1430439.html#:~:text=The%20company's%20consolidated%20PAT%20for,Chief%20Executive%20Officer%20(CE0)."
Link_3,https://glandpharma.com/images/Press_Release_30042025.pdf
Link_4,"https://www.moneycontrol.com/news/tags/gland-pharma.html#:~:text=Gland%20Consolidated%20June%202025%20Net,Advertisement"
Link_5,https://finance.yahoo.com/news/gland-pharma-ltd-nse-gland-070334757.html
Link_6,"https://www.sharekhan.com/stock/gland-pharma-ltd#:~:text=Link%20of%20Recording-,Gland%20Pharma%20%2D%20Press%20Release,Quarter%20Ended%20June%2030%2C%202025"
Link_7,"https://www.samco.in/knowledge-center/articles/rail-vikas-nigam-shares-jump-11-on-new-order-worth-%E2%82%B9115-79-crore/#:~:text=Company%20Update%20Approve%20audited%20financial%20results%20for,for%20the%20Financial%20Year%202024%2D25%2C%20if%20applicable"
Link_8,https://www.tijorifinance.com/company/gland-pharma-ltd/
Link_9,"https://www.cnbctv18.com/market/stocks/gland-pharma-share-price-q4fy25-results-net-profit-dividend-revenue-ebitda-margins-new-launches-19607341.htm#:~:text=In%20terms%20of%20regulatory%20progress%2C%20Gland%20filed,US%2C%20with%20318%20approved%20and%2053%20pending."
Link_10,"https://www.livemint.com/market/stock-market-news/gland-pharma-q4-results-profit-dips-3-yoy-to-rs-187-crore-rs-18-dividend-announced-11747740493307.html#:~:text=In%20Q4%20FY25%2C%20Gland%20Pharma%20filed%20five,in%20the%20U.S.%20(318%20approved%2C%2053%20pending)."
Link_11,"https://m.economictimes.com/industry/healthcare/biotech/pharmaceuticals/brookfield-eqt-close-in-on-gland-pharma-but-rising-stock-a-pain/articleshow/122801182.cms#:~:text=%E2%80%9CThe%20company's%20collaboration%20with%20DRL%20(Dr%20Reddy's),an%20after%2Dtax%20profit%20of%20Rs%20698%20crore."
Link_12,"https://glandpharma.com/images/Press_Release_Q4FY25.pdf#:~:text=The%20company%20received%20EIRs%20from%20the%20USFDA,equity%20share%20for%20FY25%2C%20pending%20shareholder%20approval."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"USFDA approval for Latanoprostene Bunod Ophthalmic Solution, 0.024%:This approval makes Gland Pharma the exclusive First-to-File and grants them 180 days of generic drug exclusivity for this product, which generated approximately USD 171 million in US sales for the 12 months ending February 2025.

On May 1, 2025, the key news regarding Gland Pharma revolved around regulatory approvals and the announcement of their Q4 FY25 financial results and dividend recommendation.

Gland Pharma announced their Q4 FY25 financial results and a dividend recommendation. Consolidated Revenue for the quarter was INR 14,249 million. The company achieved an EBITDA margin of 24%, with the base business EBITDA margin increasing to 38% due to higher volume in the US portfolio and the launch of new high-margin products. While Profit After Tax (PAT) saw a 3% decrease year-on-year, it increased by 9% quarter-on-quarter, demonstrating a positive sequential trend. The company also reported progress in turning around Cenexi.

The Board recommended a final dividend of ₹18 per equity share for FY25, pending shareholder approval at the upcoming 47th AGM.

In Q4 FY25, Gland Pharma filed 5 Abbreviated New Drug Applications (ANDAs) and received 7 approvals. For the entire fiscal year FY25, they filed 24 ANDAs and received 32 approvals, bringing their total to 371 ANDA filings in the US, with 318 approved and 53 pending.

Other notable points from the Q4 results included positive indications regarding the closure of recent USFDA inspections at their facilities in Hyderabad, India, and progress in collaborations with partners like DRL and Henlius, with revenue from the DRL business expected to begin in FY26.

It is worth noting that as of May 1, 2025, reports might not have reflected subsequent market movements or analyst updates, such as a share price increase observed later in August 2025."
