Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
GODREJIND,7,1698,2025-08-21 21:43:34,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://catalyst2030.net/godrej-industries-group/#:~:text=Godrej%20Industries%20Group%20empowers%20300%2C000,Catalyst%20Events%20and%20Calendar"
Link_2,"https://catalyst2030.net/godrej-industries-group/#:~:text=Here%20are%20our%20three%20priorities,improve%20malaria%20testing%20and%20treatment."
Link_3,https://www.business-standard.com/markets/godrej-industries-ltd-share-price-1742.html
Link_4,"https://www.capitalmarket.com/markets/news/corporate-news/godrej-industries-reports-standalone-net-loss-of-rs-29-98-crore-in-the-june-2025-quarter/1629298#:~:text=%2C%2015:54)-,Godrej%20Industries%20reports%20standalone%20net%20loss%20of%20Rs,in%20the%20June%202025%20quarter&text=Net%20loss%20of%20Godrej%20Industries,previous%20quarter%20ended%20June%202024.&text=%25%20Var."
Link_5,"https://www.icicidirect.com/stocks/godrej-industries-ltd-share-price#:~:text=Diversified%20company%20Godrej%20Industries%20announced,during%20Q1FY25%2C%20change%208%25."
Link_6,"https://www.moneycontrol.com/financials/godrejindustries/results/quarterly-results/gi23#:~:text=13.08.2025,07.02.2017"
Link_7,"https://www.samco.in/knowledge-center/articles/godrej-industries-share-price-jumps-10-on-q1-results-and-strategic-stake-transfer/#:~:text=Main%20News,Rs%205%2C000%20crore%20in%20GFSL."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q1 FY26 Results (as of August 13, 2025):Godrej Industries reported a consolidated net sales of ₹5,779.69 crore, up 26.55% year-on-year.

Net Profit:The company announced a net profit of ₹349 crore for Q1 FY26, compared to ₹322 crore in Q1 FY25, an increase of 8%.

Standalone Net Loss (June 2025 Quarter):Godrej Industries reported a standalone net loss of ₹29.98 crore.

Standalone Net Sales (March 2025):Standalone net sales were reported at ₹1,086.41 crore, up 58.78% year-on-year.

Stake Transfer in Godrej Capital (August 13, 2025):Godrej Industries decided to transfer its entire stake in Godrej Capital Ltd (GCL) to a new wholly-owned subsidiary, Godrej FS Ltd (GFSL), valued at up to ₹4,000 crore.

Investment in GFSL:The company plans an initial investment of up to ₹5,000 crore in GFSL.

Shareholding Pattern (as of June 2025):Promoter holding increased to 70.97% from 67.69% in September 2024. Foreign Institutional Investors (FII) holding decreased to 5.66% from 8.38% in the same period.

CSR Initiatives:Godrej Industries has ongoing CSR initiatives focusing on employability, health and well-being, and environmental sustainability. These include:

Empowering 300,000 people with skills and livelihood support.

Protecting 30 million people against vector-borne diseases.

Implementing efficient waste management systems impacting 10 million people.

As of August 21, 2025, recent news and updates for Godrej Industries (GODREJIND) are as follows:

Financial Performance:

Strategic Developments:

Note: Some reports from August 2025 may refer to events or financials from earlier periods (e.g., Q1 FY26 results announced in August but pertaining to the period ending June 30, 2025)."
