Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
GODREJPROP,8,2166,2025-08-21 21:44:26,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.godrejmsrcity.info/about-us-godrej-properties.html#:~:text=Godrej%20Properties%20was%20started%20in,square%20feet%20of%20new%20space."
Link_2,"https://www.tickertape.in/stocks/godrej-properties-GODR#:~:text=GODREJPROP%20Stock%20Summary%20%C2%B7%20May%202025,the%20evolving%20real%20estate%20landscape."
Link_3,"https://www.angelone.in/news/market-updates/godrej-properties-net-debt-rises-42-percent-as-expansion-push-gains-momentum#:~:text=Godrej%20Properties%20saw%20a%20significant,during%20Q1FY26%20amid%20business%20expansion.&text=Godrej%20Properties%20has%20reported%20a,of%20the%20previous%20fiscal%20year."
Link_4,"https://www.bwmarketingworld.com/article/godrej-properties-renews-gaurav-pandeys-term-as-md-ceo-565843#:~:text=Godrej%20Properties%20has%20re%2Dappointed,according%20to%20a%20regulatory%20filing."
Link_5,"https://dhan.co/stocks/godrej-properties-ltd-share-price/#:~:text=Godrej%20Properties'%20net%20debt%20increased,7%2C082%20crore%20in%20the%20quarter."
Link_6,"https://www.godrejmsrcity.info/why-are-godrej-properties-shares-falling-a-simple-guide-for-investors.html#:~:text=Godrej%20Properties%20shared%20its%20results,down%20from%20%E2%82%B9471%20crore."
Link_7,"https://www.godrejneopolis.info/#:~:text=With%20the%202024%20Hyderabad%20New,2.8%20Crores)"
Link_8,https://bsmedia.business-standard.com/_media/bs/data/announcements/bse/18072025/1ccf2cbb-7d2f-4f13-808a-1878686b6b97.pdf

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Godrej Properties reported its highest-ever bookings and operating cash flows in Q4 FY25, particularly in markets like NCR and Mumbai. However, EBITDA and net profit saw declines during this quarter.

Net debt increased to ₹4,637 crore in Q1 FY26, a 42% rise from the previous fiscal year-end, bringing the debt-to-equity ratio to 0.26.

Despite the increase in debt, the company acquired five land parcels in Q1 FY26 with a potential revenue of ₹11,400 crore.

Guidance for FY26 includes acquiring land parcels worth ₹20,000 crore and achieving sales bookings of ₹32,500 crore.

Consolidated net profit for Q1 FY26 rose by 15% to ₹598.40 crore, while total income decreased to ₹1,620.34 crore and pre-sales fell by 18% to ₹7,082 crore in the same period.

Godrej Properties is set to enter the Panipat market by the end of June 2025 with its first housing project in Haryana.

Key Upcoming Projects (2025)

Godrej MSR City (Bengaluru): A large township project near the airport and metro, launched in April 2025.

Godrej Tiara (Bengaluru): A luxury residential project in Yeshwanthpur, scheduled for launch in May 2025.

Gaurav Pandey's term as MD & CEO has been extended for three years, starting January 1, 2026.

The company is focusing on sustainable development initiatives, including health, waste, and water management programs.

Godrej Properties aims for balanced growth by expanding into new areas while managing its finances carefully.

Management remains positive about future demand, supported by a strong pipeline of unlaunched projects estimated to be worth ₹50,000-55,000 crores.

The company is prioritizing operational efficiency and improving margins to ensure sustained growth, navigating market challenges and regulations.

Key Upcoming Projects (2025)Godrej MSR City (Bengaluru): A large township project near the airport and metro, launched in April 2025.Godrej Tiara (Bengaluru): A luxury residential project in Yeshwanthpur, scheduled for launch in May 2025.

As of May 1, 2025, here's a summary of updates and news concerning Godrej Properties (GODREJPROP):

Financial Performance & Debt

Projects & Developments

Market Standing & Outlook"
