Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
GRASIM,6,1692,2025-08-21 21:45:07,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.grasim.com/#:~:text=Implementing%20next%20phase%20of%20transformational,leadership%20presence%20across%20many%20sectors"
Link_2,"https://www.grasim.com/#:~:text=Grasim%20welcomes,and%20Fabrics%20producer%20in%20India."
Link_3,"https://www.grasim.com/Upload/PDF/grasim-earnings-call-trancript-q4fy25.pdf#:~:text=The%20driving%20factors%20for%20this%20early%20success,finance%20compliance%20as%20per%20IFC%20funding%20norms."
Link_4,"https://www.moneycontrol.com/news/business/stocks/grasim-industries-shares-see-volume-surge-in-today-s-session-alpha-article-13476545.html#:~:text=In%20terms%20of%20yearly%20results,up%20from%200.95%20in%202021."
Link_5,"https://www.adityabirla.com/media/press-releases/grasim-q4fy25-and-fy2025-financial-results-creating-and-scaling-growth-engines-for-viksit-bharat/#:~:text=Dividend,power%20was%20maintained%20at%2011%25."
Link_6,"https://www.grasim.com/media/press-releases/grasim-results-q4fy-2024-25#:~:text=The%20Board%20of%20Directors%20of,would%20be%20%E2%82%B9681%20Cr."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Financial Results:

The Board recommended a dividend of ₹10 per equity share for the fiscal year ended March 31, 2025.

The company's consolidated revenue for the year ending March 2025 was ₹148,477.89 Crore, with a net profit of ₹7,459.54 Crore.

Business Operations:

The company is actively expanding its paints business under the brand ""Birla Opus,"" with 5 out of 6 planned plants already operational by March 2025.

Grasim also launched ""Birla Pivot"", a B2B online marketplace for building materials,according to Grasim.

Awards & Recognition:Grasim was recognized as a Sustainable Organization 2025 by The Times Group's Global Sustainability Alliance (GSA). They also won the ""Masters of Risk - Conglomerate"" award at the India Risk Management Awards 2025.

Key Personnel:The company welcomed Mr. Hemant Kadel as the new Chief Financial Officer (CFO).

Financial Results:The Board recommended a dividend of ₹10 per equity share for the fiscal year ended March 31, 2025.The company's consolidated revenue for the year ending March 2025 was ₹148,477.89 Crore, with a net profit of ₹7,459.54 Crore.

Business Operations:The company is actively expanding its paints business under the brand ""Birla Opus,"" with 5 out of 6 planned plants already operational by March 2025.Grasim also launched ""Birla Pivot"", a B2B online marketplace for building materials,according to Grasim.

Latest news and updates for Grasim Industries Limited as on May 1, 2025:

In summary, as of May 1, 2025, Grasim Industries was focusing on expanding new business segments like paints and B2B e-commerce, while also demonstrating strong financial performance and garnering recognition for its sustainability efforts."
