Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
GVT&D,7,1191,2025-08-21 21:36:54,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.plindia.com/ResReport/GVTD-24-5-25-PL.pdf
Link_2,"https://www.marketsmojo.com/stocks-analysis/ge-vernova-t-d-628721-0#:~:text=GE%20Vernova%20T&D%20India%20reported,the%20heavy%20electrical%20equipment%20sector."
Link_3,"https://www.tickertape.in/stocks/ge-tandd-india-GETD#:~:text=GVT&D%20Stock%20Summary%20%C2%B7%20May%202025,to%20navigating%20potential%20market%20volatility."
Link_4,https://economictimes.indiatimes.com/ge-vernova-td-india-ltd/stocks/companyid-13800.cms
Link_5,"https://ticker.finology.in/company/SCRIP-122275#:~:text=Strengths,high%20EV/EBITDA%20of%2065.21."
Link_6,"https://www.nseindia.com/get-quotes/equity?symbol=GVT%26D#:~:text=GVT&D%20Share%20Price%20Today%2C%20Live%20NSE%20Stock,dividends%2C%20volume%2C%20profit%20and%20loss%20account%2C%20research%2C"
Link_7,"https://groww.in/stocks/ge-td-india-ltd#:~:text=About%20Ge%20Vernova%20T&d%20India,voltage%20DC%20and%20maintenance%20support."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 FY24-25 showed increased bookings, revenues, and a threefold rise in profit before tax.

The company announced a dividend of Rs 5.0 per share on May 23, 2025.

For the first time in five years, GVT&D became debt-free.

Annual revenue grew by 36.5%.

Profit growth was 142.50% over the past three years.

Order inflow reached Rs 29.9 billion, largely from domestic orders.

The order book hit a record high of Rs 126.6 billion.

INR 1,400 million is being invested to enhance manufacturing, particularly for the energy sector and HVDC projects.

A capex of ~Rs 2.4 billion was announced for new capacity and existing capacity improvements.

A new facility for HVDC and FACTS equipment is expected by FY27.

Adjusted EBITDA margin expanded significantly to 23.2% in Q4 FY25.

GE Vernova T&D India Ltd. (GVT&D) - Key News & Updates as of May 1, 2025:

1. Financial Highlights:

2. Order Book and Inflow (Q4 FY25):

3. Strategic Investments and Capacity Expansion:

Note: Some information, particularly regarding the Q1 2025-26 results and the company's financial performance, is more readily available in sources dated after May 1, 2025, such as the MarketsMojo analysis from June 06, 2025 ."
