Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
HINDPETRO,9,2013,2025-08-21 21:53:18,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.hindustanpetroleum.com/documents/pdf/Post-Earning-Concall-Transcript-Q1FY26.pdf
Link_2,"https://www.hindustanpetroleum.com/NewsroomDetails/439#:~:text=Q4%20FY25%20witnessed%20a%20very,2%2C709%20crore%20in%20Q4%20FY24)"
Link_3,"https://www.hindustanpetroleum.com/#:~:text=Corporate%20Updates%20*%20Recruitment%20of%20Junior%20Executive,Operation)%20Madhya%20Pradesh%20(Content%20is%20in%20English)"
Link_4,"https://www.hindustanpetroleum.com/newsroom#:~:text=07%2DAug%2D2025,29%2DNov%2D2024"
Link_5,https://www.angelone.in/news/share-market/hpcl-q4-fy25-results-net-profit-rises-18-to-3355-crore-1050-dividend-announced
Link_6,https://www.hindustanpetroleum.com/documents/pdf/Engagement_of_HPCL_Graduate_Apprentice_Trainees_2025-26_Advt_English.pdf
Link_7,"https://energy.economictimes.indiatimes.com/news/oil-and-gas/hpcl-plans-1-3-lakh-crore-investment-expands-refining-capacity-and-renewable-energy-portfolio-cmd/118385672#:~:text=%22We%20have%20invested%20significantly%20in,cleaner%20fuels%2C%22%20Narang%20said."
Link_8,"https://www.tourismjk.in/technicalanalysis/Hindustan-Petroleum-Corporation-Limited-(HINDPETRO)-Stock-Experiences-Sudden-Dip#:~:text=Hindustan%20Petroleum%20Corporation%20Limited%20(HINDPETRO,Discover%20Stocks%20With%20300%25%20Potential"
Link_9,"https://currentaffairs.adda247.com/centre-implements-anna-chakra-supply-chain-tool-in-30-states-to-optimize-pds-efficiency/#:~:text=%E2%80%9CAnna%2DChakra%E2%80%9D%20is%20a%20route%20optimization%20and%20logistics,from%20central%20warehouses%20to%20fair%20price%20shops."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Operational Efficiency Program: HPCL internally launched a program in May 2025 aimed at enhancing operational efficiency. This initiative targeted an EBITDA uplift of INR 1,000 to INR 1,500 crores by March 31, 2026. As of August 8, 2025, 25% of the savings target was locked in, with 16% already accrued in Q1 FY26, translating to approximately INR 250 crores in locked-in operational efficiencies.

Retail Asset Optimization: A program named ""Abhyuday"" was launched around May 2025, focusing on increasing throughput and optimizing the utilization of 4,500 retail outlets.

Q4 FY25 Results (May 6, 2025): HPCL announced its Q4 FY25 results, highlighting a standalone net profit of ₹3,355 crore, an 18% year-on-year increase. The company also reported record-high quarterly crude throughput of 6.74 MMT in Q4 FY25.

Dividend Announcement (May 6, 2025): A final dividend of ₹10.50 per share for FY25 was declared, with the record date set for August 14, 2025.

LNG Supply Agreement (April 2025): HPCL finalized a term deal for LNG supply with ADNOC Trading.

Strategic Investments and Infrastructure Development: This included the commissioning of the Chhara LNG Terminal (5 MMTPA) on February 1, 2025, and continued progress on the Barmer Refinery & Petrochemical Project, with progressive commissioning expected in CY2025.

Expansion into Renewables: HPCL aimed to double its renewable energy capacity from 200+ MW to over 400 MW by March 2025 and cross 1 GW by 2026. The company is also scaling up biofuel production, targeting 1 million tonnes per annum.

Recruitment: The last date for submitting applications for Junior Executive Officer positions in the Refinery Division was extended to May 21, 2025.

Apprentice Trainee Engagement: HPCL announced the engagement of Graduate Apprentice Trainees for 2025-26, with details provided in an advertisement dated May 16, 2025.

Hindustan Petroleum Corporation Limited (HPCL) witnessed significant developments on May 1, 2025 :

Other Key Updates Around May 2025 :"
