Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
ICICIPRULI,9,2195,2025-08-21 22:00:20,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.livemint.com/market/stock-market-news/icici-prudential-q4-results-ape-drops-3-to-rs-3-502-crore-rs-10k-mark-crossed-in-fy25-dividend-declared-11744718472389.html
Link_2,"https://www.livemint.com/market/stock-market-news/icici-prudential-q4-results-ape-drops-3-to-rs-3-502-crore-rs-10k-mark-crossed-in-fy25-dividend-declared-11744718472389.html#:~:text=ICICI%20Prudential%20Life%20Insurance%20Company,in%20the%20year%2Dago%20period."
Link_3,"https://upstox.com/news/market-news/latest-updates/icici-prudential-life-q4-net-profit-surges-122-fy-25-pat-rises-39-6-to-1-189-crore/article-160731/#:~:text=Annualised%20Premium%20Equivalent%20(APE)%2C,Consistency%20beats%20timing."
Link_4,"https://www.moneycontrol.com/news/business/earnings/icici-prudential-life-fy25-net-profit-surges-39-6-to-rs-1-189-crore-12995227.html#:~:text=17:35%20IST-,ICICI%20Prudential%20Life%20FY25%20net%20profit%20surges%2039.6%25%20to%20Rs,VNB%20margin%20of%2022.8%20percent.&text=Annualised%20Premium%20Equivalent%20(APE)%20grew,settlement%20ratio%20of%2099.3%20percent.&text=The%20company%20maintained%20a%20solvency,regulatory%20requirement%20of%20150%20percent."
Link_5,"https://www.angelone.in/news/share-market/icici-prudential-life-reports-over-39-percent-pat-growth-in-fy2025-dividend-announced#:~:text=50%2C000%20Per%20Month?-,Assets%20Under%20Management%20Cross%20%E2%82%B93%20Lakh%20Crore,growth%20in%20the%20years%20ahead.%E2%80%9D"
Link_6,"https://www.business-standard.com/markets/capital-market-news/board-of-icici-prudential-life-insurance-co-recommends-final-dividend-125041501015_1.html#:~:text=Home%20/%20Markets%20/%20Capital%20Market%20News,2025%20%7C%205:30%20PM%20IST"
Link_7,"https://www.businesstoday.in/markets/stocks/story/icici-pru-life-insurance-q4-results-check-earnings-date-preview-target-price-more-471902-2025-04-14#:~:text=ICICI%20Prudential%20Life%20Insurance%20is,Tuesday%2C%20April%2015%2C%202025.&text=Shares%20of%20ICICI%20Prudential%20Life,YoY)%20growth%20may%20remain%20mixed."
Link_8,"https://www.livemint.com/market/stock-market-news/icici-prudential-shares-climb-over-5-as-q4-profit-more-than-doubles-brokerages-still-cut-target-11744777333942.html#:~:text=ICICI%20Prudential%20Life%20Insurance%20shares,income%20and%20the%20annuity%20segment.&text=Shares%20of%20ICICI%20Prudential%20Life,share%20for%20the%20fiscal%20year."
Link_9,"https://hdfcsky.com/news/icici-prudential-life-insurances-annualized-premium-equivalent-down-by-5-percent#:~:text=Persistency%20ratios%20also%20remained%20strong%2C%20with%2013th,settlement%20ratio%20improved%20to%2099.3%25%20in%20FY2025."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Profit After Tax (PAT):FY25 PAT surged by 39.6% year-on-year to ₹1,189 crore. Q4FY25 PAT witnessed a two-fold increase to ₹386 crore, compared to ₹174 crore in Q4FY24, primarily driven by lower expenses.

Annualized Premium Equivalent (APE):FY25 APE grew by 15% year-on-year to ₹10,407 crore, crossing the ₹10,000 crore mark for the first time. However, Q4FY25 APE saw a 3% drop to ₹3,502 crore.

Value of New Business (VNB):FY25 VNB rose by 6.4% year-on-year to ₹2,370 crore. The VNB margin for FY25 stood at 22.8%.

Retail Protection Business:FY25 retail protection APE showed a strong 25.1% year-on-year growth, reaching ₹598 crore.

Annuity Segment:This segment continued its strong performance with a two-year Compound Annual Growth Rate (CAGR) of 31.4% in FY25.

Retail New Business Sum Assured (NBSA):FY25 NBSA grew significantly by 37% year-on-year to ₹3.32 lakh crore.

Total In-force Sum Assured:This figure increased by 15.6% to ₹39.43 lakh crore by the end of FY25.

Dividend:The board recommended a final dividend of ₹0.85 per equity share for FY25.

Assets Under Management (AUM):As of March 31, 2025, AUM stood at ₹3.09 lakh crore, compared to ₹2.94 lakh crore at the end of the previous financial year.

Solvency Ratio:The company maintained a healthy solvency ratio of 212.2% as of March 31, 2025, well above the regulatory requirement of 150%.

Distribution:ICICI Prudential Life maintained a diversified distribution strategy across various channels including agency, direct, bancassurance, partnership distribution, and group channels.

Product Launch:The company launched 'ICICI Pru GIFT Select' in January 2025, a product designed to address customer demand for guaranteed income.

Persistency Ratios:The 13th-month persistency ratio stood at 89.1% in FY25.

Customer Base:The company reported providing insurance coverage to over 9 crore lives as of March 31, 2025.

ESG Rating:ICICI Prudential Life maintained an 'AA' ESG rating by MSCI, placing it among the top-rated Indian life insurers on sustainability parameters.

Key Financial Highlights (FY25 & Q4FY25)

ICICI Prudential Life Insurance announced its Q4 and FY25 results on April 15, 2025.

Other Key Developments"
