Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
JSWSTEEL,11,1841,2025-08-21 22:14:40,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.bajajbroking.in/share-market-news/jsw-steel-q4-results-fy-24-25#:~:text=Revenue%20from%20Operations:%20%E2%82%B944%2C819,):%20%E2%82%B96.15%20(basic)."
Link_2,https://www.jswsteel.in/sites/default/files/assets/industry/steel/IR/Financial%20Performance/Financials/2024-25/Q4/JSW-Steel_Presentation-Q4FY25.pdf
Link_3,"https://www.jsw.in/groups/jsw-steel-reports-financial-results-q4-and-fy-2024-25#:~:text=Highest%20ever%20Crude%20Steel%20Production,After%20Tax:%20%E2%82%B93%2C491%20crores"
Link_4,https://www.jswsteel.in/sites/default/files/assets/industry/steel/IR/Financial%20Performance/Financials/2024-25/Q4/JSW-Steel-Call-transcript-Q4FY25.pdf
Link_5,"https://www.angelone.in/live-blog/jsw-steel-ltd-29-may-2025-500228#:~:text=JSW%20Steel%20Ltd%20Live%20Updates,to%20equity%20ratio%20of%201.2422."
Link_6,"https://www.business-standard.com/companies/quarterly-results/jsw-steel-q4-results-profit-rises-13-54-to-1-501-cr-revenue-down-3-125052301047_1.html#:~:text=Home%20/%20Companies%20/%20Quarterly%20Results%20/,crore%2C%20revenue%20up%209%25%20YoY"
Link_7,"https://www.icicidirect.com/research/equity/trending-news/jsw-steel-reported-a-steady-volume-print-for-may-2025#:~:text=News:%20JSW%20Steel%20reported%20a,and%20anticipated%20improvements%20in%20profitability."
Link_8,"https://www.angelone.in/news/share-market/jsw-steel-share-price-in-focus-reports-yoy-growth-in-may-2025-crude-steel-output#:~:text=Crude%20Steel%20Output-,JSW%20Steel%20Share%20Price%20in%20Focus;%20Reports%208%25%20YoY%20Growth,lakh%20tonnes%20in%20FY'25."
Link_9,https://m.economictimes.com/markets/stocks/news/stocks-to-buy-in-2025-jsw-steel-igl-among-top-5-stocks-which-could-give-up-to-80-return/brokerage-recommendations/slideshow/118436903.cms
Link_10,"https://m.economictimes.com/markets/stocks/news/jsw-steel-bajaj-auto-ethos-among-7-top-recommendations-by-brokerages-up-to-48-upside-seen/slideshow/123423300.cms#:~:text=The%20company%20will%20continue%20to,and%20onboarding%20of%20newer%20brands."
Link_11,"https://m.economictimes.com/industry/indl-goods/svs/steel/jsw-steel-to-commission-procurement-of-580-mw-renewable-power-by-march-2025/articleshow/114581206.cms#:~:text=JSW%20Steel%20to%20commission%20procurement%20of%20580%20MW%20renewable%20power%20by%20March%202025,-JSW%20Steel&text=JSW%20Steel's%20Board%20has%20approved,energy%20generation%20and%20equipment%20commissioning.&text=JSW%20Steel%20on%20Friday%20said,prescribed%20under%20the%20Electricity%20Act."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"May 23, 2025:JSW Steel released its Q4 and full-year FY25 financial results. The company reported a 16% year-on-year increase in net profit to ₹1,501 crore for Q4 FY25, despite a 3% decline in revenue from operations,according to Bajaj Broking. The full-year net profit was ₹3,491 crore.

May 23, 2025:JSW Steel's Board recommended a final dividend of ₹2.80 per share for the financial year ended March 31, 2025.

May 2, 2025:The Honorable Supreme Court rejected JSW Steel's resolution plan for Bhushan Power & Steel Ltd (BPSL) and directed the refund of amounts paid to creditors and equity contributions made in BPSL.

May 29, 2025:JSW Steel's share price increased by 0.28%, trading at ₹1,008.75 per share, according to Angel One.

JSW Steel did not release any specific news or updates on May 1, 2025. However, there are relevant updates from the surrounding period in May 2025:

Based on analyst sentiment from the May 23, 2025 earnings call, JSW Steel's management expressed satisfaction with the quarterly performance, despite the slight miss on analyst expectations due to weaker steel prices. They remain optimistic about future growth, driven by capacity expansion and focus on efficiency and cost management. Analysts from Choice Broking recommended buying JSW Steel shares, citing a breakout from an ascending triangle pattern and consistent trading volumes. Motilal Oswal also had a ""Buy"" rating on JSW Steel in a report published February 21, 2025.

Further information from May 2025 indicates that capacity utilization at JSW Steel's Indian operations was at 80% during May 2025 due to a planned maintenance shutdown at the Dolvi plant, which restarted on May 30, 2025. Additionally, in October 2024, JSW Steel announced plans to commission 580 MW of renewable power by March 2025 as part of its energy transition initiatives."
