Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
LICHSGFIN,7,1487,2025-08-21 22:24:08,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.angelone.in/news/market-updates/lic-housing-finance-dividend-record-date-on-aug-22-declared-final-dividend-of-rs-10#:~:text=Operational%20revenue%20for%20the%20quarter,Sachin%20Gupta"
Link_2,"https://www.angelone.in/news/market-updates/lic-housing-finance-dividend-record-date-on-aug-22-declared-final-dividend-of-rs-10#:~:text=LIC%20Housing%20Finance%20Q1FY26%20Performance,the%20previous%20year's%20first%20quarter."
Link_3,"https://www.icicidirect.com/research/equity/rapid-results/lic-housing-finance-ltd#:~:text=Net%20Profit%20After%20Tax%20stood%20at%20Rs%201%2C367.96%20crore%2C%20compared,against%20Rs%2086.63%20in%20FY24."
Link_4,"https://m.economictimes.com/industry/services/property-/-cstruction/housing-finance-market-may-double-to-rs-81-lakh-cr-in-5-years/articleshow/118824426.cms#:~:text=Mumbai:%20India's%20housing%20finance%20market,a%20report%20by%20CareEdge%20Ratings&text=CareEdge%20Ratings%20said%20the%20country's,observed%20in%20the%20wholesale%20segment."
Link_5,"https://bfsi.economictimes.indiatimes.com/articles/housing-finance-companies-face-limited-growth-amid-intense-bank-competition-in-q1fy26/122349648#:~:text=00%20AM%20IST-,Housing%20finance%20companies%20may%20see%20Muted%20Q1%20as%20bank%20competition,costs%20at%20LIC%20Housing%20Finance."
Link_6,"https://scanx.trade/stock-market-news/corporate-actions/53-companies-set-to-pay-dividends-irctc-lic-housing-kfin-tech-among-key-players/17287294#:~:text=LIC%20Housing%20Finance:%20The%20proposed,%2Ddividend%2C%20reflecting%20the%20payout."
Link_7,"https://trendlyne.com/latest-news/790/LICHSGFIN/lic-housing-finance-ltd/?page=3&qstime=1747403247#:~:text=LIC%20Housing%20Finance%20Ltd%20%2D%20500253%20%2D%20Closure%20of%20Trading%20Window&text=Pursuant%20to%20SEBI%20(PIT)%20Regulation,year%20ended%2031st%20March%2C%202025.&text=LIC%20Housing%20Finance%20Ltd.,-06%20Mar%202025&text=LIC%20Housing%20Finance's%20board%20approved,target%20price%20of%20Rs%20717.&text=LIC%20Housing%20Finance%20Ltd.,-05%20Mar%202025"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"LIC Housing Finance announced a final dividend of ₹10 per share for FY25 on May 15, 2025, with August 22, 2025 as the record date. This dividend, recommended by the Board of Directors, is subject to shareholder approval at the Annual General Meeting (AGM). The company's Q1 FY26 results, announced on August 1, 2025, showed a 2% YoY increase in total disbursements to ₹13,116 crore, with individual home loan disbursements rising by 3% to ₹11,247 crore. Project loan disbursements, however, declined significantly to ₹156 crore. Operational revenue for Q1 FY26 grew by 7% YoY to ₹7,233.13 crore. Net Interest Income (NII) for Q1 FY26 increased to ₹2,065.78 crore, while Net Interest Margin (NIM) slightly decreased to 2.68%. Profit Before Tax (PBT) for the quarter rose by 4% YoY to ₹1,699.16 crore. The Individual Home Loan portfolio reached ₹2,62,411 crore as of June 30, 2025, a 7% YoY increase. The Project loan portfolio stood at ₹8,950 crore as of June 30, 2025, up by 10% YoY. The total outstanding portfolio grew by 7% YoY to ₹3,09,587 crore. The company's FY25 performance, announced on May 15, 2025, saw total disbursements of ₹64,022 crore, up by 9% YoY. Operational revenue for FY25 grew by 3% YoY to ₹28,050.14 crore. Net Profit After Tax for FY25 rose by 14% YoY to ₹5,429.02 crore. The company announced a borrowing plan of ₹1.23 lakh crore for FY26. Competition from banks in the housing loan sector is expected to intensify, potentially impacting HFC growth and margins."
