Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
LINDEINDIA,8,1419,2025-08-21 22:27:05,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://assets.linde.com/-/media/global/apac/linde-india-limited/investor-relations/disclosures-and-notices-to-ses/linde_india_outcome_of_bm_23052025.pdf#:~:text=The%20Board%20of%20Directors%20of%20the%20Company,years%20with%20effect%20from%201%20April%202025."
Link_2,"https://www.indmoney.com/stocks/linde-india-ltd-share-price#:~:text=Linde%20India%20Ltd's%20net%20profit,a%20dividend%20yield%20of%200.37%25."
Link_3,https://www.moneycontrol.com/financials/lindeindia/results/yearly/boc
Link_4,"https://www.moneycontrol.com/news/business/markets/linde-india-declares-12-share-dividend-for-fy25-sets-august-7-record-date-13248415.html#:~:text=E%2Dfiled%20Form%2010F%20(electronically,valid%20for%20FY%202025%2D26."
Link_5,"https://www.independentdirectorsdatabank.in/newsletter/2025/06/4/1370#:~:text=A%20small%20group%20of%20minority,2018%20to%20create%20Linde%20Plc."
Link_6,"https://www.moneycontrol.com/company-notices/lindeindia/notices/BOC/#:~:text=%E2%80%A2%20Source:%20BSE-,Announcement%20under%20Regulation%2030%20(LODR)%2DNewspaper%20Publication,06:18pm%20%E2%80%A2%20Source:%20BSE"
Link_7,"https://www.marketsmojo.com/news/stocks-in-action/why-is-linde-india-fallingrising-3417825#:~:text=However%2C%20the%20stock%20has%20underperformed,%7C%20Vol:%20(%25)"
Link_8,"https://www.marketsmojo.com/news/stocks-in-action/why-is-linde-india-fallingrising-3339662#:~:text=However%2C%20the%20stock's%20long%2Dterm%20struggles%20are%20evident,index%20showing%20a%20decline%20of%20only%202.34%25."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Dividends declared:Linde India announced a dividend of ₹12 per equity share for the financial year ending March 31, 2025. This includes a special dividend of ₹7.50 per share, declared on May 23, 2025.

Secretarial auditors appointed:On May 23, 2025, the company announced the appointment of M/s P Sarawagi & Associates, Company Secretaries, as their Secretarial Auditors for a term of 5 consecutive years, effective April 1, 2025.

Upcoming AGM:The company announced on May 23, 2025, that the 89th Annual General Meeting (AGM) was scheduled for August 14, 2025.

Financial results:Linde India's standalone March 2025 net sales were Rs 591.88 crore, down 6.06% year-on-year.

Minority shareholder concerns:A group of minority investors have been actively engaged with Linde India regarding the allocation of a potentially lucrative business to its unlisted joint venture partner.

SAT directs cooperation:The Securities Appellate Tribunal (SAT) directed Linde to cooperate with a valuation exercise ordered by SEBI in connection with the minority shareholder concerns,

Market Performance:The stock had underperformed the market over the last year, with a 13.44% decline compared to the BSE500 index's negative return of -1.56%.

Information specific to Linde India news and updates only as of May 1, 2025, is limited in the provided search results. However, we can glean some relevant information around that timeframe:"
