Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
LODHA,7,2353,2025-08-21 22:28:41,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.instagram.com/p/DNkL85lNkOG/#:~:text=Two%20strategies.,investing%20%23money%20%23stockmarket%20%23stockgro"
Link_2,"https://www.lodhagroup.com/investor-relations/shareholder-information#:~:text=Tax%20Dividend,Friday%2C%20August%2029%2C%202025."
Link_3,"https://www.myhoardings.com/forecast2025/Macrotech-Developers-Limited-(LODHA)-Announces-Strategic-Shift#:~:text=Macrotech%20Developers%20Limited%20(LODHA)%20Announces,%2D17%2002:12:43"
Link_4,"https://economictimes.indiatimes.com/macrotech-developers-ltd/stocksupdate/companyid-20352.cms#:~:text=So%2C%20there%20is%20a%20logical,Rs%2025%2C000%20crore%20in%20revenue."
Link_5,"https://www.jmfinancialservices.in/market-news-and-insights/1597219#:~:text=Login,Stock%20Option%20Scheme%202021%20%2D%20II."
Link_6,"https://www.business-standard.com/topic/macrotech-developers#:~:text=Modi%20said%20the%20company%20would,up%204%25;%20here's%20why"
Link_7,"https://www.moneycontrol.com/news/tags/macrotech-developers.html#:~:text=Motilal%20Oswal%20is%20bullish%20on,Advertisement"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Financial Performance:

Macrotech Developers reported a 38.5% rise in Q4 profit to ₹921.7 crore.

The company also declared a dividend of ₹4.25 per share.

For the entire financial year 2024-25, the consolidated net profit increased by 71% to ₹2,764 crore, with topline growing by 34% to ₹13,780 crore.

Expansion & Investment:

Macrotech Developers planned to invest ₹8,000 crore in the fiscal year 2025-26, primarily for land acquisition in the Mumbai Metropolitan Region (MMR), Pune, and Bengaluru.

This investment aimed to generate ₹25,000 crore in revenue from new housing projects.

The company also planned to launch 17 housing projects covering 13 million square feet with an estimated sales booking potential of ₹19,000 crore in FY26.

Strategic Shift:

Macrotech Developers announced a strategic shift to balance growth and income for stability.

The company allotted 1.74 lakh equity shares under ESOS (Employee Stock Option Scheme).

Lodha Developers remained a focus in the real estate sector, with comparisons drawn to other players like Godrej Properties, noting Lodha's focus on premium projects and margins.

Financial Performance:Macrotech Developers reported a 38.5% rise in Q4 profit to ₹921.7 crore.The company also declared a dividend of ₹4.25 per share.For the entire financial year 2024-25, the consolidated net profit increased by 71% to ₹2,764 crore, with topline growing by 34% to ₹13,780 crore.

Expansion & Investment:Macrotech Developers planned to invest ₹8,000 crore in the fiscal year 2025-26, primarily for land acquisition in the Mumbai Metropolitan Region (MMR), Pune, and Bengaluru.This investment aimed to generate ₹25,000 crore in revenue from new housing projects.The company also planned to launch 17 housing projects covering 13 million square feet with an estimated sales booking potential of ₹19,000 crore in FY26.

Strategic Shift:Macrotech Developers announced a strategic shift to balance growth and income for stability.

Other News:The company allotted 1.74 lakh equity shares under ESOS (Employee Stock Option Scheme).Lodha Developers remained a focus in the real estate sector, with comparisons drawn to other players like Godrej Properties, noting Lodha's focus on premium projects and margins.

On May 1, 2025, several key news and updates related to Lodha (Macrotech Developers Ltd.) were reported:"
