Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MANKIND,14,1215,2025-08-21 22:33:20,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://hdfcsky.com/news/mankind-pharma-allots-shares-under-esops#:~:text=All%20the%20newly%20issued%20equity,%2C%20cardiovascular%2C%20and%20skin%20health."
Link_2,"https://scanx.trade/stock-market-news/orders-deals/mankind-pharma-sees-rs-50-95-crore-block-trade-on-nse/17296583#:~:text=Mankind%20Pharma%20Unveils%20Strategic%20Expansion,Assessment%20Orders%20Mar%2028%2C%202025"
Link_3,"https://www.findoc.com/news/market-news/7/15/1186508#:~:text=58%20Hrs%20IST-,Mankind%20Pharma%20incorporates%20wholly%20owned%20subsidiary%20in%20Russia,as%20several%20consumer%20healthcare%20products."
Link_4,https://cineom.in/video/Mankind-Pharma-Limited-(543904)-to-Launch-New-Product-Line
Link_5,https://www.livemint.com/market/market-stats/mankind-pharma-q1-results-s0005430
Link_6,"https://scanx.trade/stock-market-news/earnings/mankind-pharma-reports-24-5-revenue-growth-in-q1-profit-declines/15511021#:~:text=Mankind%20Pharma%20announced%20Q1%20financial,1.00%20per%20share%20was%20approved."
Link_7,"https://www.kotaksecurities.com/financial-results/mankind-pharma-ltd-q1fy2025-26-results/#:~:text=2025%2D26%20results?-,Key%20highlights%20of%20Mankind%20Pharma%20Ltd%20Q1%20FY%202025%2D26,in%20Q1%20FY%202025%2D26."
Link_8,"https://pdms.hpwwma.org.in/forecast2025/Mankind-Pharma-Limited-(MANKIND)-to-Launch-New-Product-Line#:~:text=sanitation%20and%20streetscape.-,Mankind%20Pharma%20Limited%20(MANKIND)%20to%20Launch%20New%20Product%20Line%20%E2%9C%8C%EF%B8%8F,you%20make%20timely%20investment%20moves."
Link_9,"https://www.autocarpro.in/news-nationals/Mankind-Pharma-Limited-(543904)-to-Launch-New-Product-Line#:~:text=in%20the%20latter.-,Mankind%20Pharma%20Limited%20(543904)%20to%20Launch%20New%20Product%20Line%20%E2%9C%8C%EF%B8%8F,deliver%202x%20or%20greater%20returns.&text=Is%20AtriCure%2C%20Inc.,a%20good%20long%2Dterm%20investment?&text=What%20analysts%20say%20about%20RNST,say%20about%20Draganfly%20Inc.%20stock?"
Link_10,"http://www.loginzed.msme.gov.in/technicalanalysis/Mankind-Pharma-Limited-(MANKIND)-to-Launch-New-Product-Line#:~:text=According%20to%20the%20cooperation%20framework,200%25%20in%20the%20past%20year.&text=What%20analysts%20say%20about%20HOMB%20stock?"
Link_11,"https://www.bwhealthcareworld.com/article/mankind-pharma-and-innovent-biologics-forge-alliance-to-transform-cancer-care-in-india-with-sintilimab-543143#:~:text=Since%20its%20launch%20in%202018,to%20bring%20sintilimab%20to%20India."
Link_12,https://www.youtube.com/watch?v=YTPhFpOb29E&t=2
Link_13,"https://mediabrief.com/mankind-pharma-unveils-its-45-day-healthcare-mission-at-mahakumbh-2025/#:~:text=Mankind%20Pharma%2C%20the%20global%20pharmaceutical,well%2Dbeing%20throughout%20the%20event."
Link_14,"https://www.motilaloswal.com/news/stocks/86395#:~:text=Mankind%20Pharma%20has%20completed%20the%20amalgamation%20of,Mankind%20Pharma%2C%20dissolving%20the%20subsidiaries%20without%20liquidation."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Strategic Expansion and Corporate Restructuring:Mankind Pharma unveiled strategic expansion plans involving new subsidiaries and integration initiatives.

Tax Demand:The company faced a tax demand of ₹183 crore.

Merger Approvals:NCLT approved the merger of BSV Pharma-Bharat Serums and Vaccines with Mankind Pharma. The company also completed the merger of three other subsidiaries and adjusted its authorized share capital.

Product Line Launch:Mankind Pharma announced plans to launch a new product line in May 2025.

ESOP Allotment:The company allotted shares under its Employee Stock Option Plan (ESOP) on May 31, 2025.

Quarterly Results:Mankind Pharma reported Q1 FY26 earnings with a 24.5% revenue increase but a 17.4% decline in profit.

International Expansion:The company incorporated a wholly-owned subsidiary in Russia in August 2025.

Partnership:In August 2025, Mankind Pharma partnered with Innovent Biologics to bring an innovative cancer treatment (sintilimab) to India.

As of May 1, 2025, there is no specific news or update available regarding Mankind Pharma.

However, there is information from the preceding month (April 2025) and subsequent months (May-August 2025) which may be of interest:"
