Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MARICO,11,2072,2025-08-21 22:34:04,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://www.ndtvprofit.com/quarterly-earnings/marico-q4-results-net-profit-rises-8-in-line-with-estimates
Link_2,https://marico.com/india/media/press-release
Link_3,"https://m.economictimes.com/markets/stocks/earnings/marico-q4-results-cons-pat-jumps-8-yoy-to-rs-343-crore-revenue-up-20/articleshow/120821377.cms#:~:text=Marico%20reported%20an%208%25%20YoY,offset%20by%20strategic%20A&P%20investments.&text=FMCG%20major%20Marico%20on%20Friday,to%20Rs%2010.50%20per%20share.&text=Want%20In%2DDepth%20Report%20&%20Analysis,make%20smarter%20buy/sell%20decisions?&text=MCap%20(%E2%82%B9%20Cr.)"
Link_4,"https://m.economictimes.com/industry/cons-products/food/fmcg-saffola-owner-marico-md-says-food-biz-may-become-bigger-than-edible-oil-in-3-4-years/articleshow/123321561.cms#:~:text=Food-,Saffola%20owner%20Marico%20MD%20says%20food%20biz%20may%20become%20bigger,expansion%2C%22%20Gupta%20told%20PTI."
Link_5,"https://www.goodreturns.in/news/marico-q4-results-fy25-20-yoy-revenue-growth-profit-rises-8-check-final-dividend-amount-1426553.html#:~:text=Business-,Marico%20Q4%20Results%20FY25:%2020%25%20YoY%20Revenue%20Growth%2C%20Profit,8%25%2C%20Check%20Final%20Dividend%20Amount&text=Marico%20Ltd%2C%20a%20leading%20Indian,inflation%20in%20key%20raw%20materials."
Link_6,"https://dhan.co/stocks/marico-ltd-share-price/#:~:text=Marico's%20Managing%20Director%20Saugata%20Gupta,to%20achieve%20double%2Ddigit%20growth."
Link_7,"https://www.afaqs.com/people-spotting/marico-re-appoints-saugata-gupta-as-md-ceo-9033666#:~:text=Gupta%20has%20been%20re%2Dappointed,from%20Operations%20was%20at%20Rs."
Link_8,"https://sightsinplus.com/news/c-suite-move/marico-re-appoints-saugata-gupta-as-md-ceo-till-2028/#:~:text=By,%2C%20a%2012%25%20increase%20YoY."
Link_9,"https://mediabrief.com/marico-board-approves-reappointment-saugata-gupta-ceo-2028/#:~:text=Marico%20Board%20approves%20re%2Dappointment,16%25%20in%20the%20international%20business."
Link_10,"https://www.business-standard.com/markets/marico-ltd-share-price-12585/news#:~:text=Food%20biz%20may%20be%20bigger,ramped%20up%20further%20with%20..."
Link_11,"https://www.barchart.com/story/news/32915086/is-broadridge-financial-solutions-stock-outperforming-the-s-p-500#:~:text=Wall%20Street%20analysts%20are%20cautious%20on%20BR's,upside%20of%205.4%25%20from%20current%20price%20levels."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 FY25 Results:Marico reported strong performance for the quarter ended March 31, 2025. Consolidated net profit increased 8% year-on-year to ₹343 crore, with revenue from operations up 20% to ₹2,730 crore. The board recommended a final dividend of ₹7 per share for FY25.

Reappointment of MD & CEO:The company announced the re-appointment of Saugata Gupta as Managing Director and CEO for a further period of two years, starting April 1, 2026, until March 31, 2028.

India Business Performance:Marico's India business saw strong volume growth of 7% in Q4 FY25, a 14-quarter high. Nearly 95% of the India portfolio either gained or sustained market share and 80% gained or sustained penetration levels.

International Business Performance:The international business delivered 16% constant currency growth (CCG) in Q4 FY25 and 14% in FY25.

Food Business Growth:The food business, under the Saffola brand, is projected to surpass the edible oil segment within three to four years, with foods exceeding ₹900 crore in FY25. The company aims for 25% growth in this segment, focusing on product expansion like oats, honey, and snacks.

Sustainability Focus:Marico reaffirmed its sustainability vision on Earth Day, targeting 93% clean energy usage by 2030, a threefold increase from 2017 levels.

Analysts' estimates placed Marico's Q4 FY25 net profit around ₹336.7 crore, according to Bloomberg data. The reported profit of ₹343 crore surpassed these estimates.

The company's stock has shown strong performance, gaining 34.74% in the last 12 months and 9.11% year-to-date as of May 2, 2025.

According to Bloomberg data, 31 out of 42 analysts recommend a 'buy' rating for Marico stock, eight suggest 'hold', and three gave a 'sell' rating.

The average 12-month analyst price target implies a potential upside of 5.4%.

Here's a summary of Marico news and updates as of May 1, 2025:

Note: This information is based on available search results as of May 1, 2025. Please consult official company filings and reliable financial news sources for the most up-to-date information."
