Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MAXHEALTH,14,1849,2025-08-21 22:36:04,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://timesofindia.indiatimes.com/business/india-business/max-healthcare-institute-q4-pat-up-21-pc-at-rs-376-cr/articleshow/121304020.cms#:~:text=Max%20Healthcare%20Institute%20Ltd%20Chairman,bank%20holidays%20and%20public%20holidays."
Link_2,"https://www.digitalhealthnews.com/max-healthcare-to-nearly-double-capacity-to-9-500-beds-by-2028#:~:text=During%20the%20quarter%2C%20Max%20Healthcare,INR%201%2C267.60%20on%20the%20BSE."
Link_3,https://www.maxhealthcare.in/investors/stock-exchange-submissions
Link_4,"https://scanx.trade/stock-market-news/corporate-actions/max-healthcare-institute-unveils-ambitious-expansion-plan-to-boost-capacity-by-30/9430335#:~:text=Max%20Healthcare%20Institute%20Unveils%20Ambitious%20Expansion%20Plan%20to%20Boost%20Capacity%20by%2030%25,-1%20min%20read&text=Max%20Healthcare%20Institute%20has%20announced,market%20presence%20and%20operational%20scale."
Link_5,"https://www.screener.in/company/MAXHEALTH/consolidated/#:~:text=Market%20Cap%20%E2%82%B9%201%2C21%2C508,last%203%20years:%20%2D26.9%25"
Link_6,"https://www.moneycontrol.com/news/business/stocks/max-healthcare-institute-shares-jump-1-30-amid-volume-surge-alpha-article-13467634.html#:~:text=The%20company's%20income%20statement%20provides,Mutual%20Funds"
Link_7,"https://www.business-standard.com/content/press-releases-ani/max-india-limited-s-rights-issue-1-45-times-oversubscription-signals-strong-investor-confidence-125053100294_1.html#:~:text=Expanding%20its%20footprint%20in%20Gurugram,2025%20%7C%2011:35%20PM%20IST"
Link_8,"https://www.bwhealthcareworld.com/article/max-healthcare-accelerates-growth-momentum-in-q1-launches-new-hospital-increases-revenue-makes-strategic-investments-528198#:~:text=Max%20Healthcare%20Institute%20reported%20gross,to%20Max's%20specifications%20by%20FY28."
Link_9,"https://www.motilaloswal.com/news/stocks/93198#:~:text=CNBC%20Television-,Max%20Healthcare%20Institute%20Q4%20results:%20PAT%20up%2021%25%20at%20%E2%82%B9,of%20the%20rise%20in%20revenues."
Link_10,https://simplehai.axisdirect.in/images/2024/Max-Healthcare-Institute-Ltd---Q3FY25-Result-Update---01022025.pdf
Link_11,"https://www.jmfinancialservices.in/market-news-and-insights/1630317#:~:text=A%2D1%20announced%20that%20the%20Board%20of%20Directors,subject%20to%20the%20approval%20of%20the%20shareholders."
Link_12,"https://www.indiainfoline.com/company/max-healthcare-institute-ltd-historical-data#:~:text=Max%20Healthcare%20Institute's%20Q4%20PAT%20up%2021%25,%E2%82%B91.5%20per%20equity%20share%20for%20the%20FY25."
Link_13,"https://www.venturasecurities.com/invest/stocks/max-india-limited-share-price/news#:~:text=Latest%20News%20about%20Max%20India%20Limited%20No,and%20a%20skilling%20company%20'Max%20Skill%20First'."
Link_14,"https://www.screener.in/company/MAXHEALTH/consolidated/#:~:text=Max%20Healthcare%20Institute%20Ltd%20Company%20is%20expected,of%2064.0%25%20CAGR%20over%20last%205%20years"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Strong Q4 FY25 Results (Announced May 20, 2025): Max Healthcare reported a 21% YoY rise in Profit After Tax (PAT) at ₹376 crore, driven by revenue growth.

FY25 Dividend Recommendation: The board recommended a final dividend of ₹1.5 per equity share for FY25.

Focus on Super-Specialty Care: Max Healthcare agreed to sell smaller hospitals in Bulandshahr and Anoopshahr to focus on super-specialty care in larger cities,according to Digital Health News.

Expansion in Gurugram: Antara Senior Care (a Max India subsidiary) expanded its senior living residences and healthcare services in Gurugram,according to Business Standard.

Bed Capacity Expansion Plans (Announced May 22, 2025): Max Healthcare announced plans to increase bed capacity by 30% in FY26, aiming for 6,500 beds by next year and 9,000 by 2028,according to scanx.trade.

Brownfield Expansion at Max Vaishali: The company completed the acquisition of land adjoining Max Super Specialty Hospital, Vaishali for brownfield expansion.

New Hospital Commissioning: A 160-bed tower was commissioned at Max Mohali during the quarter.

Occupancy and ARPOB: Q1 FY25 revenue growth was driven by higher Average Revenue Per Occupied Bed (ARPOB) and Occupied Bed Days (OBDs).

ESOP Allotment: Equity shares were allotted under the Employee Stock Option Scheme 2020 on May 11, 2025.

Analyst/Investor Call Scheduled: An earnings call for investors and analysts was scheduled for May 13, 2025.

Volume Surge: Max Healthcare shares saw a volume surge on August 19, 2025, closing at ₹1,227.30.

Consistent Profit Growth: The company has delivered a 64% CAGR profit growth over the last 5 years.

Recent Updates for Max Healthcare Institute Ltd (as of May 1, 2025)

Financial Performance

Expansion and Strategic Initiatives

Operational Highlights

Other Notable Developments

Stock Market Performance"
