Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MEDANTA,7,2282,2025-08-21 21:42:01,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://health.economictimes.indiatimes.com/news/hospitals/medanta-q4-net-profit-slides-20-annual-earnings-reports-marginal-uptick/121206958#:~:text=In%20Q4%20profit%20was%20impacted,operational%20by%20September%20this%20year.%3E"
Link_2,"https://www.business-standard.com/topic/medanta-hospitals#:~:text=Medanta%20Q1%20results:%20PAT%20rises,said%20in%20a%20regulatory%20filing."
Link_3,https://www.alphaspread.com/security/nse/medanta/investor-relations/earnings-call/q4-2025
Link_4,"https://www.ndtvprofit.com/business/medanta-owner-global-health-plans-rs-4000-crore-capex-to-reach-6000-beds#:~:text=Medanta%20Owner%20Global%20Health%20Plans,Capex%20To%20Reach%206%2C000%20Beds"
Link_5,"https://www.business-standard.com/topic/medanta-hospitals#:~:text=Global%20Health%2C%20which%20operates%20hospitals,advanced%20treatment%20options%20to%20the%20.."
Link_6,"https://scanx.trade/stock-market-news/earnings/medanta-reports-robust-q1-fy2026-performance-with-19-revenue-growth-and-50-pat-surge/16824931#:~:text=EBITDA%20(Earnings%20Before%20Interest%2C%20Taxes,35.90%25%20to%20%E2%82%B93%2C219.00%20million."
Link_7,https://tracxn.com/d/companies/medanta/__KIB79LWmINur5VOlFl1Etv3jfQJoVLMO-NFokgKNNLs

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 FY25 Results (as announced on May 16, 2025):Medanta reported a 20% year-on-year slide in net profit for Q4 FY25, impacted by non-recurring exceptional expenses related to the merger of MHPL with GHL.

FY25 Annual Earnings:Revenue from operations increased by 12.7% to ₹3,692 crore, while net profit saw a marginal uptick of 0.7% to ₹481 crore.

Q1 FY25 Results (as announced on May 26, 2025):Consolidated profit after tax increased by 4% year on year to ₹106 crore, and revenue from operations rose to ₹861 crore.

Expansion Plans:

Medanta plans to invest ₹4,000 crore to reach a capacity of 6,000 beds over the next 3-4 years.

This expansion includes adding 1,000 beds in the next 2 years, with major projects in Noida, Mumbai, Pitampura, Ranchi, and Guwahati.

The Noida project is expected to be operational by September 2025.

The company has received confirmation of a successful bid for a land parcel in Mumbai for a 500+ bed super-specialty hospital, marking its entry into the Mumbai market.

Medanta added 219 new beds across its network in FY25.

Average occupancy rate for FY25 was 62%.

Developing hospitals demonstrated strong growth, with revenue surging by 35.9% in Q1 FY26.

Average revenue per occupied bed (ARPOB) saw marginal year-on-year increases in Q4 FY25, and management expects future growth to be in the low- to mid-single-digit range.

Medanta Gurugram was recognized in Newsweek's 'World's Best Hospitals' list for the sixth consecutive year, according to Asian News International in April 2025.

Expansion Plans:Medanta plans to invest ₹4,000 crore to reach a capacity of 6,000 beds over the next 3-4 years.This expansion includes adding 1,000 beds in the next 2 years, with major projects in Noida, Mumbai, Pitampura, Ranchi, and Guwahati.The Noida project is expected to be operational by September 2025.The company has received confirmation of a successful bid for a land parcel in Mumbai for a 500+ bed super-specialty hospital, marking its entry into the Mumbai market.

Based on the provided information, here are some key updates about Medanta (Global Health Limited) as of May 1, 2025:

Note: Some of the search results provide updates beyond May 1, 2025. This summary focuses on news and updates as close as possible to the specified date."
