Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MOTHERSON,7,1843,2025-08-21 23:08:34,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.motherson.com/performance/samil-investors/corporate-announcements#:~:text=Board%20Meeting%20Intimation%20(PDF%20%7C%202.1,15th%20April%202025"
Link_2,"https://www.equitymaster.com/detail.asp?date=05/30/2025&story=6&title=Samvardhana-Motherson-Bonus-Issue-A-Sweet-Deal-or-a-Market-Trap#:~:text=The%20board%20announced%20the%20bonus,them%20cheaper%20in%20the%20future."
Link_3,https://www.motherson.com/storage/Corporate%20Announcements/FY2025-26/Disclosure_Annual_Report_FY_2024-25-06Aug.pdf
Link_4,"https://www.moneycontrol.com/news/business/stocks/samvardhana-motherson-international-shares-rise-2-9-in-intraday-trading-alpha-article-13461769.html#:~:text=Key%20financial%20ratios%20for%20Samvardhana,as%20of%20August%2018%2C%202025."
Link_5,"https://www.livemint.com/market/stock-market-news/samvardhana-motherson-q1-results-2025-live-samvardhana-motherson-share-price-automobile-profit-trump-tariffs-impact-11755062189298.html#:~:text=and%20cookie%20settings-,Samvardhana%20Motherson%20Q1%20Results%20Highlights:%20No%20material%20impact%20from%20US,announced%20its%20Q1%20results%20today."
Link_6,"https://www.motherson.com/media/group-updates#:~:text=3rd%20May%202025,21st%20International%20Automobile%20Industry%20Exhibition."
Link_7,"https://www.motherson.com/performance/samil-investors/corporate-announcements#:~:text=Motherson%20SAS%20Automotive%20Service%20Czechia,11th%20April%202025"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Acquisition of Baldi:Motherson Group announced on May 3, 2025, that they completed the acquisition of Baldi Industria e Comercio Ltda., which specializes in wrapping solutions and soft-touch surfaces for automotive interiors. This acquisition is expected to strengthen Motherson's presence in the South American market and enhance vertical integration in their Modules & Polymer Products division.

Approval of Reclassification Application:On May 3, 2025, Motherson announced the approval of a reclassification application, according to their stock exchange disclosures. However, the specific details regarding the reclassification are not publicly available in the provided search results.

FY 2024-25 Financial Performance:Samvardhana Motherson reported strong financial performance for the year ending March 31, 2025. Consolidated revenues grew 15% to INR 1,136,626 Mn, and EBITDA increased by 17% to INR 108,775 Mn, with a 40% rise in PAT (concern share) to INR 38,030 Mn. The company's Return on Capital Employed (ROCE) also increased to 17.2%.

Bonus Issue Declaration:While announced on May 29, 2025, it's worth noting the declaration of a 1:2 bonus share issue to commemorate the company's 50th anniversary. This translates to shareholders receiving one additional share for every two shares held.

As on May 1, 2025, the key news and updates for Motherson Group (specifically Samvardhana Motherson International Limited) include:

Please note: The provided information is based solely on the search results available as of August 21, 2025, and focuses on the news and updates specifically as on or around May 1, 2025. More recent developments, such as the company's Q1 FY26 results in August 2025, or the announcement of a final dividend, while relevant to the company, are beyond the scope of your requested timeframe of May 1, 2025."
