Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
MRPL,6,1772,2025-08-21 22:32:37,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://responsiveweb.acesphereonline.com/wealthstreet/company-profile/company-news.aspx?fincode=100109#:~:text=Pursuant%20to%20the%20provisions%20of,+"
Link_2,"https://www.bajajbroking.in/blog/mrpl-q1-results-fy-25-26#:~:text=Mangalore%20Refinery%20and%20Petrochemicals%20Ltd,4.35%20MMT%20YoY)%20(Standalone)"
Link_3,"https://scanx.trade/stock-market-news/earnings/mrpl-reports-q1-loss-of-rs-272-crores-amid-plant-turnaround-and-inventory-challenges/14883431#:~:text=MRPL%20Shares%20Surge%206.4%25%20as%20YES%20Securities%20Raises%20Price%20Target&text=Mangalore%20Refinery%20&%20Petroleum%20(MRPL)%20shares%20rose%206.4%25%20to,sentiment%20in%20the%20refinery%20sector."
Link_4,"https://www.perplexity.ai/finance/MRPL.NS/history#:~:text=Get%20the%20latest%20Mangalore%20Refinery%20and%20Petrochemicals,analyst%20ratings%2C%20and%20forecasts%20from%20Perplexity%20Finance."
Link_5,"https://www.business-standard.com/article/companies/mrpl-plans-new-projects-worth-rs-15-000-crore-116072000312_1.html#:~:text=Company%20will%20upgrade%20facilities%20in,grade%20fuel%20by%20April%202020&text=Mangalore%20Refinery%20and%20Petrochemicals%20(MRPL,meet%20the%20increasing%20fuel%20demand."
Link_6,"https://chemindigest.com/mrpl-and-eil-sign-pact-to-drive-energy-growth/#:~:text=The%20partnership%20reflects%20a%20shared,CID%20Editorial%20Team"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Share Price Performance:On May 1, 2025, MRPL opened at ₹134.80, reaching a high of ₹153.00, a low of ₹120.00, and closing at ₹144.04.

Trading Window Closed:The trading window for dealing in MRPL shares was closed from July 1, 2025, until 48 hours after the conclusion of the Board Meeting approving the un-audited financial results. This was announced on May 31, 2025.

Q1 FY26 Results (ended June 30, 2025):MRPL reported a consolidated net loss of ₹270.66 crore for the quarter, reversing from a profit in the same period last year. Revenue from operations also declined significantly,according to Bajaj Broking. This decline was attributed to reduced crude throughput, weaker gross refining margins (GRM), and operational shutdowns. GRM fell to $3.88/barrel from $4.70/barrel year-on-year.

Expansion Plans:In earlier announcements, MRPL stated plans to upgrade facilities to produce BS VI grade fuel and invest in projects worth Rs 15,000 crore, including a raw petroleum coke gas complex to produce 'Syngas' and other chemicals like urea and acetic acid.

Partnership:MRPL and Engineers India Limited (EIL) signed a pact to drive energy growth, aiming to strengthen India's hydrocarbon value chain and contribute to energy security and sustainability goals.

US Patent Granted:MRPL was granted a US patent for a method of preparing iso-Butyl Benzene,according to responsiveweb.acesphereonline.com.

MRPL news and updates on May 1, 2025:

It's important to note that information specific to May 1, 2025, is limited. Most available news reports and filings cover a broader period, such as the first quarter of FY26 (April-June 2025) or refer to events that happened slightly before or after May 1, 2025.

Contextual Information (though not strictly ""as of 01.05.2025""):"
