Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
NAM-INDIA,6,2716,2025-08-21 22:47:13,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://hdfcsky.com/news/nam-india-q1fy26-pat-soars-19-percent-yoy-to-rs-396-crore-aum-at-rs-7-44-trillion#:~:text=The%20company%20continues%20to%20hold,purchases/SIPs%20occurred%20per%20minute."
Link_2,"https://www.icicidirect.com/stocks/nippon-life-india-asset-management-ltd-share-price#:~:text=Asset%20Management%20company%20Nippon%20Life,%E2%80%93%20highest%20in%20the%20Industry.%E2%80%9D"
Link_3,"https://scanx.trade/stock-news/nippon-life-india-asset-management-ltd#:~:text=Total%20assets%20under%20management%20reached,with%2021.2%20million%20unique%20investors.&text=Nippon%20Life%20India%20Asset%20Management%20(NAM%20India)%20has%20fully%20restored,operations%20due%20to%20the%20incident.&text=Nippon%20Life%20India%20Asset%20Management's,in%20the%20asset%20management%20industry."
Link_4,"https://economictimes.indiatimes.com/nippon-life-india-asset-management-ltd/stocksupdate/companyid-5449.cms#:~:text=Nippon%20Life%20India%20Asset%20Management%20(NAM%20India)%20announced%20a%2019,%2C2025%2C%2002:34PM%20IST"
Link_5,"https://www.tickertape.in/stocks/nippon-life-india-asset-management-NIPF#:~:text=NAM%2DINDIA%20Stock%20Summary%20%C2%B7%20April,term%20stability%20and%20operational%20integrity."
Link_6,"https://scanx.trade/stock-news/nippon-life-india-asset-management-ltd#:~:text=The%20company's%20mobile%20application%20and%20website%20are,impact%20on%20operations%20due%20to%20the%20incident."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Cybersecurity Incident:NAM India experienced a cybersecurity incident on April 10, 2025, which temporarily affected its digital services. However, core operating systems were restored quickly, and alternative transaction channels remained operational. The company reported no significant impact on its overall operations due to this incident.

Strong Growth and Market Share:NAM India reported robust financial performance for the first quarter of fiscal year 2026. This included a 19% year-on-year increase in profit after tax, reaching INR 396.1 crore, and a 20% rise in revenue from operations to INR 606.6 crore.

AUM Growth:The company's total assets under management reached INR 7.44 trillion. Mutual Fund QAAUM grew by 27% year-on-year to INR 6.13 trillion, making it the fastest-growing AMC among the top 10 players.

Market Share Gains:NAM India increased its Mutual Fund QAAUM market share by 29 basis points year-on-year to 8.49% and its equity market share by 19 basis points year-on-year to 7.04%.

Equity Net Sales and SIP Market Share:The company saw strong double-digit equity net sales and SIP market share, both remaining well above its equity AUM market share. SIP flows remained robust, and industry flows reached an all-time high in June 2025.

Largest Investor Base:NAM India maintains the largest investor base in the mutual fund industry, with 21.2 million unique investors, representing over one in every three mutual fund investors.

Digital Transactions and ETF Leadership:Digital purchase transactions increased by 27% to 3.57 million, contributing 75% of total new purchases. NAM India maintained its top position across equity, debt, and commodity ETFs, with a market share of 20% and a 51% volume share.

Digital Push:The company is actively promoting digital transactions, which now account for a significant portion of new purchases and SIP registrations.

Offshore Business Expansion:There's a strategic focus on expanding the offshore business, particularly in Japan, while also enhancing digital offerings.

Commitment to Shareholder Value:The company demonstrated a commitment to shareholder value through a substantial dividend payout.

Recent developments and news pertaining to NAM-INDIA (Nippon Life India Asset Management Limited) as of May 1, 2025, are as follows:

1. Financial Performance and Market Position:

2. Key Business Highlights:

3. Strategic Focus and Initiatives:

In summary, as of May 1, 2025, NAM-INDIA demonstrated strong financial performance, AUM growth, and a leading position in the Indian asset management industry. It navigated a cybersecurity incident without significant disruption and continued to focus on digital growth and strategic expansion."
