Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
NTPCGREEN,9,1526,2025-08-21 22:43:55,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://scanx.trade/stock-market-news/earnings/ntpc-green-energy-reports-58-surge-in-q1-net-profit-driven-by-strong-revenue-growth/15255443#:~:text=NTPC%20Green%20Energy%20Limited%2C%20a,the%20previous%20year's%20corresponding%20quarter."
Link_2,"https://www.equitymaster.com/research-it/annual-results-analysis/NTPCG/NTPC-GREEN-ENERGY-LTD-2024-25-Annual-Report-Analysis/12713#:~:text=Balance%20Sheet%20Analysis,witnessing%20a%20growth%20of%2012%25."
Link_3,https://images.assettype.com/bloombergquint/2025-05-26/tpv28c23/ICICI_Securities_NTPC_Green_Q4FY25_Results_May25.pdf
Link_4,"https://scanx.trade/stock-market-news/orders-deals/ntpc-green-energy-inks-deal-for-300-mw-renewable-projects-in-goa/14390038#:~:text=NTPC%20Green%20Energy%20Secures%20Board,Solar%20Project%20Mar%2025%2C%202025"
Link_5,"https://www.cnbctv18.com/market/ntpc-green-energy-shares-mahapreit-jv-to-develop-10-gw-renewable-energy-parks-19586588.htm#:~:text=NTPC%20Green%20Energy%20and%20MAHAPREIT,GW%20of%20renewable%20energy%20projects.&text=NTPC%20Green%20Energy%20Limited%20(NGEL,from%20DIPAM%20and%20NITI%20Aayog.&text=NGEL%20has%20subscribed%20to%2074%2C000,the%20BSE%2C%20up%201.53%20percent."
Link_6,https://www.etnownews.com/companies/ntpc-green-energy-launches-new-jv-with-this-state-govt-after-securing-1000-mw-solar-pv-power-project-article-116965031
Link_7,"https://www.livemint.com/economy/cabinet-agriculture-push-investments-in-green-energy-ntpc-nlc-india-farming-prime-minister-dhan-dhaanya-krishi-yojana-11752660268484.html#:~:text=This%20will%20enable%20NGEL%20(%20NTPC%20Green,subsidiaries%20to%20accelerate%20renewable%20energy%20capacity%20expansion."
Link_8,"https://univdatos.com/news/india-solar-energy-market-highlights-may-2025#:~:text=On%20May%201%2C%202025%2C%20NTPC%20Green%20Energy,joint%20venture%20of%20Ayana%20Renewable%20Power%20Pvt."
Link_9,"https://www.angelone.in/news/share-market/ntpc-green-energy-mahapreit-join-hands-10-gw-renewable-energy-ptoject#:~:text=This%20entity%2C%20incorporated%20on%208th%20April%202025%2C,stake%2C%20while%20MAHAPREIT%20holds%20the%20remaining%2026%25."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Renewable Energy Capacity Expansion:NGEL continued to grow its renewable energy capacity. A 75 MW capacity of the IRCON Renewable Power Plant (Lot-4), part of a larger 500 MW project by a joint venture involving NGEL, was commissioned and operationalized, bringing the total operational capacity of the project to 225 MW.

Strategic Partnerships and Initiatives:NGEL partnered with Honeywell UOP to explore sustainable aviation fuel (SAF) production.

Financial Performance:While specific financial results for May 1, 2025, were not available, NGEL demonstrated strong financial performance in prior quarters due to expanding operations. In Q1 FY2025-26, the company reported a consolidated net profit of ₹2.20 billion, a 58% increase year-over-year. Revenue rose by 17.6% to ₹6.80 billion, and EBITDA reached ₹6.03 billion with a stable margin of 88.73%.

Joint Venture:On April 8, 2025, NGEL formed a joint venture with MAHAPREIT to develop, operate, and maintain renewable energy parks across India, targeting up to 10 GW capacity.

Borrowing Approval:The Board approved borrowing up to ₹5,000 crore for FY 2025-26 on April 29, 2025, to support expansion.

NTPC Green Energy Limited (NGEL) made significant strides in expanding its renewable energy portfolio and strengthening its financial position as of May 1, 2025 .

Key Highlights as on May 1, 2025:

Other notable developments around May 1, 2025:

Note: Specific financial results for May 1, 2025, may not be available as reporting is typically quarterly or annually."
