Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
PAGEIND,11,2733,2025-08-21 22:54:06,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.nseindia.com/get-quotes/equity?symbol=PAGEIND#:~:text=Page%20Industries%20Limited%20Share%20Price%20Today%2C%20Live,historical%20charts%2C%20market%20performance%2C%20capitalisation%2C%20dividends%2C%20volume%2C"
Link_2,"https://www.nseindia.com/get-quotes/equity?symbol=PAGEIND#:~:text=Page%20Industries%20Limited%20(INE761H01022),11%2DAug%2D2025"
Link_3,"https://www.pageind.com/announcements-&-shareholders-information--content#:~:text=Intimation%20of%20Trading%20Window%20Closure,Call%20Notification%20Q4%202023%2D24"
Link_4,"https://www.icicidirect.com/research/equity/rapid-results/page-industries-ltd#:~:text=Q4FY25%20Financial%20Highlights:,million%2C%20growth%20of%2028.1%25%20YoY"
Link_5,"https://www.findoc.com/company-profile/page-industries-ltd#:~:text=Frequently%20Asked%20Questions,feature%20on%20Stockz%20Trading%20App."
Link_6,"https://www.angelone.in/news/share-market/page-industries-interim-dividend-record-date-tomorrow-may-21-2025#:~:text=For%20Q4%20FY25%2C%20the%20company,only%20examples%20and%20not%20recommendations."
Link_7,"https://trendlyne.com/latest-news/994/PAGEIND/page-industries-ltd/?page=4&qstime=1753833712#:~:text=for%20FY%2D2025,Action"
Link_8,"https://trendlyne.com/research-reports/post/PAGEIND/994/page-industries-ltd/#:~:text=Strong%20volume%20growth%20with%20robust,776%20in%20Jun%202025%20qtr."
Link_9,"https://www.icicidirect.com/research/equity/page-industries-ltd/4041#:~:text=The%20company%20is%20significantly%20enhancing,womenswear%20and%20kids%20wear%20business"
Link_10,"https://economictimes.indiatimes.com/page-industries-ltd/stocks/companyid-762.cms#:~:text=Intraday%20fact%20check,last%20traded%20price%20is%2045%2C890.00"
Link_11,"https://economictimes.indiatimes.com/page-industries-ltd/stocksupdate/companyid-762.cms#:~:text=Page%20Industries%20Ltd.%20has%20broken%20out%20from,target%20of%20Rs%2058%2C000%20within%20two%20months."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 FY25 Results:

Sales volume growth of 8.5% year-on-year (YoY), reaching 49.2 million pieces.

Revenue increased by 10.6% YoY to ₹10,981 million.

EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization) saw a significant jump of 43.2% YoY, reaching ₹2,352 million.

Profit After Tax (PAT) surged by 51.6% YoY to ₹1,640 million.

Revenue reached ₹49,349 million, an 8.0% YoY increase.

EBITDA increased by 23.6% YoY to ₹10,626 million.

PAT rose to ₹7,291 million, a 28.1% YoY growth.

Interim Dividend:The company declared an interim dividend of ₹200.00 per share, with the record date set for May 21, 2025.

Motilal Oswal maintained a ""Buy"" rating for Page Industries with a target price of ₹57,500, citing strong volume growth and robust margin expansion in Q4 FY25 results.

Analysts highlighted that volume growth was driven by consistent efforts in product innovation, marketing, and distribution.

The company is significantly focusing on expanding its womenswear and kidswear categories, expecting these to be key growth drivers, particularly with new product introductions and dedicated sales teams.

Management believes athleisure segment growth remains robust.

The company aims to become a billion-dollar company, with womenswear being a major pillar in this plan.

PAGEIND shares closed at ₹45,385.00 on the National Stock Exchange (NSE) on May 1, 2025.

The 52-week high for Page Industries Ltd. is ₹50,590.00 and the 52-week low is ₹38,850.00 as of August 1, 2025.

The company announced the commencement of operations in Odisha.

An analyst/institutional investor meet/conference call update was scheduled for August 13, 2025.

Q4 FY25 Results:Sales volume growth of 8.5% year-on-year (YoY), reaching 49.2 million pieces.Revenue increased by 10.6% YoY to ₹10,981 million.EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization) saw a significant jump of 43.2% YoY, reaching ₹2,352 million.Profit After Tax (PAT) surged by 51.6% YoY to ₹1,640 million.

FY25 Results:Revenue reached ₹49,349 million, an 8.0% YoY increase.EBITDA increased by 23.6% YoY to ₹10,626 million.PAT rose to ₹7,291 million, a 28.1% YoY growth.

Based on the available information as of May 1, 2025, here are the relevant news and updates for Page Industries (PAGEIND):

Note: It's important to consider that some information retrieved relates to data after May 1, 2025, and has been included to provide a more comprehensive picture where it contributes to understanding the company's performance leading up to and immediately following that date. The user specifically asked for updates as of May 1, 2025, but some of the most relevant news relates to Q4 FY25 results that were likely released around this time."
