Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
PETRONET,14,1913,2025-08-21 22:56:20,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.petronetlng.in/announcements#:~:text=09%20May%202025-,Intimation%20regarding%20Post%2DResults%20Conference%20Call%20pursuant%20to%20Regulation%2030,16%20Apr%202025"
Link_2,"https://www.petronetlng.in/w/press-release-q1-2025-26-financial-results#:~:text=As%20a%20significant%20milestone%2C%20Net,for%20more%20details%20at%20following"
Link_3,"https://www.petronetlng.in/w/press-release-q1-2025-26-financial-results#:~:text=Petronet%20LNG%20Ltd,the%20Rs%2020%2C000%20Cr%20mark."
Link_4,"https://www.moneycontrol.com/news/business/earnings/petronet-lng-standalone-june-2025-net-sales-at-rs-11879-86-crore-down-11-44-y-o-y-13337373.html#:~:text=down%2011.44%25%20Y%2Do%2DY-,Petronet%20LNG%20Standalone%20June%202025%20Net%20Sales,11%2C879.86%20crore%2C%20down%2011.44%25%20Y%2Do%2DY&text=Reported%20Standalone%20quarterly%20numbers%20for,13%2C415.13%20crore%20in%20June%202024.&text=Quarterly%20Net%20Profit%20at%20Rs,over%20the%20last%2012%20months.&text=in%20Rs.,Cr."
Link_5,https://www.business-standard.com/markets/petronet-lng-ltd-share-price-20099.html
Link_6,"https://www.capitalmarket.com/markets/news/hot-pursuit/petronet-lng-to-convene-agm/1630140#:~:text=On%2024%20September%202025,up%20for%20third%20straight%20session"
Link_7,https://www.capitalmarket.com/markets/news/corporate-results/petronet-lng-to-convene-agm/1630140
Link_8,"https://www.petronetlng.in/documents/d/pertonetlng/campaignlettersesigned-pdf#:~:text=The%20copy%20of%20such%20communications,the%20RTA%20of%20the%20Company."
Link_9,"https://www.marketsmojo.com/news/stocks-in-action/is-petronet-lng-overvalued-or-undervalued-3360495#:~:text=As%20of%207%20August%202025,a%20dividend%20yield%20of%203.59%25."
Link_10,https://economictimes.indiatimes.com/petronet-lng-ltd/stocks/companyid-4495.cms
Link_11,"https://economictimes.indiatimes.com/petronet-lng-ltd/stocksupdate/companyid-4495.cms#:~:text=Petronet%20Q1%20Results:%20Net%20profit,2025%20are%20attached%20herewith."
Link_12,"https://www.marketsmojo.com/news/stocks-in-action/why-is-petronet-lng-fallingrising-3401194#:~:text=The%20stock%20has%20also%20lagged,which%20may%20deter%20potential%20investors."
Link_13,https://www.business-standard.com/markets/petronet-lng-ltd-share-price-20099/announcements/bse-exchange-46618255
Link_14,https://www.ifinltd.in/CorporateInfo/Company-News-Details/newtrac-foods-and-beverages-ltd/240600380017/833

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Change in Directors:Shri G. Krishnakumar, a Nominee Director (BPCL), ceased to be on the board of Petronet LNG Limited effective May 1, 2025, due to his superannuation as CMD BPCL on April 30, 2025.

Board Meeting Intimation:A board meeting was scheduled for May 5, 2025, to consider the audited financial results and recommend a final dividend for the financial year ended March 31, 2025.

Post-Results Conference Call:A post-results conference call was intimated to be held on May 6, 2025.

Financial Results:In the June 2025 quarter, Petronet LNG reported a 25% drop in net profit and a decrease in net sales compared to the June 2024 quarter. The company's Net Worth, however, crossed the ₹20,000 Crore mark.

Investment Plans:Petronet LNG plans to invest ₹6,355 Crore in setting up a new import facility at Odisha, according to The Economic Times. The company also seeks a $1.4 billion loan to fund a petrochemical plant and an LNG terminal, according to theBusiness Standard.

Stock Performance:Petronet LNG's stock has underperformed the benchmark over the past year and the valuation has moved from very attractive to attractive as of August 7, 2025. However, analysts have recently upgraded Petronet LNG to a ""buy"" rating.

Other News:Petronet LNG is initiating a campaign to encourage shareholders to update their details and claim unpaid/unclaimed dividends. The 27th Annual General Meeting of the company will be held on September 24, 2025.

According to news reports and company announcements as of May 1, 2025, the following information is relevant to Petronet LNG Limited:

It is important to note that this information is based on news reports and company announcements as of August 21, 2025, with specific emphasis on information available around May 1, 2025. It's recommended to consult the official website of Petronet LNG Limited and financial news outlets for the most up-to-date information."
