Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
PFC,8,998,2025-08-21 22:59:59,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.livemint.com/market/stock-market-news/pfc-q4-results-net-profit-rises-10-6-yoy-to-rs-8-358-crore-declares-dividend-of-rs-2-05-per-share-11747814108415.html#:~:text=PFC%20Dividend,the%20year%20in%20four%20tranches.&text=The%20board%20has%20fixed%20PFC,ensuing%20AGM%2C%20the%20company%20said."
Link_2,"https://trendlyne.com/latest-news/analyst-calls/1026/PFC/power-finance-corporation-ltd/#:~:text=Earnings%20Call-,Power%20Finance%20Corporation%20Ltd%20%2D%20532810%20%2D%20Announcement%20under%20Regulation%2030%20(,)%2DAnalyst%20/%20Investor%20Meet%20%2D%20%E2%80%A6&text=This%20is%20to%20inform%20that,.com)%20in%20due%20course.&text=Power%20Finance%20Corporation%20Ltd.,-19%20Feb%202025"
Link_3,"https://www.angelone.in/news/share-market/pfc-q4-fy25-earnings-results-reports-over-10-percent-rise-in-q4-net-profit#:~:text=Power%20Finance%20Corporation%20(PFC)%2C,loan%20book%20during%20the%20quarter."
Link_4,"https://www.angelone.in/news/share-market/pfc-shares-to-trade-ex-date-on-june-13-final-dividend-of-over-rs-2#:~:text=The%20final%20Dividend%2C%20if%20declared,held%20on%20May%2021%2C%202025"
Link_5,"https://www.business-standard.com/companies/quarterly-results/pfc-q4-results-pat-rises-11-to-rs-8-358-crore-dividend-at-rs-2-05-share-125052100753_1.html#:~:text=Home%20/%20Companies%20/%20Quarterly%20Results%20/,results%2C%20dividend%20call;%20details%20here"
Link_6,"https://www.etnownews.com/markets/pfc-q4-results-2025-dividend-declared-check-pat-total-income-record-date-article-151688601#:~:text=a%20year%20ago.-,PFC%20Dividend%202025,the%20year%20in%20four%20tranches."
Link_7,"https://www.angelone.in/news/share-market/pfc-q4-fy25-earnings-results-reports-over-10-percent-rise-in-q4-net-profit#:~:text=PFC%20Share%20Price%20Sees%20Short%2DTerm%20Dip%20In,past%201%20year%2C%20it%20has%20declined%2011.5%25."
Link_8,"https://www.livemint.com/market/stock-market-news/pfc-q4-results-net-profit-rises-10-6-yoy-to-rs-8-358-crore-declares-dividend-of-rs-2-05-per-share-11747814108415.html#:~:text=PFC%20(%20Power%20Finance%20Corporation%20)%20Share,dropped%2011.5%25%20in%20the%20past%20one%20year."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"PFC's board of directors recommended a final dividend of ₹2.05 per equity share for the financial year 2024–25, in addition to the four tranches of interim dividends totaling ₹13.75 already paid.

The record date for the final dividend was set as Friday, June 13, 2025.

The final dividend, if approved at the Annual General Meeting (AGM), will be paid within 30 days of the approval date.

PFC's share price saw a short-term dip, falling around 5% over the past month. However, it had gained more than 6% over the past three months and delivered strong long-term returns, jumping 213% in two years and 556% in the past five years.

The company was set to hold an investor meet of its management with Investors/Analysts on May 21, 2025, subsequent to the Q4/FY24-25 results declaration.

Based on the available information as of May 1, 2025, here's a summary of the latest news and updates related to Power Finance Corporation (PFC):

Q4 FY25 Results & Dividend:

Other News & Updates (May 1, 2025)"
