Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
PIIND,10,1387,2025-08-21 22:53:17,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.indianchemicalnews.com/general/pi-industries-completes-acquisition-of-uk-based-plant-health-care-22953#:~:text=PI%20Industries%20announced%20that%20the,2025%2C%20Novotel%20Mumbai%20International%20Airport"
Link_2,https://www.piindustries.com/wp-content/uploads/2025/05/Press-Release_Plant-Health-Care-Plc-1.pdf
Link_3,"https://www.global-agriculture.com/crop-protection/pi-industries-and-c-camp-announce-strategic-partnership-for-biocontrol-technology-solutions/#:~:text=24%20February%202025%2C%20New%20Delhi,million%20farmers%20fighting%20this%20menace."
Link_4,"https://www.indianchemicalnews.com/rd/pi-industries-and-c-camp-announce-partnership-to-drive-innovation-in-biocontrol-technologies-25244#:~:text=R&D-,PI%20Industries%20and%20C%2DCAMP%20announce%20partnership%20to%20drive%20innovation,benefit%20over%2025%20million%20farmers."
Link_5,"https://www.marketsmojo.com/news/result-analysis/p-i-industries-reports-22-2-drop-in-profit-after-tax-for-march-2025-2489291#:~:text=Net%20sales%20also%20decreased%20to,and%20get%20FREE%20Premium%20Access."
Link_6,"https://upstox.com/news/market-news/stocks/pi-industries-to-acquire-uk-based-plant-health-care-for-346-crore-shares-rise-up-to-4/article-97722/#:~:text=%E2%80%9CThe%20offered%20purchase%20consideration%20of,year%20ended%20December%2031%2C%202023."
Link_7,"https://www.moneycontrol.com/news/business/stocks/pi-industries-shares-rise-2-01-stock-among-top-gainers-on-nifty-midcap-150-alpha-article-13476096.html#:~:text=Revenue,Rs%20110.85%20in%20March%202024."
Link_8,"https://www.jmfinancialservices.in/market-news-and-insights/1601912#:~:text=20%2DMay%2D2025%20%7C%2009,the%20financial%20year%202024%2D25."
Link_9,"https://scanx.trade/stock-market-news/stocks/pi-industries-shareholders-approve-all-10-resolutions-at-78th-annual-general-meeting/16739067#:~:text=PI%20Industries%20held%20its%2078th,its%20focus%20on%20sustainability%20efforts."
Link_10,https://www.google.com/intl/en_us/googlefinance/disclaimer

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Acquisition of Plant Health Care Plc:PI Industries completed the acquisition of Plant Health Care Plc on August 20, 2024, a move that aligns with PI's strategy to expand its portfolio in the agri-tech sector and offer sustainable agricultural solutions.

Partnership with C-CAMP:On February 22, 2025, PI Industries announced a strategic partnership with the Centre for Cellular And Molecular Platforms (C-CAMP) to drive innovation in biocontrol technologies. This collaboration led to the exclusive transfer of two breakthrough biocontrol technologies, AphidControl and XanthoControl, to PI Industries.

Decline in Q4 FY25 Financial Performance:In its Q4 FY25 results declared on May 19, 2025, PI Industries reported a decline in financial performance, including a 22.2% drop in Profit After Tax (PAT) for March 2025 compared to the average of the previous four quarters.

Final Dividend for FY24-25:PI Industries announced a final dividend of ₹10 per share for the financial year 2024-25 on May 19, 2025, with a record date of August 7, 2025.

Approval of Resolutions at 78th AGM:PI Industries' shareholders approved all 10 resolutions at the 78th Annual General Meeting held on August 14, 2025. These approvals included the adoption of financial statements, dividend declarations, and director appointments.

PI Industries Ltd.'s stock showed a generally positive trend on May 1, 2025."
