Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
RELIANCE,10,3799,2025-08-21 23:05:09,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.ril.com/news-media/press-releases#:~:text=Shell%2C%20Reliance%2C%20and%20ONGC%20Set,RIL%20Communication%20%7C%2005%20May%2C%202025"
Link_2,"https://www.cnbctv18.com/market/reliance-industries-q4-results-live-updates-earnings-o2c-oil-and-gas-telecom-jio-retail-share-price-liveblog-19594244.htm#:~:text=Reliance%20Industries%20Q4%20Results:%20Jio%20reports%2017.8%25%20year%2Don,the%20number%20of%20home%2Dconnects."
Link_3,"https://m.economictimes.com/markets/stocks/live-blog/ril-q4-results-live-reliance-industries-ltd-q4-fy25-revenue-earning-net-profit-loss-bonus-shares-date-time-25-april-2025/liveblog/120612787.cms#:~:text=RIL%20Q4%20Results%20Live%20Updates%20%7C%20RIL%20Q4%20results:%20Profit%20rises,per%20equity%20share%20for%20FY25."
Link_4,"https://www.moneycontrol.com/news/business/earnings/reliance-industries-q4-results-profit-rises-on-consumer-strength-offset-by-softer-energy-margins-13005066.html#:~:text=The%20company's%20net%20profit%20attributable,pegged%20at%20Rs%2018%2C820%20crore.&text=Revenue%20for%20the%20three%20months,financial%20performance%20during%20the%20year.%22"
Link_5,"https://www.livemint.com/market/stock-market-news/reliance-industries-q4-results-2025-live-reliance-q4-results-ril-reliance-share-price-ril-stock-price-mukesh-ambani-11745565194808.html#:~:text=Reliance%20Industries%20Q4%20Results%20Live:%20D%2DStreet%20analysts%20on%20RIL,Analyst%20at%20SMC%20Global%20Securities."
Link_6,"https://www.facebook.com/RelianceIndustriesLimited/posts/here-are-some-highlights-of-news-from-across-reliance-in-may-2025follow-to-stay-/1024869256445596/#:~:text=Antilla%20%D0%9C%D1%83%D0%BC%D0%B1%D0%B0%D0%B8%2C%20%D0%98%D0%BD%D0%B4%D0%B8%D1%8F%20%E2%80%93%20$1%20%D0%BC%D0%BB%D1%80%D0%B4,%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%B5%D1%82%20%D1%88%D1%82%D0%B0%D1%82%20%D0%B2%20600%20%D1%81%D0%BB%D1%83%D0%B3."
Link_7,"https://www.instagram.com/p/DKTnGTEh3ia/#:~:text=Here%20are%20some%20highlights%20of,relianceupdates"
Link_8,"https://www.indmoney.com/blog/stocks/reliance-industries-q4-results-2025#:~:text=Key%20Highlights:,earlier%20(Q4%20of%20FY24)."
Link_9,"https://www.hindustantimes.com/technology/reliance-jio-discontinues-its-cheapest-plans-base-plan-with-1-5gb-data-per-day-starts-at-rs-101755598667851.html#:~:text=Tariff%20hikes%20expected%20in%20late,around%20%E2%82%B9220%20in%20FY26."
Link_10,"https://m.economictimes.com/markets/ipos/fpos/reliance-jio-nse-ipos-coming-soon-sebi-clears-roadblock-for-mega-multi-billion-dollar-listings/amp_articleshow/123424953.cms#:~:text=Under%20the%20proposal%2C%20companies%20with,making%20it%20far%20more%20feasible."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Q4 FY2025 Results:Reliance announced its Q4 FY25 financial results on April 25, 2025.

Consolidated net profit increased 2% year-on-year (YoY) to ₹19,407 crore.

Revenue from operations grew 10% YoY to ₹2.64 lakh crore.

The results exceeded Street expectations for profit.

Dividend:The board recommended a final dividend of ₹5.50 per equity share for FY25.

Net Worth Milestone:Reliance became the first Indian company to cross ₹10 lakh crore in total equity/net worth.

Consolidated PAT jumped 26% YoY to ₹7,022 crore.

Revenue rose 18% YoY to ₹39,853 crore.

ARPU (Average Revenue Per User) increased to ₹206.2.

Subscriber base reached 488.2 million, with 6.1 million additions in Q4 FY25.

Reliance Retail:

Consolidated PAT jumped 29% YoY to ₹3,545 crore.

Revenue increased 16%.

Strong momentum in revenue and profitability continued.

Q4 FY25 revenue dipped slightly (0.4% YoY) due to lower production, despite improved gas price realizations and higher CBM production.

EBITDA declined 9% due to higher operating costs (maintenance) and natural decline in KGD6 volumes.

Oil to Chemicals (O2C):

EBITDA fell 10% YoY due to weaker transportation fuel cracks,according to Moneycontrol.

However, the business saw increased domestic fuel placements.

JioStar (JV with Disney):

Reported revenues of ₹10,006 crore and EBITDA of ₹774 crore after its merger.

JioHotstar crossed 100 million paid users within five weeks of launch.

JioStar's TV network held a 34% market share in TV entertainment.

Offshore Facilities:Shell, Reliance, and ONGC set a benchmark with India's first offshore facilities installation utilizing the 'Floatover' technology. This was reported by RIL on May 5, 2025, but likely occurred before or around May 1st.

Possible IPOs:SEBI cleared roadblocks for mega multi-billion dollar listings, which could pave the way for IPOs of Reliance Jio and NSE.

Investment in Aerospace:Reliance is expected to invest close to $1 billion in the aerospace sector and hire around 1,500 people, according to The Economic Times.

Jio Tariff Hike:There is anticipation of another round of tariff hikes from telecom operators, including Jio, expected between October 2025 and January 2026,according to the Hindustan Times.

Q4 FY2025 Results:Reliance announced its Q4 FY25 financial results on April 25, 2025.Consolidated net profit increased 2% year-on-year (YoY) to ₹19,407 crore.Revenue from operations grew 10% YoY to ₹2.64 lakh crore.The results exceeded Street expectations for profit.

Jio Platforms:Consolidated PAT jumped 26% YoY to ₹7,022 crore.Revenue rose 18% YoY to ₹39,853 crore.ARPU (Average Revenue Per User) increased to ₹206.2.Subscriber base reached 488.2 million, with 6.1 million additions in Q4 FY25.

Reliance Retail:Consolidated PAT jumped 29% YoY to ₹3,545 crore.Revenue increased 16%.Strong momentum in revenue and profitability continued.

Oil & Gas:Q4 FY25 revenue dipped slightly (0.4% YoY) due to lower production, despite improved gas price realizations and higher CBM production.EBITDA declined 9% due to higher operating costs (maintenance) and natural decline in KGD6 volumes.

Oil to Chemicals (O2C):EBITDA fell 10% YoY due to weaker transportation fuel cracks,according to Moneycontrol.However, the business saw increased domestic fuel placements.

JioStar (JV with Disney):Reported revenues of ₹10,006 crore and EBITDA of ₹774 crore after its merger.JioHotstar crossed 100 million paid users within five weeks of launch.JioStar's TV network held a 34% market share in TV entertainment.

Based on the available information, here's a summary of news and updates related to Reliance as of May 1, 2025:

Note: This information is based on news and updates available as of May 1, 2025. Events and developments since then are not included in this summary."
