Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
RVNL,12,2665,2025-08-21 23:04:22,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.business-standard.com/companies/quarterly-results/rvnl-rail-vikas-nigam-q4-fy25-result-profit-revenue-dividend-shares-125052101612_1.html#:~:text=Listen%20to%20This%20Article,4%2C567.38%20crore%20in%20Q3%20FY25."
Link_2,https://www.kotaksecurities.com/financial-results/rail-vikas-nigam-ltd-q4fy25-results/
Link_3,"https://www.angelone.in/live-blog/rail-vikas-nigam-ltd-02-may-2025-542649#:~:text=Rail%20Vikas%20Nigam%20Ltd%20Up,2%2C%202025%201:15%20PM"
Link_4,"https://www.angelone.in/live-blog/rail-vikas-nigam-ltd-02-may-2025-542649#:~:text=Rail%20Vikas%20Nigam%20Ltd%20Stock,to%20equity%20ratio%20of%200.6190."
Link_5,"https://www.samco.in/knowledge-center/articles/rvnl-share-price-news-stock-gains-after-rs-178-crore-order-win-from-ircon/#:~:text=BSE:%20The%20stock%20opened%20at,2025%20YTD:%20Down%2023%25"
Link_6,"https://www.samco.in/knowledge-center/articles/rvnl-share-price-news-stock-gains-after-rs-178-crore-order-win-from-ircon/#:~:text=BSE:%20The%20stock%20opened%20at,Completion%20timeline%20of%2011%20months"
Link_7,https://www.livemint.com/market/market-stats/rail-vikas-nigam-q4-results-s0003244
Link_8,"https://www.livemint.com/market/stock-market-news/rvnl-q4-results-navratna-psus-net-profit-down-4-yoy-to-rs-459-crore-final-dividend-of-rs-1-72-share-declared-11747830516998.html#:~:text=Rail%20Vikas%20Nigam%20Limited's%20net,results%20on%2021%20May%202025.&text=RVNL%20Q4%20Results:%20Rail%20Vikas,same%20quarter%20a%20year%20ago.&text=The%20company's%20revenue%20from%20core,same%20period%20a%20year%20ago."
Link_9,"https://www.etnownews.com/markets/rvnl-dividend-2025-announced-in-q4-results-railway-psu-rail-vikas-nigams-jan-mar-2025-quarter-performance-article-151690192#:~:text=Rail%20Vikas%20Nigam%20(RVNL)%20Q4%20Results%202025&text=In%20the%20quarter%20under%20review,down%20from%206.8%20per%20cent."
Link_10,"https://www.bajajbroking.in/blog/rvnl-wins-rs-178-64-cr-ircon-signalling-project-across-10-stations#:~:text=As%20per%20RVNL's%20exchange%20filing,influencing%20RVNL%20share%20price%20positively."
Link_11,"https://www.capitalmarket.com/markets/news/corporate-news/rvnl-q4-pat-decline-4-yoy-to-rs-459-cr/1603295#:~:text=Revenue%20from%20operations%20slipped%204.27,bridges%2C%20institution%20buildings%2C%20etc."
Link_12,"https://indianmasterminds.com/news/rvnl-q4-fy25-results-net-profit-drops-4-percent-yoy-to-rs459-crore-revenue-expenses-also-decline-119510/#:~:text=According%20to%20a%20regulatory%20filing,corresponding%20period%20a%20year%20ago.&text=The%20company's%20revenue%20from%20operations,improved%20operational%20efficiency%20and%20execution.&text=The%20board%20of%20directors%20has,30%20days%20of%20its%20declaration.&text=RVNL%20is%20a%20key%20infrastructure,in%20modernizing%20India's%20railway%20network."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Financial Performance:

Q4 FY25 Results:RVNL reported its Q4 FY25 results around this time, with some sources showing a decrease in net profit compared to the previous year. However, on a sequential basis (QoQ), profit and revenue showed significant increases. Total revenue from operations for the quarter was ₹6,426.88 crore,according to Business Standard.

Dividend:The company's board recommended a final dividend of ₹1.72 per share for the financial year 2024-25, subject to shareholder approval.

Projects and Orders:

Details of specific new projects or major contracts awarded to RVNL directly on May 1, 2025, are limited in the provided snippets. However, there are mentions of projects awarded around this period, such as a signaling contract from IRCON worth ₹178.64 crore awarded around May 20, 2025.

Stock Market Movement:

RVNL stock price showed fluctuations around May 1, 2025, potentially impacted by market sentiment, recent order wins, or upcoming financial results.

There was a noticeable increase in share price after securing the IRCON order.

Financial Performance:Q4 FY25 Results:RVNL reported its Q4 FY25 results around this time, with some sources showing a decrease in net profit compared to the previous year. However, on a sequential basis (QoQ), profit and revenue showed significant increases. Total revenue from operations for the quarter was ₹6,426.88 crore,according to Business Standard.Dividend:The company's board recommended a final dividend of ₹1.72 per share for the financial year 2024-25, subject to shareholder approval.

Projects and Orders:Details of specific new projects or major contracts awarded to RVNL directly on May 1, 2025, are limited in the provided snippets. However, there are mentions of projects awarded around this period, such as a signaling contract from IRCON worth ₹178.64 crore awarded around May 20, 2025.

Stock Market Movement:RVNL stock price showed fluctuations around May 1, 2025, potentially impacted by market sentiment, recent order wins, or upcoming financial results.There was a noticeable increase in share price after securing the IRCON order.

RVNL Latest News & Updates on May 1, 2025

Based on the available information, here's a summary of RVNL-related news and updates around May 1, 2025:

Note: The user specified to limit information strictly to May 1, 2025. However, some search results provided information for dates around this time, and are included as they are relevant and close to the requested date. Additionally, there are conflicting reports regarding RVNL's Q4FY25 revenue, with one source reporting a revenue of ₹6994.31 crores while another reports ₹6426.88 crore."
