Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
SUNDARMFIN,7,718,2025-08-21 23:17:35,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.thehindubusinessline.com/money-and-banking/sundaram-finance-to-revise-deposit-interest-rates-from-may-1/article69504606.ece#:~:text=Share,1%2C000%2Dcr%20Telangana%20sheep%20scam"
Link_2,"https://www.thehindubusinessline.com/money-and-banking/sundaram-finance-to-revise-deposit-interest-rates-from-may-1/article69504606.ece#:~:text=Share,THIS%20AD%20SUPPORTS%20OUR%20JOURNALISM."
Link_3,"https://expressnews.asia/2025/04/sundaram-finance-limited-revises-deposit-interest-rates-effective-1st-may-2025/#:~:text=Sundaram%20Finance%20Limited%20Revises%20Deposit%20Interest%20Rates%20Effective%201st%20May%202025,-admin%20April%2029&text=Chennai%2C%20Tuesday%2C%20April%2029%2C,initiated%20through%20the%20company%20portal."
Link_4,https://zeenews.india.com/photos/business/7-banking-and-financial-rules-effective-from-today-1-may-2025-atm-fees-taxation-and-more-2893761
Link_5,"https://expressnews.asia/2025/04/sundaram-finance-limited-revises-deposit-interest-rates-effective-1st-may-2025/#:~:text=Home/Business/Sundaram%20Finance%20Limited,initiated%20through%20the%20company%20portal."
Link_6,"https://www.thehansindia.com/business/sundaram-finance-limited-revises-deposit-interest-rates-effective-1st-may-2025-966741#:~:text=Sundaram%20Finance%20Limited%20Revises%20Deposit,of%20mind%20and%20attractive%20returns."
Link_7,"https://expressnews.asia/2025/04/sundaram-finance-limited-revises-deposit-interest-rates-effective-1st-may-2025/#:~:text=Sundaram%20Finance%20Limited%20Revises%20Deposit,of%20mind%20and%20attractive%20returns."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Sundaram Finance Ltd. had introduced aDigital Deposit facilityto simplify and secure the deposit process. Customers could conveniently invest and manage their deposits online through the company portal.

It's important to note that information regarding theOne State, One RRB Merger Implementationand other banking/financial rule changes effective from May 1, 2025, may not be directly related to Sundaram Finance Ltd. and its specific operations.

On May 1, 2025 , Sundaram Finance Ltd. revised its deposit interest rates. This adjustment was made in response to the Reserve Bank of India's (RBI) recent repo rate revision.

Revised Deposit Interest Rates (effective May 1, 2025):

Other Updates (as of May 1, 2025) :"
