Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
SUNPHARMA,9,1795,2025-08-21 23:15:47,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://sunpharma.com/wp-content/uploads/2025/05/Press-Release-Sun-Pharma-Q4FY25-Financial-Result.pdf
Link_2,"https://www.angelone.in/live-blog/sun-pharmaceutical-industries-ltd-28-may-2025-524715#:~:text=Live%20Market%20Data:%20Sun%20Pharmaceutical%20Industries%20Ltd%20Share%20Price%20Drops,28%2C%202025%201:45%20PM"
Link_3,https://sunpharma.com/wp-content/uploads/2025/05/BMOutcomefinal.pdf
Link_4,"https://m.economictimes.com/markets/stocks/stock-liveblog/sun-pharma-stock-price-live-updates-02-may-2025/liveblog/120808143.cms#:~:text=On%20the%20last%20trading%20day,trading%20volume%20of%202%2C667%2C314%20shares."
Link_5,"https://groww.in/blog/sun-pharma-q4-fy25-results#:~:text=Sun%20Pharma's%20EBITDA%20for%20Q4,%E2%82%B99%2C576%20crore%20in%20FY24."
Link_6,"https://www.pharmabiz.com/NewsDetails.aspx?aid=177767&sid=2#:~:text=Our%20Bureau%2C%20Mumbai,%2C%20Bengali%2C%20Gujarati%20and%20English."
Link_7,"https://www.thehindu.com/news/national/us-court-lifts-restrictions-on-sun-pharma-launching-autoimmune-disorder-drug/article69434509.ece#:~:text=On%20April%209%2C%202025%2C%20the,time%2C%22%20Sun%20Pharma%20said."
Link_8,"https://m.rediff.com/author/Sohini%20Das%20and%20Shine%20Jacob/40-60#:~:text=Sohini%20Das%20And%20Shine%20Jacob%20US%20Tariffs,Donald%20Trump%20)%20tariffs%204%20Apr%202025"
Link_9,https://nsearchives.nseindia.com/corporate/SUNSEC_14072025164719_SEIntimationforLaunch.pdf

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"May 2, 2025:Sun Pharma's stock closed at ₹1832.30, marking a 1.48% rise.

April 10, 2025:A US court ruled in Sun Pharma's favor, vacating a preliminary injunction that had restricted the launch of LEQSELVI. This drug treats autoimmune hair loss (alopecia areata).

May 8, 2025:Sun Pharma launched a corporate brand campaign emphasizing its impact on healthcare, highlighting that 1,000 Sun Pharma medicines are prescribed globally every minute.

May 22, 2025:Sun Pharma reported its Q4 and full year FY25 financial results. Key highlights include:

Robust revenue growth in Q4 FY25, but a dip in reported net profit due to exceptional charges related to US operations restructuring.

Proposed a final dividend of ₹5.50 per share for FY25, bringing the total dividend for the year to ₹16.00 per share.

Announced the appointment of Ms. Vidhi Shanghvi as a Whole-time Director.

May 23, 2025:Sun Pharma's shares declined nearly 5% in early trade following the earnings announcement and disclosure of one-time restructuring expenses.

May 28, 2025:Sun Pharma's share price had fallen by -0.28%.

May 22, 2025:Sun Pharma reported its Q4 and full year FY25 financial results. Key highlights include:Robust revenue growth in Q4 FY25, but a dip in reported net profit due to exceptional charges related to US operations restructuring.Proposed a final dividend of ₹5.50 per share for FY25, bringing the total dividend for the year to ₹16.00 per share.Announced the appointment of Ms. Vidhi Shanghvi as a Whole-time Director.

News and updates regarding Sun Pharmaceutical Industries (Sun Pharma) on May 1, 2025, are limited in the provided search results. However, here's a summary based on the information available around that date:

Contextual information around May 1, 2025, from other dates in May:"
