Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
SUNTV,10,847,2025-08-21 23:16:28,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.youtube.com/watch?v=vVt-ra1gzmU#:~:text=This%20Battery%20Was%20Almost%20Too,Veritasium%20New%201.7M%20views"
Link_2,https://www.youtube.com/watch?v=d3k7X7itI-c
Link_3,https://www.youtube.com/watch?v=weMjdUKIq4o
Link_4,https://www.youtube.com/watch?v=rzH710S2CL8
Link_5,"https://www.youtube.com/watch?v=l_VSk8Z3Dck#:~:text=Singappenne%20%2D%20Highlights%20%7C%2001%20May%202025,This%20content%20isn't%20available."
Link_6,"https://www.youtube.com/watch?v=LMerHc8VnwM#:~:text=Poongodi%20%2D%20Promo%20%7C%2001%20May%202025,%2D%2D%2D%2D%2D%2D%2D"
Link_7,"https://www.youtube.com/watch?v=XXnHIsdp7BE#:~:text=Sun%20Seithigal%20%7C%20%E0%AE%9A%E0%AE%A9%E0%AF%8D%20%E0%AE%AE%E0%AE%BE%E0%AE%B2%E0%AF%88%20%E0%AE%9A%E0%AF%86%E0%AE%AF%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D,is%20Asia's%20largest%20TV%20network."
Link_8,"https://www.kotaksecurities.com/financial-results/sun-tv-network-ltd-q1fy2025-26-results/#:~:text=What%20were%20the%20key%20highlights,over%2DQuarter%20Growth:%2034.6%25"
Link_9,"https://www.instagram.com/sunnews/#:~:text=%23Watch%20%7C%20%E0%AE%B5%E0%AE%B2%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D%20%E0%AE%9A%E0%AE%BF%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BF%E0%AE%AF%20%E0%AE%86%E0%AE%AE%E0%AF%88%E0%AE%AF%E0%AF%88%20%E0%AE%95%E0%AE%9F%E0%AE%B2%E0%AE%BF%E0%AE%B2%E0%AF%8D,%23SunNews%20%7C%20%23Tiruvannamalai"
Link_10,"https://www.youtube.com/watch?v=0obpotP2W-k#:~:text=Headlines%20Now%20%7C%20Morning%206AM%20%7C%2001,24x7%20live%20Tamil%20news%20channel."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"Lakshmi- Preview

Annam- Special Promo

Singappenne- Preview & Highlights

Kayal- Highlights

On May 1, 2025, Sun TV's primary news channel, Sun News, aired its regular news bulletins, including the morning headlines and evening news.

In terms of programming, the following previews and highlights were released for Sun TV serials:

Additionally, Sun News showcased segments on topics such as the Krishnagiri district's coconut grove festival and an interesting incident involving a pigeon caught at the border with a message on its leg. The channel also featured a report on praise for a fisherman who released a turtle caught in his net.

Note: More recent news and financial updates for Sun TV are available beyond May 1, 2025. For example, reports on the company's Q1 FY26 results were released in August 2025, according to Kotak Securities ."
