Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
TATAMOTORS,12,2294,2025-08-21 23:25:22,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,https://static-assets.tatamotors.com/Production/www-tatamotors-com-NEW/wp-content/uploads/2025/05/NSEBSESALES-1-5-25.pdf
Link_2,"https://www.facebook.com/CargoTATAAhmedabad/posts/price-hike-alerthurry-buy-before-1st-may-2025only-9-days-leftbreaking-news-tata-/1099367135548304/#:~:text=PRICE%20HIKE%20ALERT!,Apr%2021%F3%B0%9E%8B%F3%B1%9F%A0"
Link_3,"https://www.facebook.com/TataMotorsHimmatnagar/posts/-tata-motors-price-hike-from-may-1-act-now-breaking-news-tata-motors-has-announc/1076015287886225/#:~:text=1%20%E2%80%93%20Act%20Now!-,%F0%9F%9A%A8%20%F0%9F%93%A2%20Breaking%20News!,%F0%9F%92%A5"
Link_4,"https://ackodrive.com/news/auto-sales-may-2025-tata-motors-sales-dip-8-despite-87-jump-in-cv-exports/#:~:text=in%20CV%20Exports-,Auto%20Sales%20May%202025:%20Tata%20Motors%20Sales%20Dip%208%25%20Despite,87%25%20Jump%20in%20CV%20Exports&text=While%20its%20domestic%20sales%20have,units%20in%20May%20last%20year."
Link_5,"https://auto.economictimes.indiatimes.com/news/industry/tata-motors-reports-9-sales-decline-to-70187-units-in-may-2025/121547735#:~:text=our%20Daily%20Newsletters-,Industry,4%2C954%20units%2C%20the%20company%20reported."
Link_6,"https://www.indiatoday.in/auto/latest-auto-news/story/tata-motors-sales-drop-9-in-may-2025-70187-units-sold-2734008-2025-06-01#:~:text=Advertisement,2025:%20Lifestyle%20will%20be%20attractive!"
Link_7,"https://www.greaterkashmir.com/business/tata-motors-sales-decline-over-8-5-in-may/#:~:text=Mumbai%2C%20June%201:%20Tata%20Motors,units%20recorded%20in%20May%202024."
Link_8,"https://www.cardekho.com/india-car-news/take-a-look-at-all-the-tata-cars-that-could-go-on-sale-in-2025-33731.htm#:~:text=All%20New%20Tata%20Cars%20Expected,%2C%20And%20More%20%7C%20CarDekho.com"
Link_9,"https://www.carlelo.com/news/tata-motors-to-launch-3-new-cars-in-2025#:~:text=Tata%20Motors%20to%20Launch%203,Altroz%20facelift%2C%20Harrier%20EV%2C%20Sierra"
Link_10,"https://www.angelone.in/news/market-updates/tata-motors-demerger-key-dates-share-split-and-what-investors-should-know#:~:text=For%20every%20share%20of%20Tata,growth%20of%20each%20business%20segment."
Link_11,"https://www.news18.com/business/markets/tata-motors-demerger-split-to-take-effect-october-1-2025-heres-the-timeline-ws-l-9503095.html#:~:text=May%2006%2C%202025:%20Shareholders%20gave,become%20effective%20from%20this%20date."
Link_12,"https://indianexpress.com/article/smart-stocks/is-tata-motors-a-deep-value-buy-or-a-turnaround-trap-10187466/#:~:text=Tata%20Motors'%20passenger%20vehicle%20business%0A%0ATata%20Motors'%20PV,Mahindra%20&%20Mahindra%20in%20the%20SUV%20space."

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"May 2025 Sales Data (Released June 1, 2025):Tata Motors experienced an overall decline in sales in May 2025 compared to the previous year.

Total sales (domestic and international) dipped by 8% to 70,187 units (compared to 76,766 units in May 2024), according to ACKO Drive.

Domestic sales fell by 10% to 67,429 units compared to 75,173 units in May 2024.

Passenger vehicle sales (including EVs) were down 11% to 42,040 units.

Commercial vehicle sales decreased by 5% to 28,147 units.

However, the company saw a significant jump in commercial vehicle exports, up 87% year-on-year.

Electric vehicle sales (domestic and international) showed a slight increase of 2%.

Demerger Update:The planned demerger of Tata Motors' commercial and passenger vehicle businesses is moving forward, with October 1, 2025, set as the effective date for the split.

April 2025 Sales Data (Released May 1, 2025):Tata Motors reported a 6.2% drop in total sales in April 2025 compared to the previous year, with 72,753 units sold compared to 77,521 units in April 2024.

Upcoming Vehicle Launches:Tata Motors is poised for an active year in 2025, with several new models expected to be launched, including the Harrier EV, Altroz facelift, and the return of the Sierra nameplate with both ICE and EV versions.

Price Hike Announcement:Tata Motors announced a price increase effective May 1, 2025, for its vehicles.

May 2025 Sales Data (Released June 1, 2025):Tata Motors experienced an overall decline in sales in May 2025 compared to the previous year.Total sales (domestic and international) dipped by 8% to 70,187 units (compared to 76,766 units in May 2024), according to ACKO Drive.Domestic sales fell by 10% to 67,429 units compared to 75,173 units in May 2024.Passenger vehicle sales (including EVs) were down 11% to 42,040 units.Commercial vehicle sales decreased by 5% to 28,147 units.However, the company saw a significant jump in commercial vehicle exports, up 87% year-on-year.Electric vehicle sales (domestic and international) showed a slight increase of 2%.

Key updates for Tata Motors as of May 1, 2025:

In essence, Tata Motors is navigating a challenging domestic market while pushing forward with strategic initiatives like the demerger and a strong pipeline of new vehicle launches for 2025."
