Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
UNITDSPR,10,2399,2025-08-21 23:39:30,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://www.angelone.in/news/share-market/united-spirits-share-price-in-focus-on-may-21-reported-fy25-results-with-pat-growth#:~:text=Profit%20after%20tax%20came%20in,25%2C%20subject%20to%20Shareholder's%20approval."
Link_2,"https://www.nseindia.com/get-quotes/equity?symbol=UNITDSPR#:~:text=United%20Spirits%20Limited%20Share%20Price%20Today%2C%20Live,historical%20charts%2C%20market%20performance%2C%20capitalisation%2C%20dividends%2C%20volume%2C"
Link_3,"https://www.nseindia.com/get-quotes/equity?symbol=UNITDSPR#:~:text=Face%20Value%20Split%20(Sub%2DDivision,Mar%2D2025%20to%20consider%20Dividend."
Link_4,"https://scanx.trade/stock-market-news/orders-deals/united-spirits-witnesses-rs-21-40-crore-block-trade-on-nse/17123926#:~:text=United%20Spirits%20Poised%20for%20Strong,172%20Crore%20Mar%2031%2C%202025"
Link_5,"https://www.moneycontrol.com/news/business/stocks/united-spirits-shares-gain-1-39-amid-volume-surge-alpha-article-13467591.html#:~:text=The%20company's%20dividend%20per%20share,W%20X%20Y%20Z%20Others"
Link_6,"https://www.indiainfoline.com/company/united-spirits-ltd-historical-data#:~:text=United%20Spirits:%20Related%20NEWS,Jul%202024%7C08:58%20AM"
Link_7,"https://trendlyne.com/latest-news/only-news/851/UNITDSPR/united-spirits-ltd/#:~:text=Than%20and%20Hapusa.-,Copy%20LinkShare%20on%20Share%20on%20Share%20on%20Share%20on,bn%20valuation%2C%20ad%20norms%20tighten"
Link_8,"https://www.angelone.in/news/united-spirits-share-price-in-focus-on-may-21-reported-fy25-results-with-pat-growth#:~:text=On%20a%20standalone%20basis%2C%20the,25%2C%20subject%20to%20Shareholder's%20approval."
Link_9,https://groww.in/blog/united-spirits-completes-130-crore-acquisition#:~:text=United%20Spirits%20Completes%20%E2%82%B9130%20Crore%20Acquisition%20of%20NAO%20Spirits%20to%20Bolster%20Craft%20Gin%20Portfolio.
Link_10,"https://www.indiainfoline.com/company/united-spirits-ltd-share-price#:~:text=United%20Spirits%20Ltd%20NEWS%20AND%20UPDATE%20United,Slips%204.3%25%20YoY%20Despite%2014.4%25%20Sales%20Surge"

EXTRACTED_TEXT_CONTENT
Content_Type,Content
Complete_Text,"FY25 Results and Dividend Recommendation:United Spirits announced its FY25 financial results onMay 20, 2025, showcasing a 12.4% YoY growth in Profit After Tax (PAT). The Board of Directors recommended a final dividend of INR 8.0 per share, subject to shareholder approval.

Q4 FY25 Performance:The company's Q4 FY25 performance was a key highlight, with standalone EBITDA growing by 39.5% YoY, driven by improved margins. Consolidated net sales value (NSV) for the quarter stood at ₹3,031 crore, an 8.9% YoY growth (underlying growth at 10.2%).

Consistent FY25 Growth:For FY25, United Spirits reported consolidated NSV of ₹12,069 crore (up 6.6% YoY) and an EBITDA of ₹2,243 crore (up 12.1% YoY).

Board Meeting for FY25 Results:A Board meeting was held onMay 20, 2025, to approve the audited financial results for the year ended March 31, 2025, and recommend the final dividend.

Interim Dividend Announcement:Prior to the final dividend, an interim dividend of ₹4.00 per share was announced onMarch 25, 2025, and became effective on April 3, 2025.

Acquisition of NAO Spirits:OnJune 20, 2025, United Spirits announced its decision to acquire a majority stake in NAO Spirits for ₹130 crore, further expanding its brand portfolio.

Property Sale in Mumbai:The company finalized the sale of a prime Mumbai property for ₹172 crore onMarch 31, 2025, a move that could potentially impact its financials.

Positive Stock Movement:United Spirits' share price saw positive movement onMay 21, 2025, following the announcement of its FY25 results, opening at ₹1,570.00, up from the previous close of ₹1,556.60.

Analyst Predictions:Analysts predicted strong Q4 performance for United Spirits aroundMay 19, 2025, suggesting positive expectations for the company's near-term outlook.

May 1, 2025, was a relatively quiet day for United Spirits Ltd. (UNITDSPR) in terms of major news or announcements. However, several significant developments related to the company occurred in the days and weeks surrounding this date. Here's a summary of the key highlights:

Financial Performance & Dividends:

Corporate Actions & Events:

Other Notable Developments:

Stock Market Performance:

Note: While May 1, 2025, itself didn't witness specific company-related news, the period surrounding it was marked by significant financial announcements, corporate actions, and positive stock market activity for United Spirits."
