Company,Total_Links,Text_Length_Characters,Extraction_Date,Status
WIPRO,19,2337,2025-08-21 23:44:38,Completed

EXTRACTED_LINKS
Link_Number,URL
Link_1,"https://news.harman.com/releases/wipro-acquires-harmans-digital-transformation-solutions-dts-business-unit-deepening-engineering-innovation-and-r-d-excellence#:~:text=%E2%80%9CThe%20acquisition%20of%20DTS%20marks,value%20it%20delivers%20to%20customers.%E2%80%9D"
Link_2,"https://www.angelone.in/live-blog/wipro-ltd-05-may-2025-507685#:~:text=Live%20Market%20Data:%20Wipro%20Ltd,to%20equity%20ratio%20of%200.2332."
Link_3,"https://www.angelone.in/live-blog/wipro-ltd-02-may-2025-507685#:~:text=Live%20Market%20Data:%20Wipro%20Ltd,2%2C%202025%202:15%20PM"
Link_4,https://news.harman.com/releases/wipro-acquires-harmans-digital-transformation-solutions-dts-business-unit-deepening-engineering-innovation-and-r-d-excellence
Link_5,"https://www.wipro.com/newsroom/press-releases/2025/wipro-announces-results-for-the-quarter-and-year-ended-june-30-2025/#:~:text=true%20engineering%20partner.-,2.,expertise%20and%20consistent%20delivery%20excellence."
Link_6,"https://www.angelone.in/live-blog/wipro-ltd-13-may-2025-507685#:~:text=Wipro%20Ltd%20Unchanged%20Despite%20Market,analysis%20of%20the%20stock's%20performance."
Link_7,"https://www.wipro.com/newsroom/#:~:text=EAST%20BRUNSWICK%2C%20N.J.%20%7C%20BENGALURU%2C%20India%20%E2%80%93%20May%2027%2C,April%2016%2C%202025"
Link_8,"https://www.indiratrade.com/blog/wipro-wins-5year-it-transformation-contract-from-europes-vorwerk/9386#:~:text=Wipro%20Wins%205%2DYear%20IT,Why%20Is%20This%20Important?"
Link_9,"https://m.economictimes.com/markets/stocks/earnings/wipro-q4-results-pat-rises-26-yoy-to-rs-3570-crore-beats-estimates/articleshow/120341394.cms#:~:text=Wipro%20Q4%20Results:%20IT%20major,amid%20a%20softening%20revenue%20environment."
Link_10,"https://www.livemint.com/market/stock-market-news/wipro-q4-results-live-updates-wipro-q4-earnings-wipro-share-price-wipro-profit-wipro-revenue-it-sector-trump-tariffs-11744786236796.html#:~:text=Wipro%20Q4%20Results%20LIVE:%20Highlights,an%20increase%20of%2020.3%25%20YoY."
Link_11,"https://www.equitymaster.com/detail.asp?date=07/28/2025&story=5&title=Why-Wipro-Share-Price-is-Falling#:~:text=It%20decided%20to%20lay%20off,fit%20its%20changing%20business%20needs."
Link_12,"https://www.thehindu.com/business/wipro-to-acquire-dts-a-samsung-owned-tech-firm-in-a-cash-deal-of-375-mn/article69961060.ece#:~:text=Upon%20completion%20of%20the%20acquisition,&%20development%20(ER&D)%20services."
